"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Água Branca",6,"2018","Outubro","Todas","Alagoas"
"2","Porto Calvo",14,"2018","Outubro","Todas","Alagoas"
"3","Porto Real do Colégio",12,"2018","Outubro","Todas","Alagoas"
"4","Porto de Pedras",1,"2018","Outubro","Todas","Alagoas"
"5","Poço das Trincheiras",4,"2018","Outubro","Todas","Alagoas"
"6","Quebrangulo",5,"2018","Outubro","Todas","Alagoas"
"7","Rio Largo",27,"2018","Outubro","Todas","Alagoas"
"8","Santa Luzia do Norte",2,"2018","Outubro","Todas","Alagoas"
"9","Santana do Ipanema",2,"2018","Outubro","Todas","Alagoas"
"10","Sao Miguel dos Campos",16,"2018","Outubro","Todas","Alagoas"
"11","São Brás",2,"2018","Outubro","Todas","Alagoas"
"12","São José da Laje",13,"2018","Outubro","Todas","Alagoas"
"13","São José da Tapera",10,"2018","Outubro","Todas","Alagoas"
"14","São Luís do Quitunde",18,"2018","Outubro","Todas","Alagoas"
"15","São Miguel dos Milagres",3,"2018","Outubro","Todas","Alagoas"
"16","São Sebastião",16,"2018","Outubro","Todas","Alagoas"
"17","Taquarana",11,"2018","Outubro","Todas","Alagoas"
"18","Teotônio Vilela",19,"2018","Outubro","Todas","Alagoas"
"19","Traipu",10,"2018","Outubro","Todas","Alagoas"
"20","União dos Palmares",28,"2018","Outubro","Todas","Alagoas"
"21","Viçosa",9,"2018","Outubro","Todas","Alagoas"
"22","Marechal Deodoro",11,"2018","Outubro","Todas","Alagoas"
"23","Maribondo",6,"2018","Outubro","Todas","Alagoas"
"24","Mata Grande",12,"2018","Outubro","Todas","Alagoas"
"25","Messias",5,"2018","Outubro","Todas","Alagoas"
"26","Monteirópolis",3,"2018","Outubro","Todas","Alagoas"
"27","Murici",16,"2018","Outubro","Todas","Alagoas"
"28","Olho D'água Grande",2,"2018","Outubro","Todas","Alagoas"
"29","Olho D'água das Flores",15,"2018","Outubro","Todas","Alagoas"
"30","Olho D'água do Casado",2,"2018","Outubro","Todas","Alagoas"
"31","Olivença",5,"2018","Outubro","Todas","Alagoas"
"32","Ouro Branco",5,"2018","Outubro","Todas","Alagoas"
"33","Palestina",3,"2018","Outubro","Todas","Alagoas"
"34","Palmeira dos Índios",41,"2018","Outubro","Todas","Alagoas"
"35","Pariconha",4,"2018","Outubro","Todas","Alagoas"
"36","Passo de Camaragibe",4,"2018","Outubro","Todas","Alagoas"
"37","Paulo Jacinto",1,"2018","Outubro","Todas","Alagoas"
"38","Penedo",29,"2018","Outubro","Todas","Alagoas"
"39","Piaçabuçu",9,"2018","Outubro","Todas","Alagoas"
"40","Pilar",11,"2018","Outubro","Todas","Alagoas"
"41","Piranhas",3,"2018","Outubro","Todas","Alagoas"
"42","Dois Riachos",3,"2018","Outubro","Todas","Alagoas"
"43","Estrela de Alagoas",6,"2018","Outubro","Todas","Alagoas"
"44","Feira Grande",4,"2018","Outubro","Todas","Alagoas"
"45","Flexeiras",3,"2018","Outubro","Todas","Alagoas"
"46","Girau do Ponciano",3,"2018","Outubro","Todas","Alagoas"
"47","Ibateguara",9,"2018","Outubro","Todas","Alagoas"
"48","Igaci",21,"2018","Outubro","Todas","Alagoas"
"49","Igreja Nova",7,"2018","Outubro","Todas","Alagoas"
"50","Inhapi",13,"2018","Outubro","Todas","Alagoas"
"51","Jacuípe",4,"2018","Outubro","Todas","Alagoas"
"52","Japaratinga",2,"2018","Outubro","Todas","Alagoas"
"53","Jaramataia",3,"2018","Outubro","Todas","Alagoas"
"54","Jequiá da Praia",1,"2018","Outubro","Todas","Alagoas"
"55","Jundiá",6,"2018","Outubro","Todas","Alagoas"
"56","Junqueiro",7,"2018","Outubro","Todas","Alagoas"
"57","Lagoa da Canoa",9,"2018","Outubro","Todas","Alagoas"
"58","Limoeiro de Anadia",12,"2018","Outubro","Todas","Alagoas"
"59","Maceio",582,"2018","Outubro","Todas","Alagoas"
"60","Maragogi",11,"2018","Outubro","Todas","Alagoas"
"61","Maravilha",3,"2018","Outubro","Todas","Alagoas"
"62","Arapiraca",37,"2018","Outubro","Todas","Alagoas"
"63","Atalaia",14,"2018","Outubro","Todas","Alagoas"
"64","Barra de Santo Antônio",7,"2018","Outubro","Todas","Alagoas"
"65","Barra de São Miguel",5,"2018","Outubro","Todas","Alagoas"
"66","Belém",2,"2018","Outubro","Todas","Alagoas"
"67","Boca da Mata",13,"2018","Outubro","Todas","Alagoas"
"68","Branquinha",5,"2018","Outubro","Todas","Alagoas"
"69","Cacimbinhas",4,"2018","Outubro","Todas","Alagoas"
"70","Cajueiro",11,"2018","Outubro","Todas","Alagoas"
"71","Campestre",5,"2018","Outubro","Todas","Alagoas"
"72","Campo Alegre",13,"2018","Outubro","Todas","Alagoas"
"73","Campo Grande",4,"2018","Outubro","Todas","Alagoas"
"74","Canapi",6,"2018","Outubro","Todas","Alagoas"
"75","Capela",7,"2018","Outubro","Todas","Alagoas"
"76","Carneiros",3,"2018","Outubro","Todas","Alagoas"
"77","Chã Preta",1,"2018","Outubro","Todas","Alagoas"
"78","Coité do Nóia",7,"2018","Outubro","Todas","Alagoas"
"79","Coruripe",7,"2018","Outubro","Todas","Alagoas"
"80","Craíbas",20,"2018","Outubro","Todas","Alagoas"
"81","Delmiro Gouveia",16,"2018","Outubro","Todas","Alagoas"
