"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Verdelândia",5,"2018","Outubro","Todas","Minas Gerais"
"2","Veredinha",1,"2018","Outubro","Todas","Minas Gerais"
"3","Vermelho Novo",5,"2018","Outubro","Todas","Minas Gerais"
"4","Vespasiano",33,"2018","Outubro","Todas","Minas Gerais"
"5","Virgem da Lapa",3,"2018","Outubro","Todas","Minas Gerais"
"6","Virginópolis",11,"2018","Outubro","Todas","Minas Gerais"
"7","Virgolândia",3,"2018","Outubro","Todas","Minas Gerais"
"8","Virgínia",7,"2018","Outubro","Todas","Minas Gerais"
"9","Visconde do Rio Branco",27,"2018","Outubro","Todas","Minas Gerais"
"10","Viçosa",44,"2018","Outubro","Todas","Minas Gerais"
"11","Volta Grande",2,"2018","Outubro","Todas","Minas Gerais"
"12","Wenceslau Braz",1,"2018","Outubro","Todas","Minas Gerais"
"13","Água Boa",4,"2018","Outubro","Todas","Minas Gerais"
"14","Água Comprida",1,"2018","Outubro","Todas","Minas Gerais"
"15","Águas Formosas",13,"2018","Outubro","Todas","Minas Gerais"
"16","Águas Vermelhas",3,"2018","Outubro","Todas","Minas Gerais"
"17","Turmalina",9,"2018","Outubro","Todas","Minas Gerais"
"18","Turvolândia",2,"2018","Outubro","Todas","Minas Gerais"
"19","Ubaporanga",5,"2018","Outubro","Todas","Minas Gerais"
"20","Ubaí",6,"2018","Outubro","Todas","Minas Gerais"
"21","Uberaba",201,"2018","Outubro","Todas","Minas Gerais"
"22","Uberlandia",330,"2018","Outubro","Todas","Minas Gerais"
"23","Ubá",65,"2018","Outubro","Todas","Minas Gerais"
"24","Unaí",48,"2018","Outubro","Todas","Minas Gerais"
"25","União de Minas",2,"2018","Outubro","Todas","Minas Gerais"
"26","Uruana de Minas",3,"2018","Outubro","Todas","Minas Gerais"
"27","Urucania",5,"2018","Outubro","Todas","Minas Gerais"
"28","Urucuia",4,"2018","Outubro","Todas","Minas Gerais"
"29","Vargem Alegre",4,"2018","Outubro","Todas","Minas Gerais"
"30","Vargem Bonita",1,"2018","Outubro","Todas","Minas Gerais"
"31","Vargem Grande do Rio Pardo",1,"2018","Outubro","Todas","Minas Gerais"
"32","Varginha",62,"2018","Outubro","Todas","Minas Gerais"
"33","Varjão de Minas",7,"2018","Outubro","Todas","Minas Gerais"
"34","Varzea da Palma",13,"2018","Outubro","Todas","Minas Gerais"
"35","Varzelândia",15,"2018","Outubro","Todas","Minas Gerais"
"36","Vazante",13,"2018","Outubro","Todas","Minas Gerais"
