"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tailandia",27,"2018","Outubro","Todas","Pará"
"2","Terra Alta",3,"2018","Outubro","Todas","Pará"
"3","Tracuateua",5,"2018","Outubro","Todas","Pará"
"4","Tucumã",12,"2018","Outubro","Todas","Pará"
"5","Tucurui",27,"2018","Outubro","Todas","Pará"
"6","Ulianópolis",9,"2018","Outubro","Todas","Pará"
"7","Uruará",17,"2018","Outubro","Todas","Pará"
"8","Vigia",18,"2018","Outubro","Todas","Pará"
"9","Viseu",11,"2018","Outubro","Todas","Pará"
"10","Vitória do Xingu",5,"2018","Outubro","Todas","Pará"
"11","Xinguara",13,"2018","Outubro","Todas","Pará"
"12","Parauapebas",39,"2018","Outubro","Todas","Pará"
"13","Placas",6,"2018","Outubro","Todas","Pará"
"14","Portel",18,"2018","Outubro","Todas","Pará"
"15","Prainha",6,"2018","Outubro","Todas","Pará"
"16","Redenção",77,"2018","Outubro","Todas","Pará"
"17","Rio Maria",14,"2018","Outubro","Todas","Pará"
"18","Rondon do Pará",16,"2018","Outubro","Todas","Pará"
"19","Rurópolis",13,"2018","Outubro","Todas","Pará"
"20","Salinópolis",14,"2018","Outubro","Todas","Pará"
"21","Santa Bárbara do Pará",7,"2018","Outubro","Todas","Pará"
"22","Santa Luzia do Pará",3,"2018","Outubro","Todas","Pará"
"23","Santa Maria das Barreiras",1,"2018","Outubro","Todas","Pará"
"24","Santana do Araguaia",5,"2018","Outubro","Todas","Pará"
"25","Santarem",160,"2018","Outubro","Todas","Pará"
"26","São Domingos do Araguaia",8,"2018","Outubro","Todas","Pará"
"27","São Domingos do Capim",4,"2018","Outubro","Todas","Pará"
"28","São Francisco do Pará",3,"2018","Outubro","Todas","Pará"
"29","São Félix do Xingu",16,"2018","Outubro","Todas","Pará"
"30","São Geraldo do Araguaia",10,"2018","Outubro","Todas","Pará"
"31","São João do Araguaia",4,"2018","Outubro","Todas","Pará"
"32","Eldorado dos Carajás",8,"2018","Outubro","Todas","Pará"
"33","Floresta do Araguaia",7,"2018","Outubro","Todas","Pará"
"34","Igarapé-Açu",2,"2018","Outubro","Todas","Pará"
"35","Ipixuna do Para",9,"2018","Outubro","Todas","Pará"
"36","Itaituba",38,"2018","Outubro","Todas","Pará"
"37","Limoeiro do Ajuru",8,"2018","Outubro","Todas","Pará"
"38","Maraba",109,"2018","Outubro","Todas","Pará"
"39","Marapanim",6,"2018","Outubro","Todas","Pará"
"40","Marituba",14,"2018","Outubro","Todas","Pará"
"41","Medicilândia",18,"2018","Outubro","Todas","Pará"
"42","Monte Alegre",14,"2018","Outubro","Todas","Pará"
"43","Mãe do Rio",19,"2018","Outubro","Todas","Pará"
"44","Nova Esperança do Piriá",9,"2018","Outubro","Todas","Pará"
"45","Novo Progresso",15,"2018","Outubro","Todas","Pará"
"46","Novo Repartimento",22,"2018","Outubro","Todas","Pará"
"47","Obidos",6,"2018","Outubro","Todas","Pará"
"48","Ourilândia do Norte",7,"2018","Outubro","Todas","Pará"
"49","Pacajá",10,"2018","Outubro","Todas","Pará"
"50","Palestina do Pará",1,"2018","Outubro","Todas","Pará"
"51","Paragominas",48,"2018","Outubro","Todas","Pará"
"52","Abaetetuba",42,"2018","Outubro","Todas","Pará"
"53","Alenquer",5,"2018","Outubro","Todas","Pará"
"54","Altamira",54,"2018","Outubro","Todas","Pará"
"55","Ananindeua",46,"2018","Outubro","Todas","Pará"
"56","Anapu",12,"2018","Outubro","Todas","Pará"
"57","Aurora do Pará",6,"2018","Outubro","Todas","Pará"
"58","Bagre",3,"2018","Outubro","Todas","Pará"
"59","Barcarena",34,"2018","Outubro","Todas","Pará"
"60","Belém",106,"2018","Outubro","Todas","Pará"
"61","Benevides",11,"2018","Outubro","Todas","Pará"
"62","Bonito",1,"2018","Outubro","Todas","Pará"
"63","Bragança",1,"2018","Outubro","Todas","Pará"
"64","Brejo Grande do Araguaia",1,"2018","Outubro","Todas","Pará"
"65","Breves",29,"2018","Outubro","Todas","Pará"
"66","Cachoeira do Piriá",2,"2018","Outubro","Todas","Pará"
"67","Cametá",20,"2018","Outubro","Todas","Pará"
"68","Canaã dos Carajás",14,"2018","Outubro","Todas","Pará"
"69","Capitão Poço",18,"2018","Outubro","Todas","Pará"
"70","Conceição do Araguaia",3,"2018","Outubro","Todas","Pará"
"71","Dom Eliseu",15,"2018","Outubro","Todas","Pará"
