"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Raimundo Nonato",37,"2018","Outubro","Todas","Piauí"
"2","Teresina",331,"2018","Outubro","Todas","Piauí"
"3","União",12,"2018","Outubro","Todas","Piauí"
"4","Uruçuí",4,"2018","Outubro","Todas","Piauí"
"5","Valença do Piauí",23,"2018","Outubro","Todas","Piauí"
"6","Oeiras",53,"2018","Outubro","Todas","Piauí"
"7","Palmeirais",6,"2018","Outubro","Todas","Piauí"
"8","Parnaguá",2,"2018","Outubro","Todas","Piauí"
"9","Parnaíba",77,"2018","Outubro","Todas","Piauí"
"10","Paulistana",28,"2018","Outubro","Todas","Piauí"
"11","Picos",36,"2018","Outubro","Todas","Piauí"
"12","Pimenteiras",7,"2018","Outubro","Todas","Piauí"
"13","Piracuruca",13,"2018","Outubro","Todas","Piauí"
"14","Piripiri",39,"2018","Outubro","Todas","Piauí"
"15","Porto",7,"2018","Outubro","Todas","Piauí"
"16","Prata do Piauí",1,"2018","Outubro","Todas","Piauí"
"17","Regeneração",10,"2018","Outubro","Todas","Piauí"
"18","Rio Grande do Piauí",5,"2018","Outubro","Todas","Piauí"
"19","Santa Cruz do Piauí",12,"2018","Outubro","Todas","Piauí"
"20","Santa Filomena",2,"2018","Outubro","Todas","Piauí"
"21","Simões",10,"2018","Outubro","Todas","Piauí"
"22","Socorro do Piauí",1,"2018","Outubro","Todas","Piauí"
"23","São Francisco do Piauí",5,"2018","Outubro","Todas","Piauí"
"24","São Félix do Piauí",1,"2018","Outubro","Todas","Piauí"
"25","São Julião",6,"2018","Outubro","Todas","Piauí"
"26","Demerval Lobão",5,"2018","Outubro","Todas","Piauí"
"27","Eliseu Martins",6,"2018","Outubro","Todas","Piauí"
"28","Flores do Piauí",3,"2018","Outubro","Todas","Piauí"
"29","Floriano",39,"2018","Outubro","Todas","Piauí"
"30","Francinópolis",5,"2018","Outubro","Todas","Piauí"
"31","Francisco Ayres",4,"2018","Outubro","Todas","Piauí"
"32","Fronteiras",8,"2018","Outubro","Todas","Piauí"
"33","Guadalupe",4,"2018","Outubro","Todas","Piauí"
"34","Inhuma",10,"2018","Outubro","Todas","Piauí"
"35","Jaicós",21,"2018","Outubro","Todas","Piauí"
"36","Jerumenha",4,"2018","Outubro","Todas","Piauí"
"37","Joaquim Pires",13,"2018","Outubro","Todas","Piauí"
"38","José de Freitas",13,"2018","Outubro","Todas","Piauí"
"39","Landri Sales",2,"2018","Outubro","Todas","Piauí"
"40","Luzilândia",19,"2018","Outubro","Todas","Piauí"
"41","Marcos Parente",6,"2018","Outubro","Todas","Piauí"
"42","Matias Olímpio",1,"2018","Outubro","Todas","Piauí"
"43","Monsenhor Gil",6,"2018","Outubro","Todas","Piauí"
"44","Monsenhor Hipólito",8,"2018","Outubro","Todas","Piauí"
"45","Nazaré do Piauí",4,"2018","Outubro","Todas","Piauí"
"46","Agricolândia",6,"2018","Outubro","Todas","Piauí"
"47","Alagoinha do Piauí",3,"2018","Outubro","Todas","Piauí"
"48","Alto Longá",11,"2018","Outubro","Todas","Piauí"
"49","Altos",28,"2018","Outubro","Todas","Piauí"
"50","Angical do Piauí",6,"2018","Outubro","Todas","Piauí"
"51","Antônio Almeida",1,"2018","Outubro","Todas","Piauí"
"52","Anísio de Abreu",9,"2018","Outubro","Todas","Piauí"
"53","Aroazes",2,"2018","Outubro","Todas","Piauí"
"54","Barras",19,"2018","Outubro","Todas","Piauí"
"55","Bertolínia",4,"2018","Outubro","Todas","Piauí"
"56","Bocaina",4,"2018","Outubro","Todas","Piauí"
"57","Buriti dos Lopes",11,"2018","Outubro","Todas","Piauí"
"58","Cabeceiras do Piauí",5,"2018","Outubro","Todas","Piauí"
"59","Campo Maior",29,"2018","Outubro","Todas","Piauí"
"60","Canto do Buriti",10,"2018","Outubro","Todas","Piauí"
"61","Capitão de Campos",11,"2018","Outubro","Todas","Piauí"
"62","Castelo do Piauí",18,"2018","Outubro","Todas","Piauí"
"63","Cocal",10,"2018","Outubro","Todas","Piauí"
"64","Conceição do Canindé",9,"2018","Outubro","Todas","Piauí"
"65","Curimatá",6,"2018","Outubro","Todas","Piauí"
