"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Santana do Ipanema",2,"2018","Setembro","Todas","Alagoas"
"2","Sao Miguel dos Campos",20,"2018","Setembro","Todas","Alagoas"
"3","Senador Rui Palmeira",1,"2018","Setembro","Todas","Alagoas"
"4","São Brás",4,"2018","Setembro","Todas","Alagoas"
"5","São José da Laje",8,"2018","Setembro","Todas","Alagoas"
"6","São José da Tapera",12,"2018","Setembro","Todas","Alagoas"
"7","São Luís do Quitunde",5,"2018","Setembro","Todas","Alagoas"
"8","São Miguel dos Milagres",1,"2018","Setembro","Todas","Alagoas"
"9","São Sebastião",13,"2018","Setembro","Todas","Alagoas"
"10","Taquarana",9,"2018","Setembro","Todas","Alagoas"
"11","Teotônio Vilela",12,"2018","Setembro","Todas","Alagoas"
"12","Traipu",12,"2018","Setembro","Todas","Alagoas"
"13","União dos Palmares",27,"2018","Setembro","Todas","Alagoas"
"14","Viçosa",14,"2018","Setembro","Todas","Alagoas"
"15","Água Branca",3,"2018","Setembro","Todas","Alagoas"
"16","Mata Grande",15,"2018","Setembro","Todas","Alagoas"
"17","Messias",3,"2018","Setembro","Todas","Alagoas"
"18","Monteirópolis",1,"2018","Setembro","Todas","Alagoas"
"19","Murici",10,"2018","Setembro","Todas","Alagoas"
"20","Olho D'água das Flores",6,"2018","Setembro","Todas","Alagoas"
"21","Olho D'água do Casado",5,"2018","Setembro","Todas","Alagoas"
"22","Olivença",2,"2018","Setembro","Todas","Alagoas"
"23","Ouro Branco",7,"2018","Setembro","Todas","Alagoas"
"24","Palmeira dos Índios",31,"2018","Setembro","Todas","Alagoas"
"25","Passo de Camaragibe",1,"2018","Setembro","Todas","Alagoas"
"26","Paulo Jacinto",2,"2018","Setembro","Todas","Alagoas"
"27","Penedo",28,"2018","Setembro","Todas","Alagoas"
"28","Piaçabuçu",5,"2018","Setembro","Todas","Alagoas"
"29","Pilar",9,"2018","Setembro","Todas","Alagoas"
"30","Piranhas",4,"2018","Setembro","Todas","Alagoas"
"31","Porto Calvo",6,"2018","Setembro","Todas","Alagoas"
"32","Porto Real do Colégio",9,"2018","Setembro","Todas","Alagoas"
"33","Porto de Pedras",3,"2018","Setembro","Todas","Alagoas"
"34","Quebrangulo",7,"2018","Setembro","Todas","Alagoas"
"35","Rio Largo",24,"2018","Setembro","Todas","Alagoas"
"36","Estrela de Alagoas",8,"2018","Setembro","Todas","Alagoas"
"37","Feira Grande",6,"2018","Setembro","Todas","Alagoas"
"38","Flexeiras",2,"2018","Setembro","Todas","Alagoas"
"39","Ibateguara",4,"2018","Setembro","Todas","Alagoas"
"40","Igaci",9,"2018","Setembro","Todas","Alagoas"
"41","Igreja Nova",12,"2018","Setembro","Todas","Alagoas"
"42","Inhapi",7,"2018","Setembro","Todas","Alagoas"
"43","Jacaré dos Homens",6,"2018","Setembro","Todas","Alagoas"
"44","Jacuípe",3,"2018","Setembro","Todas","Alagoas"
"45","Japaratinga",3,"2018","Setembro","Todas","Alagoas"
"46","Jaramataia",3,"2018","Setembro","Todas","Alagoas"
"47","Jequiá da Praia",3,"2018","Setembro","Todas","Alagoas"
"48","Jundiá",4,"2018","Setembro","Todas","Alagoas"
"49","Junqueiro",15,"2018","Setembro","Todas","Alagoas"
"50","Lagoa da Canoa",6,"2018","Setembro","Todas","Alagoas"
"51","Maceio",531,"2018","Setembro","Todas","Alagoas"
"52","Maragogi",11,"2018","Setembro","Todas","Alagoas"
"53","Maravilha",2,"2018","Setembro","Todas","Alagoas"
"54","Marechal Deodoro",13,"2018","Setembro","Todas","Alagoas"
"55","Maribondo",3,"2018","Setembro","Todas","Alagoas"
"56","Arapiraca",107,"2018","Setembro","Todas","Alagoas"
"57","Atalaia",9,"2018","Setembro","Todas","Alagoas"
"58","Barra de Santo Antônio",3,"2018","Setembro","Todas","Alagoas"
"59","Barra de São Miguel",2,"2018","Setembro","Todas","Alagoas"
"60","Belém",1,"2018","Setembro","Todas","Alagoas"
"61","Boca da Mata",12,"2018","Setembro","Todas","Alagoas"
"62","Branquinha",5,"2018","Setembro","Todas","Alagoas"
"63","Cacimbinhas",3,"2018","Setembro","Todas","Alagoas"
"64","Cajueiro",12,"2018","Setembro","Todas","Alagoas"
"65","Campestre",5,"2018","Setembro","Todas","Alagoas"
"66","Campo Alegre",11,"2018","Setembro","Todas","Alagoas"
"67","Campo Grande",4,"2018","Setembro","Todas","Alagoas"
"68","Canapi",4,"2018","Setembro","Todas","Alagoas"
"69","Capela",5,"2018","Setembro","Todas","Alagoas"
"70","Chã Preta",4,"2018","Setembro","Todas","Alagoas"
"71","Coité do Nóia",6,"2018","Setembro","Todas","Alagoas"
"72","Coruripe",5,"2018","Setembro","Todas","Alagoas"
"73","Craíbas",32,"2018","Setembro","Todas","Alagoas"
"74","Delmiro Gouveia",22,"2018","Setembro","Todas","Alagoas"
"75","Dois Riachos",1,"2018","Setembro","Todas","Alagoas"
