"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Benedito",11,"2018","Setembro","Todas","Ceará"
"2","São Gonçalo do Amarante",2,"2018","Setembro","Todas","Ceará"
"3","São João do Jaguaribe",4,"2018","Setembro","Todas","Ceará"
"4","Tabuleiro do Norte",19,"2018","Setembro","Todas","Ceará"
"5","Tarrafas",2,"2018","Setembro","Todas","Ceará"
"6","Tauá",29,"2018","Setembro","Todas","Ceará"
"7","Tianguá",15,"2018","Setembro","Todas","Ceará"
"8","Trairi",13,"2018","Setembro","Todas","Ceará"
"9","Tururu",8,"2018","Setembro","Todas","Ceará"
"10","Ubajara",23,"2018","Setembro","Todas","Ceará"
"11","Viçosa do Ceará",1,"2018","Setembro","Todas","Ceará"
"12","Várzea Alegre",21,"2018","Setembro","Todas","Ceará"
"13","Paracuru",15,"2018","Setembro","Todas","Ceará"
"14","Paraipaba",14,"2018","Setembro","Todas","Ceará"
"15","Pedra Branca",16,"2018","Setembro","Todas","Ceará"
"16","Penaforte",3,"2018","Setembro","Todas","Ceará"
"17","Pereiro",9,"2018","Setembro","Todas","Ceará"
"18","Piquet Carneiro",8,"2018","Setembro","Todas","Ceará"
"19","Porteiras",9,"2018","Setembro","Todas","Ceará"
"20","Potiretama",3,"2018","Setembro","Todas","Ceará"
"21","Quixadá",31,"2018","Setembro","Todas","Ceará"
"22","Quixeramobim",13,"2018","Setembro","Todas","Ceará"
"23","Quixere",6,"2018","Setembro","Todas","Ceará"
"24","Reriutaba",13,"2018","Setembro","Todas","Ceará"
"25","Russas",28,"2018","Setembro","Todas","Ceará"
"26","Salitre",4,"2018","Setembro","Todas","Ceará"
"27","Santa Quitéria",22,"2018","Setembro","Todas","Ceará"
"28","Santana do Acaraú",13,"2018","Setembro","Todas","Ceará"
"29","Santana do Cariri",8,"2018","Setembro","Todas","Ceará"
"30","Senador Pompeu",14,"2018","Setembro","Todas","Ceará"
"31","Sobral",38,"2018","Setembro","Todas","Ceará"
"32","Solonópole",1,"2018","Setembro","Todas","Ceará"
"33","Juazeiro do Norte",119,"2018","Setembro","Todas","Ceará"
"34","Lavras da Mangabeira",20,"2018","Setembro","Todas","Ceará"
"35","Limoeiro do Norte",23,"2018","Setembro","Todas","Ceará"
"36","Madalena",4,"2018","Setembro","Todas","Ceará"
"37","Maracanau",87,"2018","Setembro","Todas","Ceará"
"38","Maranguape",32,"2018","Setembro","Todas","Ceará"
"39","Marco",14,"2018","Setembro","Todas","Ceará"
"40","Meruoca",9,"2018","Setembro","Todas","Ceará"
"41","Milagres",15,"2018","Setembro","Todas","Ceará"
"42","Milhã",12,"2018","Setembro","Todas","Ceará"
"43","Morrinhos",5,"2018","Setembro","Todas","Ceará"
"44","Mulungu",4,"2018","Setembro","Todas","Ceará"
"45","Nova Russas",16,"2018","Setembro","Todas","Ceará"
"46","Novo Oriente",16,"2018","Setembro","Todas","Ceará"
"47","Ocara",11,"2018","Setembro","Todas","Ceará"
"48","Orós",1,"2018","Setembro","Todas","Ceará"
"49","Pacatuba",18,"2018","Setembro","Todas","Ceará"
"50","Pacoti",2,"2018","Setembro","Todas","Ceará"
"51","Palhano",3,"2018","Setembro","Todas","Ceará"
"52","Palmácia",4,"2018","Setembro","Todas","Ceará"
"53","General Sampaio",1,"2018","Setembro","Todas","Ceará"
"54","Granja",6,"2018","Setembro","Todas","Ceará"
"55","Graça",8,"2018","Setembro","Todas","Ceará"
"56","Guaramiranga",1,"2018","Setembro","Todas","Ceará"
"57","Hidrolândia",12,"2018","Setembro","Todas","Ceará"
"58","Horizonte",19,"2018","Setembro","Todas","Ceará"
"59","Ibiapina",15,"2018","Setembro","Todas","Ceará"
"60","Icapuí",1,"2018","Setembro","Todas","Ceará"
"61","Icó",1,"2018","Setembro","Todas","Ceará"
"62","Iguatu",53,"2018","Setembro","Todas","Ceará"
"63","Ipaporanga",3,"2018","Setembro","Todas","Ceará"
"64","Ipaumirim",5,"2018","Setembro","Todas","Ceará"
"65","Irauçuba",8,"2018","Setembro","Todas","Ceará"
"66","Itapajé",19,"2018","Setembro","Todas","Ceará"
