"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São José dos Ramos",4,"2018","Setembro","Todas","Paraíba"
"2","São João do Cariri",7,"2018","Setembro","Todas","Paraíba"
"3","São João do Rio do Peixe",5,"2018","Setembro","Todas","Paraíba"
"4","São João do Tigre",3,"2018","Setembro","Todas","Paraíba"
"5","São Mamede",7,"2018","Setembro","Todas","Paraíba"
"6","São Miguel de Taipu",5,"2018","Setembro","Todas","Paraíba"
"7","São Sebastião de Lagoa de Roça",6,"2018","Setembro","Todas","Paraíba"
"8","Taperoá",5,"2018","Setembro","Todas","Paraíba"
"9","Tavares",10,"2018","Setembro","Todas","Paraíba"
"10","Teixeira",12,"2018","Setembro","Todas","Paraíba"
"11","Tenório",1,"2018","Setembro","Todas","Paraíba"
"12","Triunfo",5,"2018","Setembro","Todas","Paraíba"
"13","Uiraúna",6,"2018","Setembro","Todas","Paraíba"
"14","Umbuzeiro",5,"2018","Setembro","Todas","Paraíba"
"15","Vista Serrana",2,"2018","Setembro","Todas","Paraíba"
"16","Várzea",1,"2018","Setembro","Todas","Paraíba"
"17","Água Branca",5,"2018","Setembro","Todas","Paraíba"
"18","Serraria",1,"2018","Setembro","Todas","Paraíba"
"19","Sertãozinho",1,"2018","Setembro","Todas","Paraíba"
"20","Sobrado",1,"2018","Setembro","Todas","Paraíba"
"21","Soledade",5,"2018","Setembro","Todas","Paraíba"
"22","Solânea",15,"2018","Setembro","Todas","Paraíba"
"23","Sossêgo",1,"2018","Setembro","Todas","Paraíba"
"24","Sousa",44,"2018","Setembro","Todas","Paraíba"
"25","Sumé",10,"2018","Setembro","Todas","Paraíba"
"26","São Bentinho",2,"2018","Setembro","Todas","Paraíba"
"27","São Bento",18,"2018","Setembro","Todas","Paraíba"
"28","São Domingos",2,"2018","Setembro","Todas","Paraíba"
"29","São Domingos do Cariri",1,"2018","Setembro","Todas","Paraíba"
"30","São Francisco",1,"2018","Setembro","Todas","Paraíba"
"31","São José da Lagoa Tapada",6,"2018","Setembro","Todas","Paraíba"
"32","São José de Espinharas",1,"2018","Setembro","Todas","Paraíba"
"33","São José de Piranhas",12,"2018","Setembro","Todas","Paraíba"
"34","São José de Princesa",1,"2018","Setembro","Todas","Paraíba"
"35","São José do Bonfim",1,"2018","Setembro","Todas","Paraíba"
"36","São José do Sabugi",1,"2018","Setembro","Todas","Paraíba"
"37","São José dos Cordeiros",1,"2018","Setembro","Todas","Paraíba"
"38","Quixabá",2,"2018","Setembro","Todas","Paraíba"
"39","Remígio",8,"2018","Setembro","Todas","Paraíba"
"40","Riacho dos Cavalos",2,"2018","Setembro","Todas","Paraíba"
"41","Riachão",6,"2018","Setembro","Todas","Paraíba"
"42","Rio Tinto",7,"2018","Setembro","Todas","Paraíba"
"43","Salgado de São Félix",13,"2018","Setembro","Todas","Paraíba"
"44","Santa Cecília",8,"2018","Setembro","Todas","Paraíba"
"45","Santa Cruz",2,"2018","Setembro","Todas","Paraíba"
"46","Santa Inês",1,"2018","Setembro","Todas","Paraíba"
"47","Santa Luzia",5,"2018","Setembro","Todas","Paraíba"
"48","Santa Rita",71,"2018","Setembro","Todas","Paraíba"
"49","Santana de Mangueira",3,"2018","Setembro","Todas","Paraíba"
"50","Santana dos Garrotes",8,"2018","Setembro","Todas","Paraíba"
"51","Santo André",4,"2018","Setembro","Todas","Paraíba"
"52","Sapé",24,"2018","Setembro","Todas","Paraíba"
"53","Seridó",5,"2018","Setembro","Todas","Paraíba"
"54","Serra Branca",7,"2018","Setembro","Todas","Paraíba"
"55","Serra Grande",1,"2018","Setembro","Todas","Paraíba"
"56","Serra Redonda",5,"2018","Setembro","Todas","Paraíba"
"57","Serra da Raiz",2,"2018","Setembro","Todas","Paraíba"
"58","Nova Palmeira",2,"2018","Setembro","Todas","Paraíba"
"59","Olho D'água",2,"2018","Setembro","Todas","Paraíba"
"60","Olivedos",2,"2018","Setembro","Todas","Paraíba"
"61","Passagem",1,"2018","Setembro","Todas","Paraíba"
"62","Patos",54,"2018","Setembro","Todas","Paraíba"
"63","Paulista",12,"2018","Setembro","Todas","Paraíba"
"64","Pedra Lavrada",4,"2018","Setembro","Todas","Paraíba"
"65","Pedras de Fogo",12,"2018","Setembro","Todas","Paraíba"
"66","Pedro Régis",3,"2018","Setembro","Todas","Paraíba"
