"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Raimundo Nonato",22,"2018","Setembro","Todas","Piauí"
"2","Teresina",159,"2018","Setembro","Todas","Piauí"
"3","União",16,"2018","Setembro","Todas","Piauí"
"4","Uruçuí",6,"2018","Setembro","Todas","Piauí"
"5","Valença do Piauí",17,"2018","Setembro","Todas","Piauí"
"6","Palmeirais",2,"2018","Setembro","Todas","Piauí"
"7","Parnaguá",4,"2018","Setembro","Todas","Piauí"
"8","Parnaíba",96,"2018","Setembro","Todas","Piauí"
"9","Paulistana",15,"2018","Setembro","Todas","Piauí"
"10","Picos",30,"2018","Setembro","Todas","Piauí"
"11","Pimenteiras",6,"2018","Setembro","Todas","Piauí"
"12","Piripiri",30,"2018","Setembro","Todas","Piauí"
"13","Porto",3,"2018","Setembro","Todas","Piauí"
"14","Prata do Piauí",1,"2018","Setembro","Todas","Piauí"
"15","Redenção do Gurguéia",4,"2018","Setembro","Todas","Piauí"
"16","Regeneração",13,"2018","Setembro","Todas","Piauí"
"17","Rio Grande do Piauí",9,"2018","Setembro","Todas","Piauí"
"18","Santa Cruz do Piauí",4,"2018","Setembro","Todas","Piauí"
"19","Simões",8,"2018","Setembro","Todas","Piauí"
"20","Socorro do Piauí",2,"2018","Setembro","Todas","Piauí"
"21","São Francisco do Piauí",2,"2018","Setembro","Todas","Piauí"
"22","São Félix do Piauí",4,"2018","Setembro","Todas","Piauí"
"23","São Gonçalo do Piauí",2,"2018","Setembro","Todas","Piauí"
"24","São José do Piauí",3,"2018","Setembro","Todas","Piauí"
"25","São Julião",4,"2018","Setembro","Todas","Piauí"
"26","Eliseu Martins",4,"2018","Setembro","Todas","Piauí"
"27","Flores do Piauí",3,"2018","Setembro","Todas","Piauí"
"28","Floriano",47,"2018","Setembro","Todas","Piauí"
"29","Francinópolis",3,"2018","Setembro","Todas","Piauí"
"30","Francisco Ayres",3,"2018","Setembro","Todas","Piauí"
"31","Fronteiras",10,"2018","Setembro","Todas","Piauí"
"32","Guadalupe",5,"2018","Setembro","Todas","Piauí"
"33","Inhuma",8,"2018","Setembro","Todas","Piauí"
"34","Jaicós",27,"2018","Setembro","Todas","Piauí"
"35","Jerumenha",5,"2018","Setembro","Todas","Piauí"
"36","Joaquim Pires",11,"2018","Setembro","Todas","Piauí"
"37","José de Freitas",14,"2018","Setembro","Todas","Piauí"
"38","Landri Sales",3,"2018","Setembro","Todas","Piauí"
"39","Luzilândia",21,"2018","Setembro","Todas","Piauí"
"40","Marcos Parente",1,"2018","Setembro","Todas","Piauí"
"41","Matias Olímpio",7,"2018","Setembro","Todas","Piauí"
"42","Monsenhor Gil",1,"2018","Setembro","Todas","Piauí"
"43","Monsenhor Hipólito",7,"2018","Setembro","Todas","Piauí"
"44","Nazaré do Piauí",3,"2018","Setembro","Todas","Piauí"
"45","Oeiras",39,"2018","Setembro","Todas","Piauí"
"46","Agricolândia",2,"2018","Setembro","Todas","Piauí"
"47","Alagoinha do Piauí",9,"2018","Setembro","Todas","Piauí"
"48","Alto Longá",8,"2018","Setembro","Todas","Piauí"
"49","Altos",25,"2018","Setembro","Todas","Piauí"
"50","Angical do Piauí",5,"2018","Setembro","Todas","Piauí"
"51","Anísio de Abreu",2,"2018","Setembro","Todas","Piauí"
"52","Aroazes",2,"2018","Setembro","Todas","Piauí"
"53","Barras",16,"2018","Setembro","Todas","Piauí"
"54","Bertolínia",5,"2018","Setembro","Todas","Piauí"
"55","Bocaina",7,"2018","Setembro","Todas","Piauí"
"56","Buriti dos Lopes",9,"2018","Setembro","Todas","Piauí"
"57","Cabeceiras do Piauí",6,"2018","Setembro","Todas","Piauí"
"58","Campo Maior",38,"2018","Setembro","Todas","Piauí"
"59","Canto do Buriti",15,"2018","Setembro","Todas","Piauí"
"60","Capitão de Campos",6,"2018","Setembro","Todas","Piauí"
"61","Caracol",1,"2018","Setembro","Todas","Piauí"
"62","Castelo do Piauí",16,"2018","Setembro","Todas","Piauí"
"63","Conceição do Canindé",3,"2018","Setembro","Todas","Piauí"
"64","Curimatá",4,"2018","Setembro","Todas","Piauí"
"65","Demerval Lobão",10,"2018","Setembro","Todas","Piauí"
