"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Gonçalo do Amarante",43,"2018","Setembro","Todas","Rio Grande do Norte"
"2","São José de Mipibu",21,"2018","Setembro","Todas","Rio Grande do Norte"
"3","São José do Campestre",5,"2018","Setembro","Todas","Rio Grande do Norte"
"4","São Miguel",12,"2018","Setembro","Todas","Rio Grande do Norte"
"5","São Miguel do Gostoso",1,"2018","Setembro","Todas","Rio Grande do Norte"
"6","São Tomé",9,"2018","Setembro","Todas","Rio Grande do Norte"
"7","Taipu",3,"2018","Setembro","Todas","Rio Grande do Norte"
"8","Tangará",4,"2018","Setembro","Todas","Rio Grande do Norte"
"9","Tenente Laurentino Cruz",4,"2018","Setembro","Todas","Rio Grande do Norte"
"10","Tibau",2,"2018","Setembro","Todas","Rio Grande do Norte"
"11","Touros",12,"2018","Setembro","Todas","Rio Grande do Norte"
"12","Upanema",3,"2018","Setembro","Todas","Rio Grande do Norte"
"13","Natal",425,"2018","Setembro","Todas","Rio Grande do Norte"
"14","Nova Cruz",20,"2018","Setembro","Todas","Rio Grande do Norte"
"15","Nísia Floresta",6,"2018","Setembro","Todas","Rio Grande do Norte"
"16","Parelhas",25,"2018","Setembro","Todas","Rio Grande do Norte"
"17","Parnamirim",72,"2018","Setembro","Todas","Rio Grande do Norte"
"18","Pedra Grande",3,"2018","Setembro","Todas","Rio Grande do Norte"
"19","Pedra Preta",1,"2018","Setembro","Todas","Rio Grande do Norte"
"20","Poço Branco",1,"2018","Setembro","Todas","Rio Grande do Norte"
"21","Rafael Godeiro",1,"2018","Setembro","Todas","Rio Grande do Norte"
"22","Riachuelo",5,"2018","Setembro","Todas","Rio Grande do Norte"
"23","Rio do Fogo",5,"2018","Setembro","Todas","Rio Grande do Norte"
"24","Senador Elói de Souza",2,"2018","Setembro","Todas","Rio Grande do Norte"
"25","Senador Georgino Avelino",2,"2018","Setembro","Todas","Rio Grande do Norte"
"26","Serra Caiada",6,"2018","Setembro","Todas","Rio Grande do Norte"
"27","Serra Negra do Norte",4,"2018","Setembro","Todas","Rio Grande do Norte"
"28","Serra de São Bento",2,"2018","Setembro","Todas","Rio Grande do Norte"
"29","Serra do Mel",6,"2018","Setembro","Todas","Rio Grande do Norte"
"30","São Bento do Norte",5,"2018","Setembro","Todas","Rio Grande do Norte"
"31","São Bento do Trairí",4,"2018","Setembro","Todas","Rio Grande do Norte"
"32","São Francisco do Oeste",2,"2018","Setembro","Todas","Rio Grande do Norte"
"33","Florânia",7,"2018","Setembro","Todas","Rio Grande do Norte"
"34","Frutuoso Gomes",1,"2018","Setembro","Todas","Rio Grande do Norte"
"35","Goianinha",7,"2018","Setembro","Todas","Rio Grande do Norte"
"36","Governador Dix-Sept Rosado",9,"2018","Setembro","Todas","Rio Grande do Norte"
"37","Grossos",3,"2018","Setembro","Todas","Rio Grande do Norte"
"38","Ielmo Marinho",2,"2018","Setembro","Todas","Rio Grande do Norte"
"39","Itajá",3,"2018","Setembro","Todas","Rio Grande do Norte"
"40","Jandaíra",1,"2018","Setembro","Todas","Rio Grande do Norte"
"41","Jardim de Angicos",4,"2018","Setembro","Todas","Rio Grande do Norte"
"42","Jardim de Piranhas",7,"2018","Setembro","Todas","Rio Grande do Norte"
"43","Jardim do Seridó",4,"2018","Setembro","Todas","Rio Grande do Norte"
"44","Jaçanã",9,"2018","Setembro","Todas","Rio Grande do Norte"
"45","João Câmara",9,"2018","Setembro","Todas","Rio Grande do Norte"
"46","Jucurutu",14,"2018","Setembro","Todas","Rio Grande do Norte"
"47","Lagoa Nova",8,"2018","Setembro","Todas","Rio Grande do Norte"
"48","Lajes",2,"2018","Setembro","Todas","Rio Grande do Norte"
"49","Lucrécia",1,"2018","Setembro","Todas","Rio Grande do Norte"
"50","Luís Gomes",5,"2018","Setembro","Todas","Rio Grande do Norte"
"51","Macaíba",32,"2018","Setembro","Todas","Rio Grande do Norte"
"52","Mossoró",92,"2018","Setembro","Todas","Rio Grande do Norte"
"53","Acari",7,"2018","Setembro","Todas","Rio Grande do Norte"
"54","Almino Afonso",3,"2018","Setembro","Todas","Rio Grande do Norte"
"55","Angicos",1,"2018","Setembro","Todas","Rio Grande do Norte"
"56","Apodi",21,"2018","Setembro","Todas","Rio Grande do Norte"
"57","Arez",2,"2018","Setembro","Todas","Rio Grande do Norte"
"58","Açu",18,"2018","Setembro","Todas","Rio Grande do Norte"
"59","Baraúna",9,"2018","Setembro","Todas","Rio Grande do Norte"
"60","Baía Formosa",2,"2018","Setembro","Todas","Rio Grande do Norte"
"61","Bom Jesus",7,"2018","Setembro","Todas","Rio Grande do Norte"
"62","Caicó",37,"2018","Setembro","Todas","Rio Grande do Norte"
"63","Campo Grande",3,"2018","Setembro","Todas","Rio Grande do Norte"
"64","Canguaretama",12,"2018","Setembro","Todas","Rio Grande do Norte"
"65","Caraúbas",16,"2018","Setembro","Todas","Rio Grande do Norte"
"66","Carnaubais",5,"2018","Setembro","Todas","Rio Grande do Norte"
"67","Coronel Ezequiel",3,"2018","Setembro","Todas","Rio Grande do Norte"
"68","Cruzeta",4,"2018","Setembro","Todas","Rio Grande do Norte"
"69","Currais Novos",14,"2018","Setembro","Todas","Rio Grande do Norte"
"70","Encanto",3,"2018","Setembro","Todas","Rio Grande do Norte"
"71","Equador",3,"2018","Setembro","Todas","Rio Grande do Norte"
"72","Extremoz",18,"2018","Setembro","Todas","Rio Grande do Norte"
