"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Apuí",4,"2019","Abril","Todas","Amazonas"
"2","Autazes",13,"2019","Abril","Todas","Amazonas"
"3","Borba",6,"2019","Abril","Todas","Amazonas"
"4","Ipixuna",8,"2019","Abril","Todas","Amazonas"
"5","Itacoatiara",26,"2019","Abril","Todas","Amazonas"
"6","Itapiranga",5,"2019","Abril","Todas","Amazonas"
"7","Jutaí",10,"2019","Abril","Todas","Amazonas"
"8","Lábrea",9,"2019","Abril","Todas","Amazonas"
"9","Manacapuru",19,"2019","Abril","Todas","Amazonas"
"10","Manaus",1026,"2019","Abril","Todas","Amazonas"
"11","Novo Airão",5,"2019","Abril","Todas","Amazonas"
"12","Parintins",48,"2019","Abril","Todas","Amazonas"
"13","Silves",4,"2019","Abril","Todas","Amazonas"
"14","São Paulo de Olivença",4,"2019","Abril","Todas","Amazonas"
"15","São Sebastião do Uatumã",6,"2019","Abril","Todas","Amazonas"
"16","Uarini",2,"2019","Abril","Todas","Amazonas"
