"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Água Fria",6,"2019","Abril","Todas","Bahia"
"2","São Domingos",1,"2019","Abril","Todas","Bahia"
"3","São Felipe",10,"2019","Abril","Todas","Bahia"
"4","São Félix",9,"2019","Abril","Todas","Bahia"
"5","São Félix do Coribe",5,"2019","Abril","Todas","Bahia"
"6","São Sebastião do Passé",20,"2019","Abril","Todas","Bahia"
"7","Tanquinho",5,"2019","Abril","Todas","Bahia"
"8","Taperoá",8,"2019","Abril","Todas","Bahia"
"9","Teixeira de Freitas",67,"2019","Abril","Todas","Bahia"
"10","Teodoro Sampaio",5,"2019","Abril","Todas","Bahia"
"11","Terra Nova",7,"2019","Abril","Todas","Bahia"
"12","Tucano",15,"2019","Abril","Todas","Bahia"
"13","Ubaitaba",23,"2019","Abril","Todas","Bahia"
"14","Una",11,"2019","Abril","Todas","Bahia"
"15","Urandi",7,"2019","Abril","Todas","Bahia"
"16","Uruçuca",16,"2019","Abril","Todas","Bahia"
"17","Valença",39,"2019","Abril","Todas","Bahia"
"18","Vera Cruz",10,"2019","Abril","Todas","Bahia"
"19","Vitoria da Conquista",190,"2019","Abril","Todas","Bahia"
"20","Wenceslau Guimarães",13,"2019","Abril","Todas","Bahia"
"21","Xique-Xique",25,"2019","Abril","Todas","Bahia"
"22","Santa Rita de Cássia",22,"2019","Abril","Todas","Bahia"
"23","Santana",8,"2019","Abril","Todas","Bahia"
"24","Santanópolis",4,"2019","Abril","Todas","Bahia"
"25","Santo Amaro",15,"2019","Abril","Todas","Bahia"
"26","Santo Estêvão",37,"2019","Abril","Todas","Bahia"
"27","Sapeaçu",2,"2019","Abril","Todas","Bahia"
"28","Saúde",18,"2019","Abril","Todas","Bahia"
"29","Seabra",30,"2019","Abril","Todas","Bahia"
"30","Sebastião Laranjeiras",7,"2019","Abril","Todas","Bahia"
"31","Senhor do Bonfim",3,"2019","Abril","Todas","Bahia"
"32","Sento Sé",10,"2019","Abril","Todas","Bahia"
"33","Serra Preta",12,"2019","Abril","Todas","Bahia"
"34","Serra do Ramalho",18,"2019","Abril","Todas","Bahia"
"35","Serrinha",38,"2019","Abril","Todas","Bahia"
"36","Serrolândia",4,"2019","Abril","Todas","Bahia"
"37","Simões Filho",32,"2019","Abril","Todas","Bahia"
"38","Sobradinho",11,"2019","Abril","Todas","Bahia"
"39","Souto Soares",9,"2019","Abril","Todas","Bahia"
"40","Sátiro Dias",4,"2019","Abril","Todas","Bahia"
"41","São Desidério",15,"2019","Abril","Todas","Bahia"
"42","Presidente Jânio Quadros",9,"2019","Abril","Todas","Bahia"
"43","Presidente Tancredo Neves",8,"2019","Abril","Todas","Bahia"
"44","Pé de Serra",10,"2019","Abril","Todas","Bahia"
"45","Queimadas",9,"2019","Abril","Todas","Bahia"
"46","Quijingue",9,"2019","Abril","Todas","Bahia"
"47","Rafael Jambeiro",9,"2019","Abril","Todas","Bahia"
"48","Remanso",16,"2019","Abril","Todas","Bahia"
"49","Riacho de Santana",14,"2019","Abril","Todas","Bahia"
"50","Riachão das Neves",8,"2019","Abril","Todas","Bahia"
"51","Riachão do Jacuípe",14,"2019","Abril","Todas","Bahia"
"52","Rio Real",19,"2019","Abril","Todas","Bahia"
"53","Rio de Contas",10,"2019","Abril","Todas","Bahia"
"54","Rio do Antônio",6,"2019","Abril","Todas","Bahia"
"55","Rodelas",5,"2019","Abril","Todas","Bahia"
"56","Salvador",1070,"2019","Abril","Todas","Bahia"
"57","Santa Bárbara",8,"2019","Abril","Todas","Bahia"
"58","Santa Cruz da Vitória",2,"2019","Abril","Todas","Bahia"
"59","Santa Inês",6,"2019","Abril","Todas","Bahia"
"60","Santa Luzia",6,"2019","Abril","Todas","Bahia"
"61","Santa Maria da Vitória",17,"2019","Abril","Todas","Bahia"
"62","Olindina",30,"2019","Abril","Todas","Bahia"
"63","Oliveira dos Brejinhos",13,"2019","Abril","Todas","Bahia"
"64","Ouriçangas",9,"2019","Abril","Todas","Bahia"
"65","Ourolândia",6,"2019","Abril","Todas","Bahia"
"66","Palmas de Monte Alto",4,"2019","Abril","Todas","Bahia"
"67","Palmeiras",4,"2019","Abril","Todas","Bahia"
"68","Paramirim",14,"2019","Abril","Todas","Bahia"
"69","Paratinga",4,"2019","Abril","Todas","Bahia"
"70","Paulo Afonso",58,"2019","Abril","Todas","Bahia"
"71","Pedrão",1,"2019","Abril","Todas","Bahia"
"72","Pindobaçu",14,"2019","Abril","Todas","Bahia"
"73","Pintadas",3,"2019","Abril","Todas","Bahia"
"74","Piripá",6,"2019","Abril","Todas","Bahia"
"75","Piritiba",15,"2019","Abril","Todas","Bahia"
"76","Planalto",2,"2019","Abril","Todas","Bahia"
"77","Pojuca",19,"2019","Abril","Todas","Bahia"
"78","Porto Seguro",53,"2019","Abril","Todas","Bahia"
"79","Potiraguá",6,"2019","Abril","Todas","Bahia"
"80","Poções",17,"2019","Abril","Todas","Bahia"
"81","Prado",18,"2019","Abril","Todas","Bahia"
"82","Malhada de Pedras",7,"2019","Abril","Todas","Bahia"
"83","Maracás",10,"2019","Abril","Todas","Bahia"
"84","Maraú",5,"2019","Abril","Todas","Bahia"
