"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tesouro",2,"2019","Abril","Todas","Mato Grosso"
"2","Torixoréu",1,"2019","Abril","Todas","Mato Grosso"
"3","União do Sul",2,"2019","Abril","Todas","Mato Grosso"
"4","Varzea Grande",16,"2019","Abril","Todas","Mato Grosso"
"5","Vera",3,"2019","Abril","Todas","Mato Grosso"
"6","Vila Rica",2,"2019","Abril","Todas","Mato Grosso"
"7","Água Boa",11,"2019","Abril","Todas","Mato Grosso"
"8","Porto Alegre do Norte",2,"2019","Abril","Todas","Mato Grosso"
"9","Porto Estrela",1,"2019","Abril","Todas","Mato Grosso"
"10","Porto dos Gaúchos",4,"2019","Abril","Todas","Mato Grosso"
"11","Poxoréo",6,"2019","Abril","Todas","Mato Grosso"
"12","Primavera do Leste",22,"2019","Abril","Todas","Mato Grosso"
"13","Querência",5,"2019","Abril","Todas","Mato Grosso"
"14","Ribeirão Cascalheira",1,"2019","Abril","Todas","Mato Grosso"
"15","Rio Branco",3,"2019","Abril","Todas","Mato Grosso"
"16","Rondonópolis",66,"2019","Abril","Todas","Mato Grosso"
"17","Rosário Oeste",4,"2019","Abril","Todas","Mato Grosso"
"18","Salto do Céu",2,"2019","Abril","Todas","Mato Grosso"
"19","Santa Rita do Trivelato",2,"2019","Abril","Todas","Mato Grosso"
"20","Santa Terezinha",2,"2019","Abril","Todas","Mato Grosso"
"21","Santo Antônio do Leverger",3,"2019","Abril","Todas","Mato Grosso"
"22","Sinop",65,"2019","Abril","Todas","Mato Grosso"
"23","Sorriso",28,"2019","Abril","Todas","Mato Grosso"
"24","São Félix do Araguaia",1,"2019","Abril","Todas","Mato Grosso"
"25","Tabaporã",2,"2019","Abril","Todas","Mato Grosso"
"26","Tangará da Serra",25,"2019","Abril","Todas","Mato Grosso"
"27","Terra Nova do Norte",7,"2019","Abril","Todas","Mato Grosso"
"28","Matupá",7,"2019","Abril","Todas","Mato Grosso"
"29","Mirassol D'oeste",18,"2019","Abril","Todas","Mato Grosso"
"30","Nobres",5,"2019","Abril","Todas","Mato Grosso"
"31","Nortelândia",3,"2019","Abril","Todas","Mato Grosso"
"32","Nossa Senhora do Livramento",4,"2019","Abril","Todas","Mato Grosso"
"33","Nova Bandeirantes",3,"2019","Abril","Todas","Mato Grosso"
"34","Nova Canaã do Norte",3,"2019","Abril","Todas","Mato Grosso"
"35","Nova Marilândia",1,"2019","Abril","Todas","Mato Grosso"
"36","Nova Maringá",2,"2019","Abril","Todas","Mato Grosso"
"37","Nova Ubiratã",6,"2019","Abril","Todas","Mato Grosso"
"38","Nova Xavantina",10,"2019","Abril","Todas","Mato Grosso"
"39","Novo Horizonte do Norte",2,"2019","Abril","Todas","Mato Grosso"
"40","Novo Mundo",1,"2019","Abril","Todas","Mato Grosso"
"41","Novo São Joaquim",3,"2019","Abril","Todas","Mato Grosso"
"42","Paranatinga",8,"2019","Abril","Todas","Mato Grosso"
"43","Paranaíta",2,"2019","Abril","Todas","Mato Grosso"
"44","Pedra Preta",12,"2019","Abril","Todas","Mato Grosso"
"45","Planalto da Serra",4,"2019","Abril","Todas","Mato Grosso"
"46","Pontal do Araguaia",3,"2019","Abril","Todas","Mato Grosso"
"47","Pontes e Lacerda",12,"2019","Abril","Todas","Mato Grosso"
"48","Confresa",13,"2019","Abril","Todas","Mato Grosso"
"49","Cotriguaçu",4,"2019","Abril","Todas","Mato Grosso"
"50","Cuiaba",450,"2019","Abril","Todas","Mato Grosso"
"51","Cáceres",48,"2019","Abril","Todas","Mato Grosso"
"52","Dom Aquino",5,"2019","Abril","Todas","Mato Grosso"
"53","Feliz Natal",4,"2019","Abril","Todas","Mato Grosso"
"54","Figueirópolis D'oeste",5,"2019","Abril","Todas","Mato Grosso"
"55","General Carneiro",1,"2019","Abril","Todas","Mato Grosso"
"56","Guarantã do Norte",13,"2019","Abril","Todas","Mato Grosso"
"57","Guiratinga",8,"2019","Abril","Todas","Mato Grosso"
"58","Itanhangá",2,"2019","Abril","Todas","Mato Grosso"
"59","Itaúba",2,"2019","Abril","Todas","Mato Grosso"
"60","Itiquira",4,"2019","Abril","Todas","Mato Grosso"
"61","Jaciara",3,"2019","Abril","Todas","Mato Grosso"
"62","Juara",14,"2019","Abril","Todas","Mato Grosso"
"63","Juruena",3,"2019","Abril","Todas","Mato Grosso"
"64","Juscimeira",3,"2019","Abril","Todas","Mato Grosso"
"65","Juína",22,"2019","Abril","Todas","Mato Grosso"
"66","Lucas do Rio Verde",18,"2019","Abril","Todas","Mato Grosso"
"67","Marcelândia",2,"2019","Abril","Todas","Mato Grosso"
"68","Alta Floresta",29,"2019","Abril","Todas","Mato Grosso"
"69","Alto Garças",2,"2019","Abril","Todas","Mato Grosso"
"70","Alto Paraguai",2,"2019","Abril","Todas","Mato Grosso"
"71","Apiacás",4,"2019","Abril","Todas","Mato Grosso"
"72","Araguaiana",1,"2019","Abril","Todas","Mato Grosso"
"73","Araputanga",7,"2019","Abril","Todas","Mato Grosso"
"74","Aripuanã",5,"2019","Abril","Todas","Mato Grosso"
"75","Barra do Bugres",9,"2019","Abril","Todas","Mato Grosso"
"76","Barra do Garças",32,"2019","Abril","Todas","Mato Grosso"
"77","Brasnorte",4,"2019","Abril","Todas","Mato Grosso"
"78","Campo Verde",11,"2019","Abril","Todas","Mato Grosso"
"79","Campos de Júlio",2,"2019","Abril","Todas","Mato Grosso"
"80","Canabrava do Norte",1,"2019","Abril","Todas","Mato Grosso"
"81","Canarana",7,"2019","Abril","Todas","Mato Grosso"
"82","Carlinda",5,"2019","Abril","Todas","Mato Grosso"
"83","Castanheira",2,"2019","Abril","Todas","Mato Grosso"
"84","Cláudia",2,"2019","Abril","Todas","Mato Grosso"
"85","Colniza",1,"2019","Abril","Todas","Mato Grosso"
"86","Colíder",30,"2019","Abril","Todas","Mato Grosso"
"87","Comodoro",9,"2019","Abril","Todas","Mato Grosso"
