"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Virginópolis",7,"2019","Abril","Todas","Minas Gerais"
"2","Virgolândia",4,"2019","Abril","Todas","Minas Gerais"
"3","Virgínia",9,"2019","Abril","Todas","Minas Gerais"
"4","Viçosa",38,"2019","Abril","Todas","Minas Gerais"
"5","Volta Grande",5,"2019","Abril","Todas","Minas Gerais"
"6","Wenceslau Braz",2,"2019","Abril","Todas","Minas Gerais"
"7","Água Boa",3,"2019","Abril","Todas","Minas Gerais"
"8","Água Comprida",1,"2019","Abril","Todas","Minas Gerais"
"9","Águas Formosas",12,"2019","Abril","Todas","Minas Gerais"
"10","Águas Vermelhas",9,"2019","Abril","Todas","Minas Gerais"
"11","Ubaporanga",8,"2019","Abril","Todas","Minas Gerais"
"12","Ubaí",11,"2019","Abril","Todas","Minas Gerais"
"13","Uberaba",185,"2019","Abril","Todas","Minas Gerais"
"14","Uberlandia",382,"2019","Abril","Todas","Minas Gerais"
"15","Ubá",55,"2019","Abril","Todas","Minas Gerais"
"16","Umburatiba",2,"2019","Abril","Todas","Minas Gerais"
"17","Unaí",49,"2019","Abril","Todas","Minas Gerais"
"18","Uruana de Minas",4,"2019","Abril","Todas","Minas Gerais"
"19","Urucania",5,"2019","Abril","Todas","Minas Gerais"
"20","Urucuia",3,"2019","Abril","Todas","Minas Gerais"
"21","Vargem Bonita",2,"2019","Abril","Todas","Minas Gerais"
"22","Vargem Grande do Rio Pardo",3,"2019","Abril","Todas","Minas Gerais"
"23","Varginha",79,"2019","Abril","Todas","Minas Gerais"
"24","Varjão de Minas",1,"2019","Abril","Todas","Minas Gerais"
"25","Varzea da Palma",19,"2019","Abril","Todas","Minas Gerais"
"26","Varzelândia",7,"2019","Abril","Todas","Minas Gerais"
"27","Vazante",15,"2019","Abril","Todas","Minas Gerais"
"28","Veredinha",1,"2019","Abril","Todas","Minas Gerais"
"29","Vermelho Novo",1,"2019","Abril","Todas","Minas Gerais"
"30","Vespasiano",29,"2019","Abril","Todas","Minas Gerais"
"31","Taparuba",2,"2019","Abril","Todas","Minas Gerais"
"32","Tapira",2,"2019","Abril","Todas","Minas Gerais"
"33","Tapiraí",1,"2019","Abril","Todas","Minas Gerais"
"34","Taquaraçu de Minas",1,"2019","Abril","Todas","Minas Gerais"
"35","Tarumirim",11,"2019","Abril","Todas","Minas Gerais"
"36","Teixeiras",5,"2019","Abril","Todas","Minas Gerais"
"37","Teófilo Otoni",84,"2019","Abril","Todas","Minas Gerais"
"38","Timoteo",44,"2019","Abril","Todas","Minas Gerais"
"39","Tiradentes",4,"2019","Abril","Todas","Minas Gerais"
"40","Tiros",4,"2019","Abril","Todas","Minas Gerais"
"41","Tocantins",11,"2019","Abril","Todas","Minas Gerais"
"42","Tocos do Moji",1,"2019","Abril","Todas","Minas Gerais"
"43","Toledo",4,"2019","Abril","Todas","Minas Gerais"
"44","Tombos",5,"2019","Abril","Todas","Minas Gerais"
"45","Três Corações",54,"2019","Abril","Todas","Minas Gerais"
"46","Três Marias",19,"2019","Abril","Todas","Minas Gerais"
"47","Tumiritinga",3,"2019","Abril","Todas","Minas Gerais"
"48","Tupaciguara",16,"2019","Abril","Todas","Minas Gerais"
"49","Turmalina",8,"2019","Abril","Todas","Minas Gerais"
"50","Turvolândia",4,"2019","Abril","Todas","Minas Gerais"
"51","São João do Oriente",7,"2019","Abril","Todas","Minas Gerais"
"52","São Lourenço",27,"2019","Abril","Todas","Minas Gerais"
"53","São Miguel do Anta",7,"2019","Abril","Todas","Minas Gerais"
"54","São Pedro da União",3,"2019","Abril","Todas","Minas Gerais"
"55","São Pedro do Suaçuí",6,"2019","Abril","Todas","Minas Gerais"
"56","São Pedro dos Ferros",1,"2019","Abril","Todas","Minas Gerais"
