"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Silvanópolis",1,"2019","Abril","Todas","Tocantins"
"2","São Bento do Tocantins",1,"2019","Abril","Todas","Tocantins"
"3","São Miguel do Tocantins",7,"2019","Abril","Todas","Tocantins"
"4","São Sebastião do Tocantins",1,"2019","Abril","Todas","Tocantins"
"5","São Valério da Natividade",1,"2019","Abril","Todas","Tocantins"
"6","Taguatinga",11,"2019","Abril","Todas","Tocantins"
"7","Talismã",1,"2019","Abril","Todas","Tocantins"
"8","Tocantinópolis",14,"2019","Abril","Todas","Tocantins"
"9","Tocantínia",5,"2019","Abril","Todas","Tocantins"
"10","Tupirama",1,"2019","Abril","Todas","Tocantins"
"11","Tupiratins",1,"2019","Abril","Todas","Tocantins"
"12","Palmeirante",3,"2019","Abril","Todas","Tocantins"
"13","Palmeiras do Tocantins",1,"2019","Abril","Todas","Tocantins"
"14","Palmeirópolis",4,"2019","Abril","Todas","Tocantins"
"15","Paraiso do Tocantins",17,"2019","Abril","Todas","Tocantins"
"16","Paranã",4,"2019","Abril","Todas","Tocantins"
"17","Pau D'arco",1,"2019","Abril","Todas","Tocantins"
"18","Pedro Afonso",9,"2019","Abril","Todas","Tocantins"
"19","Peixe",2,"2019","Abril","Todas","Tocantins"
"20","Pequizeiro",4,"2019","Abril","Todas","Tocantins"
"21","Pindorama do Tocantins",1,"2019","Abril","Todas","Tocantins"
"22","Pium",2,"2019","Abril","Todas","Tocantins"
"23","Ponte Alta do Bom Jesus",1,"2019","Abril","Todas","Tocantins"
"24","Porto Nacional",24,"2019","Abril","Todas","Tocantins"
"25","Praia Norte",4,"2019","Abril","Todas","Tocantins"
"26","Presidente Kennedy",1,"2019","Abril","Todas","Tocantins"
"27","Pugmil",2,"2019","Abril","Todas","Tocantins"
"28","Recursolândia",1,"2019","Abril","Todas","Tocantins"
"29","Santa Fé do Araguaia",5,"2019","Abril","Todas","Tocantins"
"30","Santa Rosa do Tocantins",4,"2019","Abril","Todas","Tocantins"
"31","Santa Tereza do Tocantins",1,"2019","Abril","Todas","Tocantins"
"32","Fátima",8,"2019","Abril","Todas","Tocantins"
"33","Goianorte",1,"2019","Abril","Todas","Tocantins"
"34","Goiatins",2,"2019","Abril","Todas","Tocantins"
"35","Guaraí",6,"2019","Abril","Todas","Tocantins"
"36","Itacajá",4,"2019","Abril","Todas","Tocantins"
"37","Itapiratins",2,"2019","Abril","Todas","Tocantins"
"38","Itaporã do Tocantins",1,"2019","Abril","Todas","Tocantins"
"39","Lagoa da Confusão",6,"2019","Abril","Todas","Tocantins"
"40","Lajeado",2,"2019","Abril","Todas","Tocantins"
"41","Luzinópolis",2,"2019","Abril","Todas","Tocantins"
"42","Maurilândia do Tocantins",2,"2019","Abril","Todas","Tocantins"
"43","Miracema do Tocantins",17,"2019","Abril","Todas","Tocantins"
"44","Monte Santo do Tocantins",2,"2019","Abril","Todas","Tocantins"
"45","Monte do Carmo",3,"2019","Abril","Todas","Tocantins"
"46","Natividade",3,"2019","Abril","Todas","Tocantins"
"47","Nova Olinda",6,"2019","Abril","Todas","Tocantins"
"48","Nova Rosalândia",4,"2019","Abril","Todas","Tocantins"
"49","Novo Acordo",5,"2019","Abril","Todas","Tocantins"
"50","Novo Alegre",2,"2019","Abril","Todas","Tocantins"
"51","Palmas",125,"2019","Abril","Todas","Tocantins"
"52","Bom Jesus do Tocantins",1,"2019","Abril","Todas","Tocantins"
"53","Brejinho de Nazaré",2,"2019","Abril","Todas","Tocantins"
"54","Buriti do Tocantins",8,"2019","Abril","Todas","Tocantins"
"55","Cachoeirinha",1,"2019","Abril","Todas","Tocantins"
"56","Campos Lindos",1,"2019","Abril","Todas","Tocantins"
"57","Carrasco Bonito",4,"2019","Abril","Todas","Tocantins"
"58","Caseara",6,"2019","Abril","Todas","Tocantins"
"59","Colméia",2,"2019","Abril","Todas","Tocantins"
"60","Combinado",4,"2019","Abril","Todas","Tocantins"
"61","Conceição do Tocantins",2,"2019","Abril","Todas","Tocantins"
"62","Couto de Magalhães",5,"2019","Abril","Todas","Tocantins"
"63","Cristalândia",7,"2019","Abril","Todas","Tocantins"
"64","Darcinópolis",6,"2019","Abril","Todas","Tocantins"
"65","Dianópolis",6,"2019","Abril","Todas","Tocantins"
"66","Dois Irmãos do Tocantins",3,"2019","Abril","Todas","Tocantins"
"67","Dueré",2,"2019","Abril","Todas","Tocantins"
"68","Esperantina",3,"2019","Abril","Todas","Tocantins"
"69","Figueirópolis",4,"2019","Abril","Todas","Tocantins"
"70","Formoso do Araguaia",12,"2019","Abril","Todas","Tocantins"
"71","Fortaleza do Tabocão",1,"2019","Abril","Todas","Tocantins"
"72","Abreulândia",1,"2019","Abril","Todas","Tocantins"
"73","Aguiarnópolis",2,"2019","Abril","Todas","Tocantins"
"74","Aliança do Tocantins",2,"2019","Abril","Todas","Tocantins"
"75","Almas",3,"2019","Abril","Todas","Tocantins"
"76","Alvorada",8,"2019","Abril","Todas","Tocantins"
"77","Ananás",1,"2019","Abril","Todas","Tocantins"
"78","Angico",1,"2019","Abril","Todas","Tocantins"
"79","Aparecida do Rio Negro",4,"2019","Abril","Todas","Tocantins"
"80","Aragominas",1,"2019","Abril","Todas","Tocantins"
"81","Araguacema",2,"2019","Abril","Todas","Tocantins"
"82","Araguana",4,"2019","Abril","Todas","Tocantins"
"83","Araguatins",9,"2019","Abril","Todas","Tocantins"
"84","Araguaçu",5,"2019","Abril","Todas","Tocantins"
"85","Arraias",6,"2019","Abril","Todas","Tocantins"
"86","Augustinópolis",14,"2019","Abril","Todas","Tocantins"
"87","Aurora do Tocantins",2,"2019","Abril","Todas","Tocantins"
"88","Babaçulândia",2,"2019","Abril","Todas","Tocantins"
"89","Barra do Ouro",2,"2019","Abril","Todas","Tocantins"
"90","Barrolândia",3,"2019","Abril","Todas","Tocantins"
"91","Bernardo Sayão",4,"2019","Abril","Todas","Tocantins"
