"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Água Branca",11,"2019","Agosto","Todas","Alagoas"
"2","Poço das Trincheiras",2,"2019","Agosto","Todas","Alagoas"
"3","Pão de Açúcar",3,"2019","Agosto","Todas","Alagoas"
"4","Quebrangulo",7,"2019","Agosto","Todas","Alagoas"
"5","Rio Largo",38,"2019","Agosto","Todas","Alagoas"
"6","Santa Luzia do Norte",2,"2019","Agosto","Todas","Alagoas"
"7","Santana do Ipanema",1,"2019","Agosto","Todas","Alagoas"
"8","Santana do Mundaú",6,"2019","Agosto","Todas","Alagoas"
"9","Sao Miguel dos Campos",35,"2019","Agosto","Todas","Alagoas"
"10","Senador Rui Palmeira",3,"2019","Agosto","Todas","Alagoas"
"11","São Brás",4,"2019","Agosto","Todas","Alagoas"
"12","São José da Laje",15,"2019","Agosto","Todas","Alagoas"
"13","São José da Tapera",19,"2019","Agosto","Todas","Alagoas"
"14","São Luís do Quitunde",13,"2019","Agosto","Todas","Alagoas"
"15","São Miguel dos Milagres",1,"2019","Agosto","Todas","Alagoas"
"16","São Sebastião",13,"2019","Agosto","Todas","Alagoas"
"17","Taquarana",9,"2019","Agosto","Todas","Alagoas"
"18","Teotônio Vilela",19,"2019","Agosto","Todas","Alagoas"
"19","Traipu",8,"2019","Agosto","Todas","Alagoas"
"20","União dos Palmares",27,"2019","Agosto","Todas","Alagoas"
"21","Viçosa",13,"2019","Agosto","Todas","Alagoas"
"22","Mata Grande",8,"2019","Agosto","Todas","Alagoas"
"23","Matriz de Camaragibe",12,"2019","Agosto","Todas","Alagoas"
"24","Messias",10,"2019","Agosto","Todas","Alagoas"
"25","Monteirópolis",5,"2019","Agosto","Todas","Alagoas"
"26","Murici",18,"2019","Agosto","Todas","Alagoas"
"27","Olho D'água Grande",1,"2019","Agosto","Todas","Alagoas"
"28","Olho D'água das Flores",16,"2019","Agosto","Todas","Alagoas"
"29","Olho D'água do Casado",3,"2019","Agosto","Todas","Alagoas"
"30","Olivença",4,"2019","Agosto","Todas","Alagoas"
"31","Ouro Branco",6,"2019","Agosto","Todas","Alagoas"
"32","Palmeira dos Índios",51,"2019","Agosto","Todas","Alagoas"
"33","Passo de Camaragibe",4,"2019","Agosto","Todas","Alagoas"
"34","Paulo Jacinto",3,"2019","Agosto","Todas","Alagoas"
"35","Penedo",47,"2019","Agosto","Todas","Alagoas"
"36","Piaçabuçu",12,"2019","Agosto","Todas","Alagoas"
"37","Pilar",10,"2019","Agosto","Todas","Alagoas"
"38","Piranhas",6,"2019","Agosto","Todas","Alagoas"
"39","Porto Calvo",4,"2019","Agosto","Todas","Alagoas"
"40","Porto Real do Colégio",6,"2019","Agosto","Todas","Alagoas"
"41","Porto de Pedras",1,"2019","Agosto","Todas","Alagoas"
"42","Feira Grande",20,"2019","Agosto","Todas","Alagoas"
"43","Feliz Deserto",3,"2019","Agosto","Todas","Alagoas"
"44","Flexeiras",11,"2019","Agosto","Todas","Alagoas"
"45","Girau do Ponciano",21,"2019","Agosto","Todas","Alagoas"
"46","Igaci",16,"2019","Agosto","Todas","Alagoas"
"47","Igreja Nova",10,"2019","Agosto","Todas","Alagoas"
"48","Inhapi",10,"2019","Agosto","Todas","Alagoas"
"49","Jacaré dos Homens",1,"2019","Agosto","Todas","Alagoas"
"50","Jacuípe",7,"2019","Agosto","Todas","Alagoas"
"51","Japaratinga",3,"2019","Agosto","Todas","Alagoas"
"52","Jaramataia",2,"2019","Agosto","Todas","Alagoas"
"53","Jequiá da Praia",3,"2019","Agosto","Todas","Alagoas"
"54","Jundiá",4,"2019","Agosto","Todas","Alagoas"
"55","Junqueiro",13,"2019","Agosto","Todas","Alagoas"
"56","Lagoa da Canoa",8,"2019","Agosto","Todas","Alagoas"
"57","Maceio",579,"2019","Agosto","Todas","Alagoas"
"58","Maragogi",12,"2019","Agosto","Todas","Alagoas"
"59","Maravilha",5,"2019","Agosto","Todas","Alagoas"
"60","Marechal Deodoro",14,"2019","Agosto","Todas","Alagoas"
"61","Maribondo",5,"2019","Agosto","Todas","Alagoas"
"62","Arapiraca",160,"2019","Agosto","Todas","Alagoas"
"63","Atalaia",22,"2019","Agosto","Todas","Alagoas"
"64","Barra de Santo Antônio",5,"2019","Agosto","Todas","Alagoas"
"65","Barra de São Miguel",1,"2019","Agosto","Todas","Alagoas"
"66","Boca da Mata",16,"2019","Agosto","Todas","Alagoas"
"67","Branquinha",6,"2019","Agosto","Todas","Alagoas"
"68","Cacimbinhas",9,"2019","Agosto","Todas","Alagoas"
"69","Cajueiro",19,"2019","Agosto","Todas","Alagoas"
"70","Campo Alegre",16,"2019","Agosto","Todas","Alagoas"
"71","Campo Grande",1,"2019","Agosto","Todas","Alagoas"
"72","Canapi",13,"2019","Agosto","Todas","Alagoas"
"73","Capela",10,"2019","Agosto","Todas","Alagoas"
"74","Carneiros",4,"2019","Agosto","Todas","Alagoas"
"75","Chã Preta",1,"2019","Agosto","Todas","Alagoas"
"76","Coité do Nóia",10,"2019","Agosto","Todas","Alagoas"
"77","Coruripe",8,"2019","Agosto","Todas","Alagoas"
"78","Craíbas",24,"2019","Agosto","Todas","Alagoas"
"79","Delmiro Gouveia",42,"2019","Agosto","Todas","Alagoas"
"80","Dois Riachos",8,"2019","Agosto","Todas","Alagoas"
"81","Estrela de Alagoas",7,"2019","Agosto","Todas","Alagoas"
