"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Três Ranchos",1,"2019","Agosto","Todas","Goiás"
"2","Uruana",4,"2019","Agosto","Todas","Goiás"
"3","Uruaçu",31,"2019","Agosto","Todas","Goiás"
"4","Urutaí",3,"2019","Agosto","Todas","Goiás"
"5","Valparaíso de Goiás",21,"2019","Agosto","Todas","Goiás"
"6","Varjão",1,"2019","Agosto","Todas","Goiás"
"7","Vianópolis",7,"2019","Agosto","Todas","Goiás"
"8","Vicentinópolis",1,"2019","Agosto","Todas","Goiás"
"9","Vila Propício",3,"2019","Agosto","Todas","Goiás"
"10","Água Fria de Goiás",1,"2019","Agosto","Todas","Goiás"
"11","Águas Lindas de Goiás",39,"2019","Agosto","Todas","Goiás"
"12","Santa Rita do Novo Destino",1,"2019","Agosto","Todas","Goiás"
"13","Santa Rosa de Goiás",1,"2019","Agosto","Todas","Goiás"
"14","Santa Terezinha de Goiás",2,"2019","Agosto","Todas","Goiás"
"15","Santo Antônio da Barra",1,"2019","Agosto","Todas","Goiás"
"16","Santo Antônio de Goiás",2,"2019","Agosto","Todas","Goiás"
"17","Santo Antônio do Descoberto",18,"2019","Agosto","Todas","Goiás"
"18","Senador Canedo",55,"2019","Agosto","Todas","Goiás"
"19","Silvânia",21,"2019","Agosto","Todas","Goiás"
"20","Simolândia",3,"2019","Agosto","Todas","Goiás"
"21","São Domingos",6,"2019","Agosto","Todas","Goiás"
"22","São Francisco de Goiás",3,"2019","Agosto","Todas","Goiás"
"23","São João D'aliança",5,"2019","Agosto","Todas","Goiás"
"24","São João da Paraúna",3,"2019","Agosto","Todas","Goiás"
"25","São Luís de Montes Belos",20,"2019","Agosto","Todas","Goiás"
"26","São Miguel do Araguaia",8,"2019","Agosto","Todas","Goiás"
"27","São Miguel do Passa Quatro",9,"2019","Agosto","Todas","Goiás"
"28","São Simão",11,"2019","Agosto","Todas","Goiás"
"29","Teresina de Goiás",2,"2019","Agosto","Todas","Goiás"
"30","Terezópolis de Goiás",2,"2019","Agosto","Todas","Goiás"
"31","Trindade",59,"2019","Agosto","Todas","Goiás"
"32","Paranaiguara",4,"2019","Agosto","Todas","Goiás"
"33","Paraúna",4,"2019","Agosto","Todas","Goiás"
"34","Perolândia",1,"2019","Agosto","Todas","Goiás"
"35","Petrolina de Goiás",7,"2019","Agosto","Todas","Goiás"
"36","Pilar de Goiás",6,"2019","Agosto","Todas","Goiás"
"37","Piracanjuba",16,"2019","Agosto","Todas","Goiás"
"38","Piranhas",7,"2019","Agosto","Todas","Goiás"
"39","Pirenópolis",1,"2019","Agosto","Todas","Goiás"
"40","Planaltina",36,"2019","Agosto","Todas","Goiás"
"41","Pontalina",9,"2019","Agosto","Todas","Goiás"
"42","Porangatu",20,"2019","Agosto","Todas","Goiás"
"43","Porteirão",5,"2019","Agosto","Todas","Goiás"
"44","Posse",12,"2019","Agosto","Todas","Goiás"
"45","Professor Jamil",3,"2019","Agosto","Todas","Goiás"
"46","Rialma",3,"2019","Agosto","Todas","Goiás"
"47","Rianápolis",3,"2019","Agosto","Todas","Goiás"
"48","Rio Quente",1,"2019","Agosto","Todas","Goiás"
"49","Rio Verde",86,"2019","Agosto","Todas","Goiás"
"50","Santa Fé de Goiás",3,"2019","Agosto","Todas","Goiás"
"51","Santa Helena de Goias",31,"2019","Agosto","Todas","Goiás"
"52","Maurilândia",6,"2019","Agosto","Todas","Goiás"
"53","Mineiros",27,"2019","Agosto","Todas","Goiás"
"54","Monte Alegre de Goiás",2,"2019","Agosto","Todas","Goiás"
"55","Montes Claros de Goiás",6,"2019","Agosto","Todas","Goiás"
"56","Montividiu",3,"2019","Agosto","Todas","Goiás"
"57","Morrinhos",25,"2019","Agosto","Todas","Goiás"
"58","Mossâmedes",2,"2019","Agosto","Todas","Goiás"
"59","Mutunópolis",3,"2019","Agosto","Todas","Goiás"
"60","Nazário",6,"2019","Agosto","Todas","Goiás"
"61","Niquelandia",23,"2019","Agosto","Todas","Goiás"
"62","Nova América",1,"2019","Agosto","Todas","Goiás"
"63","Nova Crixás",8,"2019","Agosto","Todas","Goiás"
"64","Nova Gloria",5,"2019","Agosto","Todas","Goiás"
"65","Novo Brasil",2,"2019","Agosto","Todas","Goiás"
"66","Novo Gama",6,"2019","Agosto","Todas","Goiás"
"67","Ouro Verde de Goiás",4,"2019","Agosto","Todas","Goiás"
"68","Ouvidor",1,"2019","Agosto","Todas","Goiás"
"69","Palestina de Goiás",3,"2019","Agosto","Todas","Goiás"
"70","Palmeiras de Goiás",18,"2019","Agosto","Todas","Goiás"
"71","Palminópolis",2,"2019","Agosto","Todas","Goiás"
"72","Inhumas",37,"2019","Agosto","Todas","Goiás"
"73","Ipameri",8,"2019","Agosto","Todas","Goiás"
"74","Ipiranga de Goiás",2,"2019","Agosto","Todas","Goiás"
"75","Iporá",18,"2019","Agosto","Todas","Goiás"
"76","Itaguari",3,"2019","Agosto","Todas","Goiás"
"77","Itaguaru",1,"2019","Agosto","Todas","Goiás"
"78","Itapirapuã",6,"2019","Agosto","Todas","Goiás"
"79","Itapuranga",17,"2019","Agosto","Todas","Goiás"
"80","Itauçu",5,"2019","Agosto","Todas","Goiás"
"81","Itumbiara",24,"2019","Agosto","Todas","Goiás"
"82","Jandaia",1,"2019","Agosto","Todas","Goiás"
"83","Jaraguá",31,"2019","Agosto","Todas","Goiás"
"84","Jataí",21,"2019","Agosto","Todas","Goiás"
"85","Jaupaci",1,"2019","Agosto","Todas","Goiás"
"86","Leopoldo de Bulhões",1,"2019","Agosto","Todas","Goiás"
"87","Mairipotaba",2,"2019","Agosto","Todas","Goiás"
"88","Mambaí",4,"2019","Agosto","Todas","Goiás"
"89","Mara Rosa",6,"2019","Agosto","Todas","Goiás"
"90","Marzagão",2,"2019","Agosto","Todas","Goiás"
"91","Matrinchã",2,"2019","Agosto","Todas","Goiás"
"92","Damianópolis",3,"2019","Agosto","Todas","Goiás"
"93","Damolândia",1,"2019","Agosto","Todas","Goiás"
"94","Divinópolis de Goiás",3,"2019","Agosto","Todas","Goiás"
"95","Edealina",3,"2019","Agosto","Todas","Goiás"
"96","Faina",1,"2019","Agosto","Todas","Goiás"
"97","Fazenda Nova",5,"2019","Agosto","Todas","Goiás"
"98","Firminópolis",7,"2019","Agosto","Todas","Goiás"
"99","Flores de Goiás",3,"2019","Agosto","Todas","Goiás"
"100","Formosa",37,"2019","Agosto","Todas","Goiás"
"101","Goiandira",4,"2019","Agosto","Todas","Goiás"
"102","Goianira",15,"2019","Agosto","Todas","Goiás"
"103","Goianápolis",2,"2019","Agosto","Todas","Goiás"
"104","Goianésia",44,"2019","Agosto","Todas","Goiás"
"105","Goiânia",792,"2019","Agosto","Todas","Goiás"
"106","Guapó",7,"2019","Agosto","Todas","Goiás"
"107","Guaraíta",4,"2019","Agosto","Todas","Goiás"
"108","Hidrolina",2,"2019","Agosto","Todas","Goiás"
"109","Iaciara",5,"2019","Agosto","Todas","Goiás"
"110","Inaciolândia",2,"2019","Agosto","Todas","Goiás"
"111","Indiara",4,"2019","Agosto","Todas","Goiás"
"112","Campo Alegre de Goiás",4,"2019","Agosto","Todas","Goiás"
"113","Campo Limpo de Goiás",4,"2019","Agosto","Todas","Goiás"
"114","Campos Verdes",2,"2019","Agosto","Todas","Goiás"
"115","Carmo do Rio Verde",5,"2019","Agosto","Todas","Goiás"
"116","Castelândia",2,"2019","Agosto","Todas","Goiás"
"117","Catalao",58,"2019","Agosto","Todas","Goiás"
"118","Caturaí",2,"2019","Agosto","Todas","Goiás"
"119","Cavalcante",3,"2019","Agosto","Todas","Goiás"
"120","Caçu",10,"2019","Agosto","Todas","Goiás"
"121","Cezarina",3,"2019","Agosto","Todas","Goiás"
"122","Chapadão do Céu",1,"2019","Agosto","Todas","Goiás"
"123","Cidade Ocidental",5,"2019","Agosto","Todas","Goiás"
"124","Cocalzinho de Goias",9,"2019","Agosto","Todas","Goiás"
"125","Colinas do Sul",3,"2019","Agosto","Todas","Goiás"
"126","Corumbaíba",7,"2019","Agosto","Todas","Goiás"
"127","Corumbá de Goiás",4,"2019","Agosto","Todas","Goiás"
"128","Cristalina",21,"2019","Agosto","Todas","Goiás"
"129","Cristianópolis",7,"2019","Agosto","Todas","Goiás"
"130","Cromínia",1,"2019","Agosto","Todas","Goiás"
"131","Cumari",1,"2019","Agosto","Todas","Goiás"
"132","Aruanã",3,"2019","Agosto","Todas","Goiás"
"133","Aurilândia",2,"2019","Agosto","Todas","Goiás"
"134","Baliza",1,"2019","Agosto","Todas","Goiás"
"135","Barro Alto",3,"2019","Agosto","Todas","Goiás"
"136","Bela Vista de Goiás",11,"2019","Agosto","Todas","Goiás"
"137","Bom Jardim de Goiás",1,"2019","Agosto","Todas","Goiás"
"138","Bom Jesus de Goiás",12,"2019","Agosto","Todas","Goiás"
"139","Bonfinópolis",5,"2019","Agosto","Todas","Goiás"
"140","Bonópolis",1,"2019","Agosto","Todas","Goiás"
"141","Brazabrantes",3,"2019","Agosto","Todas","Goiás"
"142","Buriti Alegre",7,"2019","Agosto","Todas","Goiás"
"143","Buriti de Goiás",1,"2019","Agosto","Todas","Goiás"
"144","Buritinópolis",1,"2019","Agosto","Todas","Goiás"
"145","Cabeceiras",1,"2019","Agosto","Todas","Goiás"
"146","Cachoeira Alta",3,"2019","Agosto","Todas","Goiás"
"147","Cachoeira Dourada",5,"2019","Agosto","Todas","Goiás"
"148","Cachoeira de Goiás",2,"2019","Agosto","Todas","Goiás"
"149","Caiapônia",9,"2019","Agosto","Todas","Goiás"
"150","Caldas Novas",19,"2019","Agosto","Todas","Goiás"
"151","Campinorte",5,"2019","Agosto","Todas","Goiás"
"152","Abadia de Goiás",4,"2019","Agosto","Todas","Goiás"
"153","Abadiânia",6,"2019","Agosto","Todas","Goiás"
"154","Acreúna",7,"2019","Agosto","Todas","Goiás"
"155","Alexania",13,"2019","Agosto","Todas","Goiás"
"156","Aloândia",2,"2019","Agosto","Todas","Goiás"
"157","Alto Horizonte",2,"2019","Agosto","Todas","Goiás"
"158","Alto Paraíso de Goiás",2,"2019","Agosto","Todas","Goiás"
"159","Alvorada do Norte",3,"2019","Agosto","Todas","Goiás"
"160","Americano do Brasil",5,"2019","Agosto","Todas","Goiás"
"161","Amorinópolis",1,"2019","Agosto","Todas","Goiás"
"162","Anapolis",232,"2019","Agosto","Todas","Goiás"
"163","Anhanguera",1,"2019","Agosto","Todas","Goiás"
"164","Anicuns",12,"2019","Agosto","Todas","Goiás"
"165","Aparecida de Goiania",215,"2019","Agosto","Todas","Goiás"
"166","Aporé",1,"2019","Agosto","Todas","Goiás"
"167","Aragarças",8,"2019","Agosto","Todas","Goiás"
"168","Aragoiânia",8,"2019","Agosto","Todas","Goiás"
"169","Araguapaz",11,"2019","Agosto","Todas","Goiás"
"170","Araçu",6,"2019","Agosto","Todas","Goiás"
"171","Arenópolis",2,"2019","Agosto","Todas","Goiás"
