"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Terra Roxa",13,"2019","Agosto","Todas","Paraná"
"2","Tijucas do Sul",8,"2019","Agosto","Todas","Paraná"
"3","Toledo",80,"2019","Agosto","Todas","Paraná"
"4","Tomazina",8,"2019","Agosto","Todas","Paraná"
"5","Três Barras do Paraná",6,"2019","Agosto","Todas","Paraná"
"6","Tuneiras do Oeste",6,"2019","Agosto","Todas","Paraná"
"7","Tupãssi",5,"2019","Agosto","Todas","Paraná"
"8","Turvo",10,"2019","Agosto","Todas","Paraná"
"9","Ubiratã",11,"2019","Agosto","Todas","Paraná"
"10","Umuarama",77,"2019","Agosto","Todas","Paraná"
"11","União da Vitória",42,"2019","Agosto","Todas","Paraná"
"12","Uraí",3,"2019","Agosto","Todas","Paraná"
"13","Ventania",8,"2019","Agosto","Todas","Paraná"
"14","Vera Cruz do Oeste",3,"2019","Agosto","Todas","Paraná"
"15","Verê",6,"2019","Agosto","Todas","Paraná"
"16","Virmond",5,"2019","Agosto","Todas","Paraná"
"17","Vitorino",5,"2019","Agosto","Todas","Paraná"
"18","Wenceslau Braz",7,"2019","Agosto","Todas","Paraná"
"19","Xambrê",5,"2019","Agosto","Todas","Paraná"
"20","São Jorge do Ivaí",4,"2019","Agosto","Todas","Paraná"
"21","São José da Boa Vista",6,"2019","Agosto","Todas","Paraná"
"22","São José das Palmeiras",6,"2019","Agosto","Todas","Paraná"
"23","São José dos Pinhais",140,"2019","Agosto","Todas","Paraná"
"24","São João",6,"2019","Agosto","Todas","Paraná"
"25","São João do Ivaí",10,"2019","Agosto","Todas","Paraná"
"26","São João do Triunfo",5,"2019","Agosto","Todas","Paraná"
"27","São Manoel do Paraná",1,"2019","Agosto","Todas","Paraná"
"28","São Miguel do Iguaçu",17,"2019","Agosto","Todas","Paraná"
"29","São Pedro do Ivaí",11,"2019","Agosto","Todas","Paraná"
"30","São Sebastião da Amoreira",4,"2019","Agosto","Todas","Paraná"
"31","São Tomé",1,"2019","Agosto","Todas","Paraná"
"32","Tamarana",1,"2019","Agosto","Todas","Paraná"
"33","Tamboara",3,"2019","Agosto","Todas","Paraná"
"34","Tapejara",15,"2019","Agosto","Todas","Paraná"
"35","Tapira",2,"2019","Agosto","Todas","Paraná"
"36","Teixeira Soares",3,"2019","Agosto","Todas","Paraná"
"37","Telemaco Borba",49,"2019","Agosto","Todas","Paraná"
"38","Terra Boa",13,"2019","Agosto","Todas","Paraná"
"39","Terra Rica",12,"2019","Agosto","Todas","Paraná"
"40","Santa Isabel do Ivaí",3,"2019","Agosto","Todas","Paraná"
"41","Santa Izabel do Oeste",7,"2019","Agosto","Todas","Paraná"
"42","Santa Lúcia",4,"2019","Agosto","Todas","Paraná"
"43","Santa Mônica",3,"2019","Agosto","Todas","Paraná"
"44","Santa Tereza do Oeste",7,"2019","Agosto","Todas","Paraná"
"45","Santa Terezinha de Itaipu",16,"2019","Agosto","Todas","Paraná"
"46","Santo Antônio da Platina",34,"2019","Agosto","Todas","Paraná"
"47","Santo Antônio do Paraíso",2,"2019","Agosto","Todas","Paraná"
"48","Santo Antônio do Sudoeste",10,"2019","Agosto","Todas","Paraná"
"49","Santo Inácio",2,"2019","Agosto","Todas","Paraná"
"50","Sapopema",4,"2019","Agosto","Todas","Paraná"
"51","Sarandi",61,"2019","Agosto","Todas","Paraná"
"52","Saudade do Iguaçu",4,"2019","Agosto","Todas","Paraná"
"53","Sengés",8,"2019","Agosto","Todas","Paraná"
"54","Serranópolis do Iguaçu",5,"2019","Agosto","Todas","Paraná"
"55","Sertaneja",4,"2019","Agosto","Todas","Paraná"
"56","Siqueira Campos",21,"2019","Agosto","Todas","Paraná"
"57","Sulina",1,"2019","Agosto","Todas","Paraná"
"58","São Jerônimo da Serra",5,"2019","Agosto","Todas","Paraná"
