"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Sebastião do Umbuzeiro",1,"2019","Agosto","Todas","Paraíba"
"2","Taperoá",11,"2019","Agosto","Todas","Paraíba"
"3","Tavares",9,"2019","Agosto","Todas","Paraíba"
"4","Teixeira",9,"2019","Agosto","Todas","Paraíba"
"5","Triunfo",6,"2019","Agosto","Todas","Paraíba"
"6","Uiraúna",10,"2019","Agosto","Todas","Paraíba"
"7","Umbuzeiro",2,"2019","Agosto","Todas","Paraíba"
"8","Vieirópolis",5,"2019","Agosto","Todas","Paraíba"
"9","Várzea",2,"2019","Agosto","Todas","Paraíba"
"10","Zabelê",1,"2019","Agosto","Todas","Paraíba"
"11","Água Branca",3,"2019","Agosto","Todas","Paraíba"
"12","Sobrado",2,"2019","Agosto","Todas","Paraíba"
"13","Soledade",9,"2019","Agosto","Todas","Paraíba"
"14","Solânea",20,"2019","Agosto","Todas","Paraíba"
"15","Sossêgo",1,"2019","Agosto","Todas","Paraíba"
"16","Sousa",40,"2019","Agosto","Todas","Paraíba"
"17","Sumé",12,"2019","Agosto","Todas","Paraíba"
"18","São Bento",16,"2019","Agosto","Todas","Paraíba"
"19","São Domingos",2,"2019","Agosto","Todas","Paraíba"
"20","São José da Lagoa Tapada",5,"2019","Agosto","Todas","Paraíba"
"21","São José de Piranhas",10,"2019","Agosto","Todas","Paraíba"
"22","São José de Princesa",1,"2019","Agosto","Todas","Paraíba"
"23","São José do Bonfim",1,"2019","Agosto","Todas","Paraíba"
"24","São José do Sabugi",5,"2019","Agosto","Todas","Paraíba"
"25","São José dos Ramos",1,"2019","Agosto","Todas","Paraíba"
"26","São João do Cariri",5,"2019","Agosto","Todas","Paraíba"
"27","São João do Rio do Peixe",11,"2019","Agosto","Todas","Paraíba"
"28","São João do Tigre",7,"2019","Agosto","Todas","Paraíba"
"29","São Mamede",6,"2019","Agosto","Todas","Paraíba"
"30","São Miguel de Taipu",2,"2019","Agosto","Todas","Paraíba"
"31","São Sebastião de Lagoa de Roça",5,"2019","Agosto","Todas","Paraíba"
"32","Riachão",2,"2019","Agosto","Todas","Paraíba"
"33","Rio Tinto",13,"2019","Agosto","Todas","Paraíba"
"34","Salgado de São Félix",4,"2019","Agosto","Todas","Paraíba"
"35","Santa Cecília",4,"2019","Agosto","Todas","Paraíba"
"36","Santa Cruz",3,"2019","Agosto","Todas","Paraíba"
"37","Santa Helena",5,"2019","Agosto","Todas","Paraíba"
"38","Santa Luzia",9,"2019","Agosto","Todas","Paraíba"
"39","Santa Rita",84,"2019","Agosto","Todas","Paraíba"
"40","Santa Teresinha",1,"2019","Agosto","Todas","Paraíba"
"41","Santana de Mangueira",1,"2019","Agosto","Todas","Paraíba"
"42","Santana dos Garrotes",5,"2019","Agosto","Todas","Paraíba"
"43","Santo André",3,"2019","Agosto","Todas","Paraíba"
"44","Sapé",32,"2019","Agosto","Todas","Paraíba"
"45","Seridó",7,"2019","Agosto","Todas","Paraíba"
"46","Serra Branca",6,"2019","Agosto","Todas","Paraíba"
"47","Serra Grande",1,"2019","Agosto","Todas","Paraíba"
"48","Serra Redonda",1,"2019","Agosto","Todas","Paraíba"
"49","Serra da Raiz",2,"2019","Agosto","Todas","Paraíba"
"50","Serraria",5,"2019","Agosto","Todas","Paraíba"
"51","Sertãozinho",4,"2019","Agosto","Todas","Paraíba"
"52","Patos",45,"2019","Agosto","Todas","Paraíba"
"53","Paulista",6,"2019","Agosto","Todas","Paraíba"
"54","Pedra Lavrada",5,"2019","Agosto","Todas","Paraíba"
"55","Pedras de Fogo",15,"2019","Agosto","Todas","Paraíba"
"56","Pedro Régis",8,"2019","Agosto","Todas","Paraíba"
"57","Piancó",11,"2019","Agosto","Todas","Paraíba"
"58","Picuí",12,"2019","Agosto","Todas","Paraíba"
"59","Pilõezinhos",6,"2019","Agosto","Todas","Paraíba"
"60","Pirpirituba",1,"2019","Agosto","Todas","Paraíba"
"61","Pitimbu",7,"2019","Agosto","Todas","Paraíba"
"62","Pocinhos",9,"2019","Agosto","Todas","Paraíba"
"63","Pombal",17,"2019","Agosto","Todas","Paraíba"
"64","Poço Dantas",1,"2019","Agosto","Todas","Paraíba"
"65","Poço de José de Moura",1,"2019","Agosto","Todas","Paraíba"
"66","Princesa Isabel",9,"2019","Agosto","Todas","Paraíba"
"67","Puxinanã",6,"2019","Agosto","Todas","Paraíba"
"68","Queimadas",28,"2019","Agosto","Todas","Paraíba"
"69","Quixabá",1,"2019","Agosto","Todas","Paraíba"
"70","Remígio",9,"2019","Agosto","Todas","Paraíba"
"71","Riacho dos Cavalos",8,"2019","Agosto","Todas","Paraíba"
"72","Marcação",2,"2019","Agosto","Todas","Paraíba"
"73","Mari",18,"2019","Agosto","Todas","Paraíba"
"74","Marizópolis",1,"2019","Agosto","Todas","Paraíba"
"75","Mataraca",5,"2019","Agosto","Todas","Paraíba"
"76","Matinhas",3,"2019","Agosto","Todas","Paraíba"
"77","Mato Grosso",3,"2019","Agosto","Todas","Paraíba"
"78","Maturéia",4,"2019","Agosto","Todas","Paraíba"
"79","Mogeiro",5,"2019","Agosto","Todas","Paraíba"
"80","Montadas",3,"2019","Agosto","Todas","Paraíba"
"81","Monte Horebe",2,"2019","Agosto","Todas","Paraíba"
"82","Monteiro",12,"2019","Agosto","Todas","Paraíba"
"83","Mulungu",5,"2019","Agosto","Todas","Paraíba"
