"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Xinguara",15,"2019","Agosto","Todas","Pará"
"2","Santana do Araguaia",10,"2019","Agosto","Todas","Pará"
"3","Santarem",118,"2019","Agosto","Todas","Pará"
"4","Santarém Novo",2,"2019","Agosto","Todas","Pará"
"5","Sao Miguel do Guama",26,"2019","Agosto","Todas","Pará"
"6","São Domingos do Araguaia",17,"2019","Agosto","Todas","Pará"
"7","São Domingos do Capim",4,"2019","Agosto","Todas","Pará"
"8","São Francisco do Pará",3,"2019","Agosto","Todas","Pará"
"9","São Félix do Xingu",18,"2019","Agosto","Todas","Pará"
"10","São Geraldo do Araguaia",6,"2019","Agosto","Todas","Pará"
"11","São João do Araguaia",3,"2019","Agosto","Todas","Pará"
"12","Tailandia",29,"2019","Agosto","Todas","Pará"
"13","Terra Alta",5,"2019","Agosto","Todas","Pará"
"14","Tracuateua",7,"2019","Agosto","Todas","Pará"
"15","Tucumã",12,"2019","Agosto","Todas","Pará"
"16","Tucurui",33,"2019","Agosto","Todas","Pará"
"17","Ulianópolis",10,"2019","Agosto","Todas","Pará"
"18","Uruará",15,"2019","Agosto","Todas","Pará"
"19","Vigia",13,"2019","Agosto","Todas","Pará"
"20","Viseu",8,"2019","Agosto","Todas","Pará"
"21","Vitória do Xingu",7,"2019","Agosto","Todas","Pará"
"22","Novo Progresso",11,"2019","Agosto","Todas","Pará"
"23","Novo Repartimento",18,"2019","Agosto","Todas","Pará"
"24","Ourilândia do Norte",5,"2019","Agosto","Todas","Pará"
"25","Pacajá",10,"2019","Agosto","Todas","Pará"
"26","Palestina do Pará",5,"2019","Agosto","Todas","Pará"
"27","Paragominas",33,"2019","Agosto","Todas","Pará"
"28","Parauapebas",48,"2019","Agosto","Todas","Pará"
"29","Placas",6,"2019","Agosto","Todas","Pará"
"30","Ponta de Pedras",7,"2019","Agosto","Todas","Pará"
"31","Portel",11,"2019","Agosto","Todas","Pará"
"32","Prainha",2,"2019","Agosto","Todas","Pará"
"33","Primavera",7,"2019","Agosto","Todas","Pará"
"34","Redenção",49,"2019","Agosto","Todas","Pará"
"35","Rio Maria",11,"2019","Agosto","Todas","Pará"
"36","Rondon do Pará",27,"2019","Agosto","Todas","Pará"
"37","Rurópolis",12,"2019","Agosto","Todas","Pará"
"38","Salinópolis",11,"2019","Agosto","Todas","Pará"
"39","Santa Bárbara do Pará",5,"2019","Agosto","Todas","Pará"
"40","Santa Luzia do Pará",7,"2019","Agosto","Todas","Pará"
"41","Santa Maria das Barreiras",4,"2019","Agosto","Todas","Pará"
"42","Capitão Poço",13,"2019","Agosto","Todas","Pará"
"43","Conceição do Araguaia",14,"2019","Agosto","Todas","Pará"
"44","Curionópolis",6,"2019","Agosto","Todas","Pará"
"45","Curralinho",6,"2019","Agosto","Todas","Pará"
"46","Dom Eliseu",13,"2019","Agosto","Todas","Pará"
"47","Eldorado dos Carajás",8,"2019","Agosto","Todas","Pará"
"48","Faro",2,"2019","Agosto","Todas","Pará"
"49","Floresta do Araguaia",8,"2019","Agosto","Todas","Pará"
"50","Ipixuna do Para",6,"2019","Agosto","Todas","Pará"
"51","Itaituba",34,"2019","Agosto","Todas","Pará"
"52","Jacundá",16,"2019","Agosto","Todas","Pará"
"53","Limoeiro do Ajuru",4,"2019","Agosto","Todas","Pará"
"54","Maraba",120,"2019","Agosto","Todas","Pará"
"55","Maracanã",9,"2019","Agosto","Todas","Pará"
"56","Marapanim",12,"2019","Agosto","Todas","Pará"
"57","Marituba",6,"2019","Agosto","Todas","Pará"
"58","Melgaço",1,"2019","Agosto","Todas","Pará"
"59","Monte Alegre",29,"2019","Agosto","Todas","Pará"
"60","Mãe do Rio",13,"2019","Agosto","Todas","Pará"
"61","Nova Esperança do Piriá",10,"2019","Agosto","Todas","Pará"
"62","Abaetetuba",33,"2019","Agosto","Todas","Pará"
"63","Acará",6,"2019","Agosto","Todas","Pará"
"64","Alenquer",3,"2019","Agosto","Todas","Pará"
"65","Almeirim",7,"2019","Agosto","Todas","Pará"
"66","Altamira",87,"2019","Agosto","Todas","Pará"
"67","Ananindeua",45,"2019","Agosto","Todas","Pará"
"68","Anapu",11,"2019","Agosto","Todas","Pará"
"69","Aurora do Pará",4,"2019","Agosto","Todas","Pará"
"70","Bagre",2,"2019","Agosto","Todas","Pará"
"71","Barcarena",30,"2019","Agosto","Todas","Pará"
"72","Belém",899,"2019","Agosto","Todas","Pará"
"73","Benevides",10,"2019","Agosto","Todas","Pará"
"74","Bonito",5,"2019","Agosto","Todas","Pará"
"75","Bragança",3,"2019","Agosto","Todas","Pará"
"76","Brejo Grande do Araguaia",4,"2019","Agosto","Todas","Pará"
"77","Breu Branco",15,"2019","Agosto","Todas","Pará"
"78","Breves",18,"2019","Agosto","Todas","Pará"
"79","Cachoeira do Piriá",4,"2019","Agosto","Todas","Pará"
"80","Cametá",22,"2019","Agosto","Todas","Pará"
"81","Canaã dos Carajás",18,"2019","Agosto","Todas","Pará"
