"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Rio Grande do Piauí",5,"2019","Agosto","Todas","Piauí"
"2","Santa Cruz do Piauí",10,"2019","Agosto","Todas","Piauí"
"3","Santa Filomena",2,"2019","Agosto","Todas","Piauí"
"4","Santa Luz",5,"2019","Agosto","Todas","Piauí"
"5","Santo Antônio de Lisboa",5,"2019","Agosto","Todas","Piauí"
"6","Simplício Mendes",7,"2019","Agosto","Todas","Piauí"
"7","Simões",10,"2019","Agosto","Todas","Piauí"
"8","Socorro do Piauí",3,"2019","Agosto","Todas","Piauí"
"9","São Francisco do Piauí",4,"2019","Agosto","Todas","Piauí"
"10","São Félix do Piauí",2,"2019","Agosto","Todas","Piauí"
"11","São Gonçalo do Piauí",2,"2019","Agosto","Todas","Piauí"
"12","São José do Piauí",3,"2019","Agosto","Todas","Piauí"
"13","São João do Piauí",9,"2019","Agosto","Todas","Piauí"
"14","São Julião",4,"2019","Agosto","Todas","Piauí"
"15","São Raimundo Nonato",21,"2019","Agosto","Todas","Piauí"
"16","Teresina",373,"2019","Agosto","Todas","Piauí"
"17","União",14,"2019","Agosto","Todas","Piauí"
"18","Uruçuí",5,"2019","Agosto","Todas","Piauí"
"19","Valença do Piauí",8,"2019","Agosto","Todas","Piauí"
"20","Marcos Parente",3,"2019","Agosto","Todas","Piauí"
"21","Matias Olímpio",13,"2019","Agosto","Todas","Piauí"
"22","Miguel Alves",13,"2019","Agosto","Todas","Piauí"
"23","Miguel Leão",1,"2019","Agosto","Todas","Piauí"
"24","Monsenhor Gil",6,"2019","Agosto","Todas","Piauí"
"25","Monsenhor Hipólito",4,"2019","Agosto","Todas","Piauí"
"26","Nazaré do Piauí",5,"2019","Agosto","Todas","Piauí"
"27","Nossa Senhora dos Remédios",4,"2019","Agosto","Todas","Piauí"
"28","Novo Oriente do Piauí",5,"2019","Agosto","Todas","Piauí"
"29","Oeiras",38,"2019","Agosto","Todas","Piauí"
"30","Paes Landim",4,"2019","Agosto","Todas","Piauí"
"31","Palmeirais",5,"2019","Agosto","Todas","Piauí"
"32","Paulistana",25,"2019","Agosto","Todas","Piauí"
"33","Picos",25,"2019","Agosto","Todas","Piauí"
"34","Pimenteiras",3,"2019","Agosto","Todas","Piauí"
"35","Piracuruca",16,"2019","Agosto","Todas","Piauí"
"36","Piripiri",42,"2019","Agosto","Todas","Piauí"
"37","Porto",4,"2019","Agosto","Todas","Piauí"
"38","Regeneração",9,"2019","Agosto","Todas","Piauí"
"39","Ribeiro Gonçalves",6,"2019","Agosto","Todas","Piauí"
"40","Demerval Lobão",8,"2019","Agosto","Todas","Piauí"
"41","Eliseu Martins",4,"2019","Agosto","Todas","Piauí"
"42","Flores do Piauí",1,"2019","Agosto","Todas","Piauí"
"43","Floriano",36,"2019","Agosto","Todas","Piauí"
"44","Francinópolis",3,"2019","Agosto","Todas","Piauí"
"45","Francisco Ayres",3,"2019","Agosto","Todas","Piauí"
"46","Fronteiras",10,"2019","Agosto","Todas","Piauí"
"47","Gilbués",9,"2019","Agosto","Todas","Piauí"
"48","Guadalupe",6,"2019","Agosto","Todas","Piauí"
"49","Inhuma",11,"2019","Agosto","Todas","Piauí"
"50","Isaías Coelho",2,"2019","Agosto","Todas","Piauí"
"51","Itainópolis",5,"2019","Agosto","Todas","Piauí"
"52","Jaicós",14,"2019","Agosto","Todas","Piauí"
"53","Jerumenha",4,"2019","Agosto","Todas","Piauí"
"54","Joaquim Pires",5,"2019","Agosto","Todas","Piauí"
"55","José de Freitas",19,"2019","Agosto","Todas","Piauí"
"56","Landri Sales",1,"2019","Agosto","Todas","Piauí"
"57","Luzilândia",12,"2019","Agosto","Todas","Piauí"
"58","Manoel Emídio",3,"2019","Agosto","Todas","Piauí"
"59","Marcolândia",7,"2019","Agosto","Todas","Piauí"
"60","Alagoinha do Piauí",3,"2019","Agosto","Todas","Piauí"
"61","Alto Longá",3,"2019","Agosto","Todas","Piauí"
"62","Altos",29,"2019","Agosto","Todas","Piauí"
"63","Amarante",11,"2019","Agosto","Todas","Piauí"
"64","Angical do Piauí",7,"2019","Agosto","Todas","Piauí"
"65","Antônio Almeida",2,"2019","Agosto","Todas","Piauí"
"66","Anísio de Abreu",4,"2019","Agosto","Todas","Piauí"
"67","Avelino Lopes",1,"2019","Agosto","Todas","Piauí"
"68","Barras",22,"2019","Agosto","Todas","Piauí"
"69","Bertolínia",3,"2019","Agosto","Todas","Piauí"
"70","Bocaina",9,"2019","Agosto","Todas","Piauí"
"71","Cabeceiras do Piauí",5,"2019","Agosto","Todas","Piauí"
"72","Campo Maior",38,"2019","Agosto","Todas","Piauí"
"73","Canto do Buriti",5,"2019","Agosto","Todas","Piauí"
"74","Capitão de Campos",8,"2019","Agosto","Todas","Piauí"
"75","Caracol",7,"2019","Agosto","Todas","Piauí"
"76","Castelo do Piauí",6,"2019","Agosto","Todas","Piauí"
"77","Cocal",10,"2019","Agosto","Todas","Piauí"
"78","Conceição do Canindé",4,"2019","Agosto","Todas","Piauí"
"79","Curimatá",4,"2019","Agosto","Todas","Piauí"
