"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Domingos",4,"2019","Agosto","Todas","Sergipe"
"2","São Miguel do Aleixo",2,"2019","Agosto","Todas","Sergipe"
"3","Tobias Barreto",32,"2019","Agosto","Todas","Sergipe"
"4","Umbaúba",12,"2019","Agosto","Todas","Sergipe"
"5","Pacatuba",6,"2019","Agosto","Todas","Sergipe"
"6","Pedrinhas",1,"2019","Agosto","Todas","Sergipe"
"7","Pinhão",4,"2019","Agosto","Todas","Sergipe"
"8","Pirambu",3,"2019","Agosto","Todas","Sergipe"
"9","Porto da Folha",16,"2019","Agosto","Todas","Sergipe"
"10","Poço Redondo",11,"2019","Agosto","Todas","Sergipe"
"11","Poço Verde",19,"2019","Agosto","Todas","Sergipe"
"12","Propriá",26,"2019","Agosto","Todas","Sergipe"
"13","Riachuelo",9,"2019","Agosto","Todas","Sergipe"
"14","Riachão do Dantas",11,"2019","Agosto","Todas","Sergipe"
"15","Ribeirópolis",9,"2019","Agosto","Todas","Sergipe"
"16","Rosario do Catete",3,"2019","Agosto","Todas","Sergipe"
"17","Salgado",7,"2019","Agosto","Todas","Sergipe"
"18","Santa Luzia do Itanhy",2,"2019","Agosto","Todas","Sergipe"
"19","Santa Rosa de Lima",1,"2019","Agosto","Todas","Sergipe"
"20","Santana do São Francisco",9,"2019","Agosto","Todas","Sergipe"
"21","Santo Amaro das Brotas",6,"2019","Agosto","Todas","Sergipe"
"22","Simão Dias",14,"2019","Agosto","Todas","Sergipe"
"23","Siriri",4,"2019","Agosto","Todas","Sergipe"
"24","São Cristóvão",24,"2019","Agosto","Todas","Sergipe"
"25","Indiaroba",4,"2019","Agosto","Todas","Sergipe"
"26","Itabaiana",64,"2019","Agosto","Todas","Sergipe"
"27","Itabaianinha",15,"2019","Agosto","Todas","Sergipe"
"28","Itaporanga D'ajuda",11,"2019","Agosto","Todas","Sergipe"
"29","Japaratuba",10,"2019","Agosto","Todas","Sergipe"
"30","Japoatã",11,"2019","Agosto","Todas","Sergipe"
"31","Lagarto",47,"2019","Agosto","Todas","Sergipe"
"32","Laranjeiras",7,"2019","Agosto","Todas","Sergipe"
"33","Macambira",2,"2019","Agosto","Todas","Sergipe"
"34","Malhador",5,"2019","Agosto","Todas","Sergipe"
"35","Maruim",5,"2019","Agosto","Todas","Sergipe"
"36","Moita Bonita",7,"2019","Agosto","Todas","Sergipe"
"37","Monte Alegre de Sergipe",5,"2019","Agosto","Todas","Sergipe"
"38","Muribeca",6,"2019","Agosto","Todas","Sergipe"
"39","Neópolis",6,"2019","Agosto","Todas","Sergipe"
"40","Nossa Senhora Aparecida",6,"2019","Agosto","Todas","Sergipe"
"41","Nossa Senhora da Glória",20,"2019","Agosto","Todas","Sergipe"
"42","Nossa Senhora das Dores",7,"2019","Agosto","Todas","Sergipe"
"43","Nossa Senhora de Lourdes",4,"2019","Agosto","Todas","Sergipe"
"44","Nossa Senhora do Socorro",61,"2019","Agosto","Todas","Sergipe"
"45","Aquidabã",8,"2019","Agosto","Todas","Sergipe"
"46","Aracaju",379,"2019","Agosto","Todas","Sergipe"
"47","Arauá",4,"2019","Agosto","Todas","Sergipe"
"48","Barra dos Coqueiros",11,"2019","Agosto","Todas","Sergipe"
"49","Boquim",16,"2019","Agosto","Todas","Sergipe"
"50","Brejo Grande",2,"2019","Agosto","Todas","Sergipe"
"51","Campo do Brito",10,"2019","Agosto","Todas","Sergipe"
"52","Canhoba",1,"2019","Agosto","Todas","Sergipe"
"53","Canindé de São Francisco",14,"2019","Agosto","Todas","Sergipe"
"54","Capela",12,"2019","Agosto","Todas","Sergipe"
"55","Carira",13,"2019","Agosto","Todas","Sergipe"
"56","Carmopolis",8,"2019","Agosto","Todas","Sergipe"
"57","Cedro de São João",4,"2019","Agosto","Todas","Sergipe"
"58","Divina Pastora",1,"2019","Agosto","Todas","Sergipe"
"59","Estância",50,"2019","Agosto","Todas","Sergipe"
"60","Feira Nova",1,"2019","Agosto","Todas","Sergipe"
"61","Frei Paulo",2,"2019","Agosto","Todas","Sergipe"
"62","Gararu",4,"2019","Agosto","Todas","Sergipe"
"63","Graccho Cardoso",1,"2019","Agosto","Todas","Sergipe"
"64","Ilha das Flores",3,"2019","Agosto","Todas","Sergipe"
