"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São João do Rio do Peixe",11,"2019","Dezembro","Todas","Paraíba"
"2","São João do Tigre",5,"2019","Dezembro","Todas","Paraíba"
"3","São Miguel de Taipu",1,"2019","Dezembro","Todas","Paraíba"
"4","São Sebastião de Lagoa de Roça",8,"2019","Dezembro","Todas","Paraíba"
"5","Taperoá",6,"2019","Dezembro","Todas","Paraíba"
"6","Tavares",10,"2019","Dezembro","Todas","Paraíba"
"7","Teixeira",11,"2019","Dezembro","Todas","Paraíba"
"8","Tenório",1,"2019","Dezembro","Todas","Paraíba"
"9","Triunfo",5,"2019","Dezembro","Todas","Paraíba"
"10","Umbuzeiro",5,"2019","Dezembro","Todas","Paraíba"
"11","Vieirópolis",4,"2019","Dezembro","Todas","Paraíba"
"12","Vista Serrana",3,"2019","Dezembro","Todas","Paraíba"
"13","Zabelê",1,"2019","Dezembro","Todas","Paraíba"
"14","Água Branca",5,"2019","Dezembro","Todas","Paraíba"
"15","Sertãozinho",1,"2019","Dezembro","Todas","Paraíba"
"16","Sobrado",4,"2019","Dezembro","Todas","Paraíba"
"17","Soledade",11,"2019","Dezembro","Todas","Paraíba"
"18","Solânea",11,"2019","Dezembro","Todas","Paraíba"
"19","Sossêgo",4,"2019","Dezembro","Todas","Paraíba"
"20","Sousa",51,"2019","Dezembro","Todas","Paraíba"
"21","Sumé",8,"2019","Dezembro","Todas","Paraíba"
"22","São Bentinho",7,"2019","Dezembro","Todas","Paraíba"
"23","São Bento",20,"2019","Dezembro","Todas","Paraíba"
"24","São Domingos",3,"2019","Dezembro","Todas","Paraíba"
"25","São Domingos do Cariri",4,"2019","Dezembro","Todas","Paraíba"
"26","São Francisco",4,"2019","Dezembro","Todas","Paraíba"
"27","São José da Lagoa Tapada",4,"2019","Dezembro","Todas","Paraíba"
"28","São José de Caiana",3,"2019","Dezembro","Todas","Paraíba"
"29","São José de Piranhas",9,"2019","Dezembro","Todas","Paraíba"
"30","São José de Princesa",1,"2019","Dezembro","Todas","Paraíba"
"31","São José do Sabugi",5,"2019","Dezembro","Todas","Paraíba"
"32","São José dos Cordeiros",2,"2019","Dezembro","Todas","Paraíba"
