"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Várzea Grande",5,"2019","Dezembro","Todas","Piauí"
"2","Regeneração",12,"2019","Dezembro","Todas","Piauí"
"3","Ribeiro Gonçalves",7,"2019","Dezembro","Todas","Piauí"
"4","Rio Grande do Piauí",1,"2019","Dezembro","Todas","Piauí"
"5","Santa Cruz do Piauí",6,"2019","Dezembro","Todas","Piauí"
"6","Santa Filomena",3,"2019","Dezembro","Todas","Piauí"
"7","Santo Antônio de Lisboa",2,"2019","Dezembro","Todas","Piauí"
"8","Santo Inácio do Piauí",2,"2019","Dezembro","Todas","Piauí"
"9","Simplício Mendes",10,"2019","Dezembro","Todas","Piauí"
"10","Simões",9,"2019","Dezembro","Todas","Piauí"
"11","Socorro do Piauí",1,"2019","Dezembro","Todas","Piauí"
"12","São Francisco do Piauí",1,"2019","Dezembro","Todas","Piauí"
"13","São Félix do Piauí",8,"2019","Dezembro","Todas","Piauí"
"14","São José do Piauí",5,"2019","Dezembro","Todas","Piauí"
"15","São João do Piauí",19,"2019","Dezembro","Todas","Piauí"
"16","São Julião",2,"2019","Dezembro","Todas","Piauí"
"17","São Raimundo Nonato",20,"2019","Dezembro","Todas","Piauí"
"18","Teresina",252,"2019","Dezembro","Todas","Piauí"
"19","União",17,"2019","Dezembro","Todas","Piauí"
"20","Uruçuí",5,"2019","Dezembro","Todas","Piauí"
"21","Valença do Piauí",24,"2019","Dezembro","Todas","Piauí"
"22","Marcos Parente",1,"2019","Dezembro","Todas","Piauí"
"23","Matias Olímpio",4,"2019","Dezembro","Todas","Piauí"
"24","Miguel Alves",10,"2019","Dezembro","Todas","Piauí"
"25","Monsenhor Gil",7,"2019","Dezembro","Todas","Piauí"
"26","Monsenhor Hipólito",5,"2019","Dezembro","Todas","Piauí"
"27","Nazaré do Piauí",4,"2019","Dezembro","Todas","Piauí"
"28","Nossa Senhora dos Remédios",2,"2019","Dezembro","Todas","Piauí"
"29","Novo Oriente do Piauí",5,"2019","Dezembro","Todas","Piauí"
"30","Oeiras",38,"2019","Dezembro","Todas","Piauí"
"31","Paes Landim",2,"2019","Dezembro","Todas","Piauí"
"32","Palmeirais",5,"2019","Dezembro","Todas","Piauí"
"33","Parnaguá",3,"2019","Dezembro","Todas","Piauí"
"34","Parnaíba",65,"2019","Dezembro","Todas","Piauí"
"35","Paulistana",28,"2019","Dezembro","Todas","Piauí"
"36","Picos",23,"2019","Dezembro","Todas","Piauí"
"37","Pimenteiras",4,"2019","Dezembro","Todas","Piauí"
"38","Pio Ix",13,"2019","Dezembro","Todas","Piauí"
"39","Piracuruca",17,"2019","Dezembro","Todas","Piauí"
"40","Piripiri",30,"2019","Dezembro","Todas","Piauí"
"41","Porto",5,"2019","Dezembro","Todas","Piauí"
"42","Curimatá",7,"2019","Dezembro","Todas","Piauí"
"43","Demerval Lobão",9,"2019","Dezembro","Todas","Piauí"
"44","Eliseu Martins",6,"2019","Dezembro","Todas","Piauí"
"45","Flores do Piauí",5,"2019","Dezembro","Todas","Piauí"
"46","Floriano",27,"2019","Dezembro","Todas","Piauí"
"47","Francinópolis",2,"2019","Dezembro","Todas","Piauí"
"48","Francisco Santos",5,"2019","Dezembro","Todas","Piauí"
"49","Fronteiras",3,"2019","Dezembro","Todas","Piauí"
"50","Guadalupe",6,"2019","Dezembro","Todas","Piauí"
"51","Inhuma",7,"2019","Dezembro","Todas","Piauí"
"52","Ipiranga do Piauí",2,"2019","Dezembro","Todas","Piauí"
"53","Isaías Coelho",6,"2019","Dezembro","Todas","Piauí"
"54","Itainópolis",7,"2019","Dezembro","Todas","Piauí"
"55","Jaicós",17,"2019","Dezembro","Todas","Piauí"
"56","Jerumenha",2,"2019","Dezembro","Todas","Piauí"
"57","José de Freitas",19,"2019","Dezembro","Todas","Piauí"
"58","Landri Sales",3,"2019","Dezembro","Todas","Piauí"
"59","Luzilândia",22,"2019","Dezembro","Todas","Piauí"
"60","Manoel Emídio",1,"2019","Dezembro","Todas","Piauí"
"61","Marcolândia",3,"2019","Dezembro","Todas","Piauí"
"62","Agricolândia",3,"2019","Dezembro","Todas","Piauí"
"63","Alagoinha do Piauí",7,"2019","Dezembro","Todas","Piauí"
"64","Alto Longá",10,"2019","Dezembro","Todas","Piauí"
"65","Altos",11,"2019","Dezembro","Todas","Piauí"
"66","Amarante",11,"2019","Dezembro","Todas","Piauí"
"67","Antônio Almeida",1,"2019","Dezembro","Todas","Piauí"
"68","Anísio de Abreu",9,"2019","Dezembro","Todas","Piauí"
"69","Barras",16,"2019","Dezembro","Todas","Piauí"
"70","Bertolínia",6,"2019","Dezembro","Todas","Piauí"
"71","Bocaina",4,"2019","Dezembro","Todas","Piauí"
"72","Bom Jesus",11,"2019","Dezembro","Todas","Piauí"
"73","Cabeceiras do Piauí",9,"2019","Dezembro","Todas","Piauí"
"74","Campinas do Piauí",1,"2019","Dezembro","Todas","Piauí"
"75","Campo Maior",36,"2019","Dezembro","Todas","Piauí"
"76","Canto do Buriti",16,"2019","Dezembro","Todas","Piauí"
"77","Capitão de Campos",10,"2019","Dezembro","Todas","Piauí"
"78","Caracol",4,"2019","Dezembro","Todas","Piauí"
"79","Castelo do Piauí",12,"2019","Dezembro","Todas","Piauí"
"80","Cocal",12,"2019","Dezembro","Todas","Piauí"
"81","Conceição do Canindé",8,"2019","Dezembro","Todas","Piauí"
