"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Cristóvão",27,"2019","Dezembro","Todas","Sergipe"
"2","São Domingos",8,"2019","Dezembro","Todas","Sergipe"
"3","São Miguel do Aleixo",1,"2019","Dezembro","Todas","Sergipe"
"4","Telha",2,"2019","Dezembro","Todas","Sergipe"
"5","Tobias Barreto",20,"2019","Dezembro","Todas","Sergipe"
"6","Umbaúba",11,"2019","Dezembro","Todas","Sergipe"
"7","Pacatuba",3,"2019","Dezembro","Todas","Sergipe"
"8","Pedra Mole",1,"2019","Dezembro","Todas","Sergipe"
"9","Pedrinhas",6,"2019","Dezembro","Todas","Sergipe"
"10","Pinhão",3,"2019","Dezembro","Todas","Sergipe"
"11","Pirambu",3,"2019","Dezembro","Todas","Sergipe"
"12","Porto da Folha",23,"2019","Dezembro","Todas","Sergipe"
"13","Poço Redondo",9,"2019","Dezembro","Todas","Sergipe"
"14","Poço Verde",16,"2019","Dezembro","Todas","Sergipe"
"15","Propriá",16,"2019","Dezembro","Todas","Sergipe"
"16","Riachuelo",4,"2019","Dezembro","Todas","Sergipe"
"17","Riachão do Dantas",11,"2019","Dezembro","Todas","Sergipe"
"18","Ribeirópolis",12,"2019","Dezembro","Todas","Sergipe"
"19","Rosario do Catete",2,"2019","Dezembro","Todas","Sergipe"
"20","Salgado",10,"2019","Dezembro","Todas","Sergipe"
"21","Santa Luzia do Itanhy",5,"2019","Dezembro","Todas","Sergipe"
"22","Santa Rosa de Lima",1,"2019","Dezembro","Todas","Sergipe"
"23","Santana do São Francisco",4,"2019","Dezembro","Todas","Sergipe"
"24","Santo Amaro das Brotas",5,"2019","Dezembro","Todas","Sergipe"
"25","Simão Dias",12,"2019","Dezembro","Todas","Sergipe"
"26","Siriri",2,"2019","Dezembro","Todas","Sergipe"
"27","Indiaroba",6,"2019","Dezembro","Todas","Sergipe"
"28","Itabaiana",49,"2019","Dezembro","Todas","Sergipe"
"29","Itabaianinha",9,"2019","Dezembro","Todas","Sergipe"
"30","Itaporanga D'ajuda",16,"2019","Dezembro","Todas","Sergipe"
"31","Japaratuba",8,"2019","Dezembro","Todas","Sergipe"
"32","Japoatã",9,"2019","Dezembro","Todas","Sergipe"
"33","Lagarto",64,"2019","Dezembro","Todas","Sergipe"
"34","Laranjeiras",8,"2019","Dezembro","Todas","Sergipe"
"35","Macambira",1,"2019","Dezembro","Todas","Sergipe"
"36","Malhada dos Bois",3,"2019","Dezembro","Todas","Sergipe"
"37","Malhador",4,"2019","Dezembro","Todas","Sergipe"
"38","Maruim",9,"2019","Dezembro","Todas","Sergipe"
"39","Moita Bonita",3,"2019","Dezembro","Todas","Sergipe"
"40","Monte Alegre de Sergipe",10,"2019","Dezembro","Todas","Sergipe"
"41","Muribeca",3,"2019","Dezembro","Todas","Sergipe"
"42","Neópolis",18,"2019","Dezembro","Todas","Sergipe"
"43","Nossa Senhora Aparecida",5,"2019","Dezembro","Todas","Sergipe"
"44","Nossa Senhora da Glória",16,"2019","Dezembro","Todas","Sergipe"
"45","Nossa Senhora das Dores",18,"2019","Dezembro","Todas","Sergipe"
"46","Nossa Senhora do Socorro",45,"2019","Dezembro","Todas","Sergipe"
"47","Aquidabã",7,"2019","Dezembro","Todas","Sergipe"
"48","Aracaju",346,"2019","Dezembro","Todas","Sergipe"
"49","Arauá",1,"2019","Dezembro","Todas","Sergipe"
"50","Areia Branca",13,"2019","Dezembro","Todas","Sergipe"
"51","Boquim",13,"2019","Dezembro","Todas","Sergipe"
"52","Brejo Grande",3,"2019","Dezembro","Todas","Sergipe"
"53","Campo do Brito",10,"2019","Dezembro","Todas","Sergipe"
"54","Canhoba",3,"2019","Dezembro","Todas","Sergipe"
"55","Canindé de São Francisco",9,"2019","Dezembro","Todas","Sergipe"
"56","Capela",17,"2019","Dezembro","Todas","Sergipe"
"57","Carira",12,"2019","Dezembro","Todas","Sergipe"
"58","Carmopolis",8,"2019","Dezembro","Todas","Sergipe"
"59","Cedro de São João",3,"2019","Dezembro","Todas","Sergipe"
"60","Cumbe",3,"2019","Dezembro","Todas","Sergipe"
"61","Divina Pastora",3,"2019","Dezembro","Todas","Sergipe"
"62","Estância",36,"2019","Dezembro","Todas","Sergipe"
"63","Frei Paulo",6,"2019","Dezembro","Todas","Sergipe"
"64","Gararu",2,"2019","Dezembro","Todas","Sergipe"
"65","General Maynard",4,"2019","Dezembro","Todas","Sergipe"
"66","Ilha das Flores",4,"2019","Dezembro","Todas","Sergipe"
