"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Urandi",11,"2019","Fevereiro","Todas","Bahia"
"2","Uruçuca",21,"2019","Fevereiro","Todas","Bahia"
"3","Valente",4,"2019","Fevereiro","Todas","Bahia"
"4","Valença",44,"2019","Fevereiro","Todas","Bahia"
"5","Vera Cruz",6,"2019","Fevereiro","Todas","Bahia"
"6","Vitoria da Conquista",172,"2019","Fevereiro","Todas","Bahia"
"7","Wenceslau Guimarães",8,"2019","Fevereiro","Todas","Bahia"
"8","Xique-Xique",20,"2019","Fevereiro","Todas","Bahia"
"9","Água Fria",5,"2019","Fevereiro","Todas","Bahia"
"10","Souto Soares",7,"2019","Fevereiro","Todas","Bahia"
"11","Sátiro Dias",7,"2019","Fevereiro","Todas","Bahia"
"12","São Desidério",5,"2019","Fevereiro","Todas","Bahia"
"13","São Felipe",16,"2019","Fevereiro","Todas","Bahia"
"14","São Félix",11,"2019","Fevereiro","Todas","Bahia"
"15","São Félix do Coribe",8,"2019","Fevereiro","Todas","Bahia"
"16","São Gabriel",4,"2019","Fevereiro","Todas","Bahia"
"17","São Gonçalo dos Campos",3,"2019","Fevereiro","Todas","Bahia"
"18","São Sebastião do Passé",26,"2019","Fevereiro","Todas","Bahia"
"19","Tanquinho",3,"2019","Fevereiro","Todas","Bahia"
"20","Taperoá",6,"2019","Fevereiro","Todas","Bahia"
"21","Teixeira de Freitas",92,"2019","Fevereiro","Todas","Bahia"
"22","Teodoro Sampaio",1,"2019","Fevereiro","Todas","Bahia"
"23","Teofilândia",8,"2019","Fevereiro","Todas","Bahia"
"24","Terra Nova",3,"2019","Fevereiro","Todas","Bahia"
"25","Tremedal",3,"2019","Fevereiro","Todas","Bahia"
"26","Tucano",17,"2019","Fevereiro","Todas","Bahia"
"27","Ubaitaba",2,"2019","Fevereiro","Todas","Bahia"
"28","Uibaí",9,"2019","Fevereiro","Todas","Bahia"
"29","Una",7,"2019","Fevereiro","Todas","Bahia"
"30","Santa Luzia",4,"2019","Fevereiro","Todas","Bahia"
"31","Santa Maria da Vitória",17,"2019","Fevereiro","Todas","Bahia"
"32","Santa Rita de Cássia",11,"2019","Fevereiro","Todas","Bahia"
"33","Santana",21,"2019","Fevereiro","Todas","Bahia"
"34","Santanópolis",5,"2019","Fevereiro","Todas","Bahia"
"35","Santo Amaro",13,"2019","Fevereiro","Todas","Bahia"
"36","Santo Estêvão",36,"2019","Fevereiro","Todas","Bahia"
"37","Sapeaçu",4,"2019","Fevereiro","Todas","Bahia"
"38","Saúde",16,"2019","Fevereiro","Todas","Bahia"
"39","Seabra",19,"2019","Fevereiro","Todas","Bahia"
"40","Sebastião Laranjeiras",8,"2019","Fevereiro","Todas","Bahia"
"41","Senhor do Bonfim",25,"2019","Fevereiro","Todas","Bahia"
"42","Sento Sé",6,"2019","Fevereiro","Todas","Bahia"
"43","Serra Dourada",8,"2019","Fevereiro","Todas","Bahia"
"44","Serra Preta",8,"2019","Fevereiro","Todas","Bahia"
"45","Serra do Ramalho",4,"2019","Fevereiro","Todas","Bahia"
"46","Serrinha",45,"2019","Fevereiro","Todas","Bahia"
