"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Verê",5,"2019","Fevereiro","Todas","Paraná"
"2","Vitorino",7,"2019","Fevereiro","Todas","Paraná"
"3","Wenceslau Braz",17,"2019","Fevereiro","Todas","Paraná"
"4","Xambrê",2,"2019","Fevereiro","Todas","Paraná"
"5","Ângulo",4,"2019","Fevereiro","Todas","Paraná"
"6","Tapejara",8,"2019","Fevereiro","Todas","Paraná"
"7","Tapira",3,"2019","Fevereiro","Todas","Paraná"
"8","Teixeira Soares",4,"2019","Fevereiro","Todas","Paraná"
"9","Telemaco Borba",35,"2019","Fevereiro","Todas","Paraná"
"10","Terra Boa",7,"2019","Fevereiro","Todas","Paraná"
"11","Terra Rica",4,"2019","Fevereiro","Todas","Paraná"
"12","Terra Roxa",7,"2019","Fevereiro","Todas","Paraná"
"13","Tibagi",1,"2019","Fevereiro","Todas","Paraná"
"14","Tijucas do Sul",5,"2019","Fevereiro","Todas","Paraná"
"15","Toledo",49,"2019","Fevereiro","Todas","Paraná"
"16","Três Barras do Paraná",7,"2019","Fevereiro","Todas","Paraná"
"17","Tuneiras do Oeste",5,"2019","Fevereiro","Todas","Paraná"
"18","Tupãssi",3,"2019","Fevereiro","Todas","Paraná"
"19","Turvo",10,"2019","Fevereiro","Todas","Paraná"
"20","Ubiratã",15,"2019","Fevereiro","Todas","Paraná"
"21","Umuarama",52,"2019","Fevereiro","Todas","Paraná"
"22","União da Vitória",29,"2019","Fevereiro","Todas","Paraná"
"23","Uraí",5,"2019","Fevereiro","Todas","Paraná"
"24","Ventania",1,"2019","Fevereiro","Todas","Paraná"
"25","Vera Cruz do Oeste",7,"2019","Fevereiro","Todas","Paraná"
"26","Serranópolis do Iguaçu",2,"2019","Fevereiro","Todas","Paraná"
"27","Sertaneja",3,"2019","Fevereiro","Todas","Paraná"
"28","Siqueira Campos",16,"2019","Fevereiro","Todas","Paraná"
"29","São Jerônimo da Serra",4,"2019","Fevereiro","Todas","Paraná"
"30","São Jorge do Ivaí",2,"2019","Fevereiro","Todas","Paraná"
"31","São José da Boa Vista",5,"2019","Fevereiro","Todas","Paraná"
"32","São José das Palmeiras",4,"2019","Fevereiro","Todas","Paraná"
"33","São José dos Pinhais",91,"2019","Fevereiro","Todas","Paraná"
"34","São João",9,"2019","Fevereiro","Todas","Paraná"
"35","São João do Caiuá",2,"2019","Fevereiro","Todas","Paraná"
"36","São João do Ivaí",4,"2019","Fevereiro","Todas","Paraná"
"37","São João do Triunfo",3,"2019","Fevereiro","Todas","Paraná"
"38","São Manoel do Paraná",2,"2019","Fevereiro","Todas","Paraná"
"39","São Miguel do Iguaçu",11,"2019","Fevereiro","Todas","Paraná"
"40","São Pedro do Ivaí",9,"2019","Fevereiro","Todas","Paraná"
