"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vianópolis",6,"2019","Janeiro","Todas","Goiás"
"2","Vicentinópolis",5,"2019","Janeiro","Todas","Goiás"
"3","Vila Propício",3,"2019","Janeiro","Todas","Goiás"
"4","Água Fria de Goiás",2,"2019","Janeiro","Todas","Goiás"
"5","Água Limpa",1,"2019","Janeiro","Todas","Goiás"
"6","Águas Lindas de Goiás",29,"2019","Janeiro","Todas","Goiás"
"7","Senador Canedo",53,"2019","Janeiro","Todas","Goiás"
"8","Serranópolis",10,"2019","Janeiro","Todas","Goiás"
"9","Silvânia",13,"2019","Janeiro","Todas","Goiás"
"10","São Domingos",4,"2019","Janeiro","Todas","Goiás"
"11","São Francisco de Goiás",6,"2019","Janeiro","Todas","Goiás"
"12","São João D'aliança",2,"2019","Janeiro","Todas","Goiás"
"13","São Luís de Montes Belos",8,"2019","Janeiro","Todas","Goiás"
"14","São Miguel do Araguaia",7,"2019","Janeiro","Todas","Goiás"
"15","São Miguel do Passa Quatro",1,"2019","Janeiro","Todas","Goiás"
"16","São Patrício",1,"2019","Janeiro","Todas","Goiás"
"17","Terezópolis de Goiás",7,"2019","Janeiro","Todas","Goiás"
"18","Trindade",54,"2019","Janeiro","Todas","Goiás"
"19","Trombas",2,"2019","Janeiro","Todas","Goiás"
"20","Três Ranchos",1,"2019","Janeiro","Todas","Goiás"
"21","Turvânia",4,"2019","Janeiro","Todas","Goiás"
"22","Uruana",3,"2019","Janeiro","Todas","Goiás"
"23","Uruaçu",23,"2019","Janeiro","Todas","Goiás"
"24","Urutaí",3,"2019","Janeiro","Todas","Goiás"
"25","Valparaíso de Goiás",18,"2019","Janeiro","Todas","Goiás"
"26","Varjão",1,"2019","Janeiro","Todas","Goiás"
"27","Paranaiguara",4,"2019","Janeiro","Todas","Goiás"
"28","Paraúna",3,"2019","Janeiro","Todas","Goiás"
"29","Piracanjuba",14,"2019","Janeiro","Todas","Goiás"
"30","Piranhas",4,"2019","Janeiro","Todas","Goiás"
"31","Planaltina",22,"2019","Janeiro","Todas","Goiás"
"32","Pontalina",19,"2019","Janeiro","Todas","Goiás"
"33","Porangatu",25,"2019","Janeiro","Todas","Goiás"
"34","Porteirão",1,"2019","Janeiro","Todas","Goiás"
"35","Posse",19,"2019","Janeiro","Todas","Goiás"
"36","Quirinopolis",2,"2019","Janeiro","Todas","Goiás"
"37","Rialma",8,"2019","Janeiro","Todas","Goiás"
"38","Rianápolis",2,"2019","Janeiro","Todas","Goiás"
"39","Rio Quente",1,"2019","Janeiro","Todas","Goiás"
"40","Rio Verde",78,"2019","Janeiro","Todas","Goiás"
"41","Rubiataba",14,"2019","Janeiro","Todas","Goiás"
"42","Santa Helena de Goias",19,"2019","Janeiro","Todas","Goiás"
