"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Luís Gonzaga do Maranhão",4,"2019","Janeiro","Todas","Maranhão"
"2","São Mateus do Maranhão",19,"2019","Janeiro","Todas","Maranhão"
"3","São Pedro da Água Branca",6,"2019","Janeiro","Todas","Maranhão"
"4","São Vicente Ferrer",4,"2019","Janeiro","Todas","Maranhão"
"5","Sítio Novo",7,"2019","Janeiro","Todas","Maranhão"
"6","Tasso Fragoso",5,"2019","Janeiro","Todas","Maranhão"
"7","Trizidela do Vale",5,"2019","Janeiro","Todas","Maranhão"
"8","Tufilândia",1,"2019","Janeiro","Todas","Maranhão"
"9","Tuntum",7,"2019","Janeiro","Todas","Maranhão"
"10","Turiaçu",4,"2019","Janeiro","Todas","Maranhão"
"11","Vargem Grande",12,"2019","Janeiro","Todas","Maranhão"
"12","Viana",18,"2019","Janeiro","Todas","Maranhão"
"13","Vila Nova dos Martírios",5,"2019","Janeiro","Todas","Maranhão"
"14","Vitorino Freire",5,"2019","Janeiro","Todas","Maranhão"
"15","Vitória do Mearim",1,"2019","Janeiro","Todas","Maranhão"
"16","Ribamar Fiquene",5,"2019","Janeiro","Todas","Maranhão"
"17","Santa Helena",7,"2019","Janeiro","Todas","Maranhão"
"18","Santa Inês",37,"2019","Janeiro","Todas","Maranhão"
"19","Santa Luzia",21,"2019","Janeiro","Todas","Maranhão"
"20","Santa Rita",11,"2019","Janeiro","Todas","Maranhão"
"21","Santo Antônio dos Lopes",2,"2019","Janeiro","Todas","Maranhão"
"22","Satubinha",3,"2019","Janeiro","Todas","Maranhão"
"23","Senador La Roque",9,"2019","Janeiro","Todas","Maranhão"
"24","Sucupira do Norte",3,"2019","Janeiro","Todas","Maranhão"
"25","São Domingos do Azeitão",3,"2019","Janeiro","Todas","Maranhão"
"26","São Domingos do Maranhão",12,"2019","Janeiro","Todas","Maranhão"
"27","São Francisco do Brejão",6,"2019","Janeiro","Todas","Maranhão"
"28","São Francisco do Maranhão",5,"2019","Janeiro","Todas","Maranhão"
"29","São Félix de Balsas",3,"2019","Janeiro","Todas","Maranhão"
"30","São José de Ribamar",94,"2019","Janeiro","Todas","Maranhão"
"31","São João do Carú",3,"2019","Janeiro","Todas","Maranhão"
"32","São João do Paraíso",5,"2019","Janeiro","Todas","Maranhão"
"33","São João do Soter",4,"2019","Janeiro","Todas","Maranhão"
"34","São João dos Patos",13,"2019","Janeiro","Todas","Maranhão"
"35","São Luís",556,"2019","Janeiro","Todas","Maranhão"
"36","Nova Colinas",4,"2019","Janeiro","Todas","Maranhão"
"37","Nova Olinda do Maranhão",6,"2019","Janeiro","Todas","Maranhão"
"38","Olinda Nova do Maranhão",8,"2019","Janeiro","Todas","Maranhão"
"39","Palmeirândia",3,"2019","Janeiro","Todas","Maranhão"
"40","Paraibano",9,"2019","Janeiro","Todas","Maranhão"
"41","Parnarama",7,"2019","Janeiro","Todas","Maranhão"
"42","Passagem Franca",9,"2019","Janeiro","Todas","Maranhão"
"43","Paço do Lumiar",26,"2019","Janeiro","Todas","Maranhão"
"44","Pedro do Rosário",5,"2019","Janeiro","Todas","Maranhão"
"45","Peri Mirim",9,"2019","Janeiro","Todas","Maranhão"
"46","Peritoró",7,"2019","Janeiro","Todas","Maranhão"
"47","Pio Xii",5,"2019","Janeiro","Todas","Maranhão"
"48","Porto Franco",10,"2019","Janeiro","Todas","Maranhão"
"49","Poção de Pedras",8,"2019","Janeiro","Todas","Maranhão"
"50","Presidente Dutra",20,"2019","Janeiro","Todas","Maranhão"
"51","Presidente Juscelino",2,"2019","Janeiro","Todas","Maranhão"
"52","Presidente Sarney",1,"2019","Janeiro","Todas","Maranhão"
"53","Primeira Cruz",3,"2019","Janeiro","Todas","Maranhão"
"54","Raposa",2,"2019","Janeiro","Todas","Maranhão"
"55","Riachão",11,"2019","Janeiro","Todas","Maranhão"
"56","João Lisboa",4,"2019","Janeiro","Todas","Maranhão"
"57","Junco do Maranhão",2,"2019","Janeiro","Todas","Maranhão"
"58","Lago Verde",7,"2019","Janeiro","Todas","Maranhão"
"59","Lago da Pedra",15,"2019","Janeiro","Todas","Maranhão"
"60","Lago do Junco",2,"2019","Janeiro","Todas","Maranhão"
"61","Lago dos Rodrigues",3,"2019","Janeiro","Todas","Maranhão"
"62","Lagoa Grande do Maranhão",2,"2019","Janeiro","Todas","Maranhão"
"63","Lagoa do Mato",2,"2019","Janeiro","Todas","Maranhão"
"64","Lajeado Novo",3,"2019","Janeiro","Todas","Maranhão"
"65","Lima Campos",3,"2019","Janeiro","Todas","Maranhão"
"66","Maracaçumé",1,"2019","Janeiro","Todas","Maranhão"
"67","Maranhãozinho",2,"2019","Janeiro","Todas","Maranhão"
"68","Mata Roma",2,"2019","Janeiro","Todas","Maranhão"
"69","Matões do Norte",1,"2019","Janeiro","Todas","Maranhão"
"70","Mirador",3,"2019","Janeiro","Todas","Maranhão"
"71","Miranda do Norte",7,"2019","Janeiro","Todas","Maranhão"
"72","Mirinzal",4,"2019","Janeiro","Todas","Maranhão"
"73","Montes Altos",4,"2019","Janeiro","Todas","Maranhão"
"74","Monção",6,"2019","Janeiro","Todas","Maranhão"
"75","Morros",2,"2019","Janeiro","Todas","Maranhão"
"76","Estreito",14,"2019","Janeiro","Todas","Maranhão"
"77","Feira Nova do Maranhão",6,"2019","Janeiro","Todas","Maranhão"
"78","Formosa da Serra Negra",4,"2019","Janeiro","Todas","Maranhão"
"79","Fortaleza dos Nogueiras",7,"2019","Janeiro","Todas","Maranhão"
"80","Fortuna",4,"2019","Janeiro","Todas","Maranhão"
"81","Gonçalves Dias",2,"2019","Janeiro","Todas","Maranhão"
"82","Governador Edson Lobão",6,"2019","Janeiro","Todas","Maranhão"
"83","Governador Eugênio Barros",8,"2019","Janeiro","Todas","Maranhão"
"84","Governador Luiz Rocha",6,"2019","Janeiro","Todas","Maranhão"
"85","Governador Newton Bello",1,"2019","Janeiro","Todas","Maranhão"
"86","Governador Nunes Freire",7,"2019","Janeiro","Todas","Maranhão"
"87","Grajaú",29,"2019","Janeiro","Todas","Maranhão"
"88","Humberto de Campos",11,"2019","Janeiro","Todas","Maranhão"
"89","Icatu",2,"2019","Janeiro","Todas","Maranhão"
"90","Igarapé Grande",6,"2019","Janeiro","Todas","Maranhão"
"91","Imperatriz",132,"2019","Janeiro","Todas","Maranhão"
"92","Itaipava do Grajaú",2,"2019","Janeiro","Todas","Maranhão"
"93","Itapecuru Mirim",26,"2019","Janeiro","Todas","Maranhão"
"94","Itinga do Maranhão",5,"2019","Janeiro","Todas","Maranhão"
