"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vale do Anari",9,"2019","Janeiro","Todas","Rondônia"
"2","Vilhena",53,"2019","Janeiro","Todas","Rondônia"
"3","Ministro Andreazza",3,"2019","Janeiro","Todas","Rondônia"
"4","Mirante da Serra",6,"2019","Janeiro","Todas","Rondônia"
"5","Nova Brasilândia D'oeste",11,"2019","Janeiro","Todas","Rondônia"
"6","Nova Mamoré",12,"2019","Janeiro","Todas","Rondônia"
"7","Nova União",3,"2019","Janeiro","Todas","Rondônia"
"8","Novo Horizonte do Oeste",2,"2019","Janeiro","Todas","Rondônia"
"9","Ouro Preto do Oeste",50,"2019","Janeiro","Todas","Rondônia"
"10","Parecis",1,"2019","Janeiro","Todas","Rondônia"
"11","Pimenta Bueno",17,"2019","Janeiro","Todas","Rondônia"
"12","Porto Velho",232,"2019","Janeiro","Todas","Rondônia"
"13","Presidente Médici",10,"2019","Janeiro","Todas","Rondônia"
"14","Primavera de Rondônia",2,"2019","Janeiro","Todas","Rondônia"
"15","Santa Luzia D'oeste",2,"2019","Janeiro","Todas","Rondônia"
"16","Seringueiras",4,"2019","Janeiro","Todas","Rondônia"
"17","São Felipe D'oeste",2,"2019","Janeiro","Todas","Rondônia"
"18","São Francisco do Guaporé",8,"2019","Janeiro","Todas","Rondônia"
"19","São Miguel do Guaporé",15,"2019","Janeiro","Todas","Rondônia"
"20","Teixeirópolis",2,"2019","Janeiro","Todas","Rondônia"
"21","Theobroma",4,"2019","Janeiro","Todas","Rondônia"
"22","Urupá",6,"2019","Janeiro","Todas","Rondônia"
"23","Alta Floresta D'oeste",11,"2019","Janeiro","Todas","Rondônia"
"24","Alto Alegre dos Parecis",3,"2019","Janeiro","Todas","Rondônia"
"25","Alvorada D'oeste",8,"2019","Janeiro","Todas","Rondônia"
"26","Ariquemes",44,"2019","Janeiro","Todas","Rondônia"
"27","Buritis",10,"2019","Janeiro","Todas","Rondônia"
"28","Cabixi",3,"2019","Janeiro","Todas","Rondônia"
"29","Cacaulândia",1,"2019","Janeiro","Todas","Rondônia"
"30","Cacoal",55,"2019","Janeiro","Todas","Rondônia"
"31","Campo Novo de Rondônia",2,"2019","Janeiro","Todas","Rondônia"
"32","Candeias do Jamari",5,"2019","Janeiro","Todas","Rondônia"
"33","Cerejeiras",10,"2019","Janeiro","Todas","Rondônia"
"34","Chupinguaia",1,"2019","Janeiro","Todas","Rondônia"
"35","Colorado do Oeste",6,"2019","Janeiro","Todas","Rondônia"
"36","Corumbiara",4,"2019","Janeiro","Todas","Rondônia"
"37","Espigão do Oeste",19,"2019","Janeiro","Todas","Rondônia"
"38","Governador Jorge Teixeira",6,"2019","Janeiro","Todas","Rondônia"
"39","Guajara-Mirim",16,"2019","Janeiro","Todas","Rondônia"
"40","Jaru",27,"2019","Janeiro","Todas","Rondônia"
"41","Ji-Paraná",58,"2019","Janeiro","Todas","Rondônia"
"42","Machadinho D'oeste",11,"2019","Janeiro","Todas","Rondônia"
