"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vicentinópolis",3,"2019","Julho","Todas","Goiás"
"2","Vila Propício",3,"2019","Julho","Todas","Goiás"
"3","Água Limpa",1,"2019","Julho","Todas","Goiás"
"4","Águas Lindas de Goiás",40,"2019","Julho","Todas","Goiás"
"5","São Domingos",3,"2019","Julho","Todas","Goiás"
"6","São João D'aliança",3,"2019","Julho","Todas","Goiás"
"7","São João da Paraúna",1,"2019","Julho","Todas","Goiás"
"8","São Luís de Montes Belos",19,"2019","Julho","Todas","Goiás"
"9","São Miguel do Araguaia",16,"2019","Julho","Todas","Goiás"
"10","São Miguel do Passa Quatro",5,"2019","Julho","Todas","Goiás"
"11","São Patrício",1,"2019","Julho","Todas","Goiás"
"12","São Simão",9,"2019","Julho","Todas","Goiás"
"13","Teresina de Goiás",4,"2019","Julho","Todas","Goiás"
"14","Terezópolis de Goiás",2,"2019","Julho","Todas","Goiás"
"15","Trindade",57,"2019","Julho","Todas","Goiás"
"16","Trombas",4,"2019","Julho","Todas","Goiás"
"17","Três Ranchos",2,"2019","Julho","Todas","Goiás"
"18","Turvelândia",3,"2019","Julho","Todas","Goiás"
"19","Uruana",8,"2019","Julho","Todas","Goiás"
"20","Uruaçu",21,"2019","Julho","Todas","Goiás"
"21","Urutaí",3,"2019","Julho","Todas","Goiás"
"22","Valparaíso de Goiás",31,"2019","Julho","Todas","Goiás"
"23","Varjão",2,"2019","Julho","Todas","Goiás"
"24","Vianópolis",11,"2019","Julho","Todas","Goiás"
"25","Piranhas",7,"2019","Julho","Todas","Goiás"
"26","Planaltina",29,"2019","Julho","Todas","Goiás"
"27","Pontalina",18,"2019","Julho","Todas","Goiás"
"28","Porangatu",36,"2019","Julho","Todas","Goiás"
"29","Posse",18,"2019","Julho","Todas","Goiás"
"30","Professor Jamil",3,"2019","Julho","Todas","Goiás"
"31","Rialma",10,"2019","Julho","Todas","Goiás"
"32","Rio Quente",2,"2019","Julho","Todas","Goiás"
"33","Rio Verde",110,"2019","Julho","Todas","Goiás"
"34","Santa Fé de Goiás",3,"2019","Julho","Todas","Goiás"
"35","Santa Helena de Goias",20,"2019","Julho","Todas","Goiás"
"36","Santa Rosa de Goiás",2,"2019","Julho","Todas","Goiás"
"37","Santa Terezinha de Goiás",9,"2019","Julho","Todas","Goiás"
"38","Santo Antônio da Barra",3,"2019","Julho","Todas","Goiás"
"39","Santo Antônio de Goiás",7,"2019","Julho","Todas","Goiás"
"40","Santo Antônio do Descoberto",13,"2019","Julho","Todas","Goiás"
"41","Senador Canedo",62,"2019","Julho","Todas","Goiás"
"42","Serranópolis",3,"2019","Julho","Todas","Goiás"
"43","Silvânia",20,"2019","Julho","Todas","Goiás"
"44","Simolândia",3,"2019","Julho","Todas","Goiás"
"45","Morrinhos",33,"2019","Julho","Todas","Goiás"
"46","Mossâmedes",3,"2019","Julho","Todas","Goiás"
"47","Mutunópolis",1,"2019","Julho","Todas","Goiás"
"48","Nazário",14,"2019","Julho","Todas","Goiás"
"49","Niquelandia",27,"2019","Julho","Todas","Goiás"
"50","Nova Aurora",1,"2019","Julho","Todas","Goiás"
"51","Nova Crixás",6,"2019","Julho","Todas","Goiás"
