"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Virgínia",6,"2019","Julho","Todas","Minas Gerais"
"2","Visconde do Rio Branco",13,"2019","Julho","Todas","Minas Gerais"
"3","Viçosa",58,"2019","Julho","Todas","Minas Gerais"
"4","Volta Grande",5,"2019","Julho","Todas","Minas Gerais"
"5","Wenceslau Braz",1,"2019","Julho","Todas","Minas Gerais"
"6","Água Boa",4,"2019","Julho","Todas","Minas Gerais"
"7","Águas Formosas",2,"2019","Julho","Todas","Minas Gerais"
"8","Águas Vermelhas",5,"2019","Julho","Todas","Minas Gerais"
"9","Umburatiba",1,"2019","Julho","Todas","Minas Gerais"
"10","Unaí",40,"2019","Julho","Todas","Minas Gerais"
"11","União de Minas",8,"2019","Julho","Todas","Minas Gerais"
"12","Uruana de Minas",2,"2019","Julho","Todas","Minas Gerais"
"13","Urucania",5,"2019","Julho","Todas","Minas Gerais"
"14","Urucuia",4,"2019","Julho","Todas","Minas Gerais"
"15","Vargem Grande do Rio Pardo",2,"2019","Julho","Todas","Minas Gerais"
"16","Varginha",79,"2019","Julho","Todas","Minas Gerais"
"17","Varjão de Minas",2,"2019","Julho","Todas","Minas Gerais"
"18","Varzea da Palma",11,"2019","Julho","Todas","Minas Gerais"
"19","Varzelândia",9,"2019","Julho","Todas","Minas Gerais"
"20","Vazante",9,"2019","Julho","Todas","Minas Gerais"
"21","Verdelândia",5,"2019","Julho","Todas","Minas Gerais"
"22","Veredinha",3,"2019","Julho","Todas","Minas Gerais"
"23","Vermelho Novo",1,"2019","Julho","Todas","Minas Gerais"
"24","Veríssimo",1,"2019","Julho","Todas","Minas Gerais"
"25","Vespasiano",48,"2019","Julho","Todas","Minas Gerais"
"26","Vieiras",3,"2019","Julho","Todas","Minas Gerais"
"27","Virginópolis",8,"2019","Julho","Todas","Minas Gerais"
"28","Virgolândia",3,"2019","Julho","Todas","Minas Gerais"
"29","Teófilo Otoni",87,"2019","Julho","Todas","Minas Gerais"
"30","Timoteo",44,"2019","Julho","Todas","Minas Gerais"
"31","Tiradentes",4,"2019","Julho","Todas","Minas Gerais"
"32","Tiros",4,"2019","Julho","Todas","Minas Gerais"
"33","Tocantins",12,"2019","Julho","Todas","Minas Gerais"
"34","Tocos do Moji",1,"2019","Julho","Todas","Minas Gerais"
"35","Toledo",5,"2019","Julho","Todas","Minas Gerais"
"36","Tombos",8,"2019","Julho","Todas","Minas Gerais"
"37","Três Corações",56,"2019","Julho","Todas","Minas Gerais"
"38","Três Marias",23,"2019","Julho","Todas","Minas Gerais"
"39","Três Pontas",34,"2019","Julho","Todas","Minas Gerais"
"40","Tumiritinga",3,"2019","Julho","Todas","Minas Gerais"
"41","Tupaciguara",22,"2019","Julho","Todas","Minas Gerais"
"42","Turmalina",13,"2019","Julho","Todas","Minas Gerais"
"43","Turvolândia",8,"2019","Julho","Todas","Minas Gerais"
"44","Ubaporanga",8,"2019","Julho","Todas","Minas Gerais"
"45","Ubaí",8,"2019","Julho","Todas","Minas Gerais"
"46","Uberaba",268,"2019","Julho","Todas","Minas Gerais"
"47","Uberlandia",345,"2019","Julho","Todas","Minas Gerais"
"48","Ubá",86,"2019","Julho","Todas","Minas Gerais"
"49","São Romão",9,"2019","Julho","Todas","Minas Gerais"
"50","São Roque de Minas",5,"2019","Julho","Todas","Minas Gerais"
"51","São Sebastião da Bela Vista",3,"2019","Julho","Todas","Minas Gerais"
"52","São Sebastião da Vargem Alegre",3,"2019","Julho","Todas","Minas Gerais"
"53","São Sebastião do Anta",4,"2019","Julho","Todas","Minas Gerais"
"54","São Sebastião do Maranhão",5,"2019","Julho","Todas","Minas Gerais"
"55","São Sebastião do Oeste",4,"2019","Julho","Todas","Minas Gerais"
"56","São Sebastião do Paraíso",65,"2019","Julho","Todas","Minas Gerais"
"57","São Sebastião do Rio Verde",4,"2019","Julho","Todas","Minas Gerais"
"58","São Thomé das Letras",3,"2019","Julho","Todas","Minas Gerais"
"59","São Tiago",9,"2019","Julho","Todas","Minas Gerais"
"60","São Vicente de Minas",2,"2019","Julho","Todas","Minas Gerais"
"61","Tabuleiro",3,"2019","Julho","Todas","Minas Gerais"
"62","Taiobeiras",20,"2019","Julho","Todas","Minas Gerais"
"63","Taparuba",2,"2019","Julho","Todas","Minas Gerais"
"64","Tapira",2,"2019","Julho","Todas","Minas Gerais"
"65","Tapiraí",1,"2019","Julho","Todas","Minas Gerais"
"66","Taquaraçu de Minas",2,"2019","Julho","Todas","Minas Gerais"
"67","Tarumirim",16,"2019","Julho","Todas","Minas Gerais"
"68","Teixeiras",11,"2019","Julho","Todas","Minas Gerais"
"69","São José do Divino",2,"2019","Julho","Todas","Minas Gerais"
"70","São José do Goiabal",2,"2019","Julho","Todas","Minas Gerais"
"71","São José do Jacuri",5,"2019","Julho","Todas","Minas Gerais"
"72","São José do Mantimento",4,"2019","Julho","Todas","Minas Gerais"
"73","São João Del Rei",72,"2019","Julho","Todas","Minas Gerais"
"74","São João Evangelista",7,"2019","Julho","Todas","Minas Gerais"
"75","São João Nepomuceno",19,"2019","Julho","Todas","Minas Gerais"
"76","São João da Lagoa",4,"2019","Julho","Todas","Minas Gerais"
"77","São João da Mata",2,"2019","Julho","Todas","Minas Gerais"
"78","São João da Ponte",6,"2019","Julho","Todas","Minas Gerais"
