"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Santarem",180,"2019","Julho","Todas","Pará"
"2","Santarém Novo",2,"2019","Julho","Todas","Pará"
"3","Sao Miguel do Guama",13,"2019","Julho","Todas","Pará"
"4","São Domingos do Araguaia",3,"2019","Julho","Todas","Pará"
"5","São Domingos do Capim",7,"2019","Julho","Todas","Pará"
"6","São Francisco do Pará",8,"2019","Julho","Todas","Pará"
"7","São Félix do Xingu",13,"2019","Julho","Todas","Pará"
"8","São Geraldo do Araguaia",12,"2019","Julho","Todas","Pará"
"9","São João do Araguaia",1,"2019","Julho","Todas","Pará"
"10","Tailandia",23,"2019","Julho","Todas","Pará"
"11","Terra Alta",4,"2019","Julho","Todas","Pará"
"12","Tracuateua",12,"2019","Julho","Todas","Pará"
"13","Tucumã",16,"2019","Julho","Todas","Pará"
"14","Tucurui",35,"2019","Julho","Todas","Pará"
"15","Ulianópolis",11,"2019","Julho","Todas","Pará"
"16","Uruará",17,"2019","Julho","Todas","Pará"
"17","Vigia",13,"2019","Julho","Todas","Pará"
"18","Viseu",7,"2019","Julho","Todas","Pará"
"19","Vitória do Xingu",5,"2019","Julho","Todas","Pará"
"20","Xinguara",17,"2019","Julho","Todas","Pará"
"21","Novo Repartimento",14,"2019","Julho","Todas","Pará"
"22","Ourilândia do Norte",9,"2019","Julho","Todas","Pará"
"23","Pacajá",10,"2019","Julho","Todas","Pará"
"24","Palestina do Pará",1,"2019","Julho","Todas","Pará"
"25","Paragominas",42,"2019","Julho","Todas","Pará"
"26","Parauapebas",69,"2019","Julho","Todas","Pará"
"27","Placas",3,"2019","Julho","Todas","Pará"
"28","Ponta de Pedras",11,"2019","Julho","Todas","Pará"
"29","Portel",12,"2019","Julho","Todas","Pará"
"30","Prainha",1,"2019","Julho","Todas","Pará"
"31","Primavera",2,"2019","Julho","Todas","Pará"
"32","Redenção",62,"2019","Julho","Todas","Pará"
"33","Rio Maria",11,"2019","Julho","Todas","Pará"
"34","Rondon do Pará",24,"2019","Julho","Todas","Pará"
"35","Rurópolis",11,"2019","Julho","Todas","Pará"
"36","Salinópolis",14,"2019","Julho","Todas","Pará"
"37","Santa Bárbara do Pará",17,"2019","Julho","Todas","Pará"
"38","Santa Luzia do Pará",5,"2019","Julho","Todas","Pará"
"39","Santa Maria das Barreiras",1,"2019","Julho","Todas","Pará"
"40","Santana do Araguaia",12,"2019","Julho","Todas","Pará"
"41","Curionópolis",5,"2019","Julho","Todas","Pará"
"42","Curralinho",10,"2019","Julho","Todas","Pará"
"43","Dom Eliseu",10,"2019","Julho","Todas","Pará"
"44","Eldorado dos Carajás",13,"2019","Julho","Todas","Pará"
"45","Floresta do Araguaia",7,"2019","Julho","Todas","Pará"
"46","Igarapé-Açu",2,"2019","Julho","Todas","Pará"
"47","Igarapé-Miri",3,"2019","Julho","Todas","Pará"
"48","Ipixuna do Para",14,"2019","Julho","Todas","Pará"
"49","Itaituba",47,"2019","Julho","Todas","Pará"
"50","Jacundá",17,"2019","Julho","Todas","Pará"
"51","Limoeiro do Ajuru",3,"2019","Julho","Todas","Pará"
"52","Maraba",151,"2019","Julho","Todas","Pará"
"53","Maracanã",6,"2019","Julho","Todas","Pará"
"54","Marapanim",13,"2019","Julho","Todas","Pará"
"55","Marituba",11,"2019","Julho","Todas","Pará"
"56","Melgaço",3,"2019","Julho","Todas","Pará"
"57","Monte Alegre",28,"2019","Julho","Todas","Pará"
"58","Mãe do Rio",24,"2019","Julho","Todas","Pará"
"59","Nova Esperança do Piriá",7,"2019","Julho","Todas","Pará"
"60","Novo Progresso",13,"2019","Julho","Todas","Pará"
"61","Abaetetuba",37,"2019","Julho","Todas","Pará"
"62","Almeirim",19,"2019","Julho","Todas","Pará"
"63","Altamira",54,"2019","Julho","Todas","Pará"
"64","Ananindeua",50,"2019","Julho","Todas","Pará"
"65","Anapu",12,"2019","Julho","Todas","Pará"
"66","Aurora do Pará",6,"2019","Julho","Todas","Pará"
"67","Bagre",3,"2019","Julho","Todas","Pará"
"68","Barcarena",27,"2019","Julho","Todas","Pará"
"69","Belém",791,"2019","Julho","Todas","Pará"
"70","Benevides",12,"2019","Julho","Todas","Pará"
"71","Bonito",4,"2019","Julho","Todas","Pará"
"72","Bragança",6,"2019","Julho","Todas","Pará"
"73","Brejo Grande do Araguaia",1,"2019","Julho","Todas","Pará"
"74","Breu Branco",18,"2019","Julho","Todas","Pará"
"75","Breves",30,"2019","Julho","Todas","Pará"
"76","Cachoeira do Piriá",6,"2019","Julho","Todas","Pará"
"77","Cametá",26,"2019","Julho","Todas","Pará"
"78","Canaã dos Carajás",10,"2019","Julho","Todas","Pará"
"79","Capitão Poço",18,"2019","Julho","Todas","Pará"
"80","Conceição do Araguaia",17,"2019","Julho","Todas","Pará"
