"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Theobroma",5,"2019","Julho","Todas","Rondônia"
"2","Urupá",8,"2019","Julho","Todas","Rondônia"
"3","Vale do Anari",4,"2019","Julho","Todas","Rondônia"
"4","Vale do Paraíso",4,"2019","Julho","Todas","Rondônia"
"5","Vilhena",36,"2019","Julho","Todas","Rondônia"
"6","Machadinho D'oeste",11,"2019","Julho","Todas","Rondônia"
"7","Mirante da Serra",5,"2019","Julho","Todas","Rondônia"
"8","Nova Brasilândia D'oeste",8,"2019","Julho","Todas","Rondônia"
"9","Nova Mamoré",9,"2019","Julho","Todas","Rondônia"
"10","Nova União",3,"2019","Julho","Todas","Rondônia"
"11","Novo Horizonte do Oeste",6,"2019","Julho","Todas","Rondônia"
"12","Ouro Preto do Oeste",40,"2019","Julho","Todas","Rondônia"
"13","Parecis",4,"2019","Julho","Todas","Rondônia"
"14","Pimenta Bueno",21,"2019","Julho","Todas","Rondônia"
"15","Pimenteiras do Oeste",1,"2019","Julho","Todas","Rondônia"
"16","Porto Velho",224,"2019","Julho","Todas","Rondônia"
"17","Presidente Médici",13,"2019","Julho","Todas","Rondônia"
"18","Primavera de Rondônia",3,"2019","Julho","Todas","Rondônia"
"19","Rolim de Moura",1,"2019","Julho","Todas","Rondônia"
"20","Santa Luzia D'oeste",4,"2019","Julho","Todas","Rondônia"
"21","Seringueiras",5,"2019","Julho","Todas","Rondônia"
"22","São Felipe D'oeste",3,"2019","Julho","Todas","Rondônia"
"23","São Francisco do Guaporé",9,"2019","Julho","Todas","Rondônia"
"24","São Miguel do Guaporé",7,"2019","Julho","Todas","Rondônia"
"25","Teixeirópolis",1,"2019","Julho","Todas","Rondônia"
"26","Alta Floresta D'oeste",14,"2019","Julho","Todas","Rondônia"
"27","Alto Alegre dos Parecis",6,"2019","Julho","Todas","Rondônia"
"28","Alvorada D'oeste",7,"2019","Julho","Todas","Rondônia"
"29","Ariquemes",49,"2019","Julho","Todas","Rondônia"
"30","Buritis",12,"2019","Julho","Todas","Rondônia"
"31","Cabixi",3,"2019","Julho","Todas","Rondônia"
"32","Cacaulândia",1,"2019","Julho","Todas","Rondônia"
"33","Cacoal",48,"2019","Julho","Todas","Rondônia"
"34","Campo Novo de Rondônia",1,"2019","Julho","Todas","Rondônia"
"35","Candeias do Jamari",6,"2019","Julho","Todas","Rondônia"
"36","Cerejeiras",10,"2019","Julho","Todas","Rondônia"
"37","Chupinguaia",1,"2019","Julho","Todas","Rondônia"
"38","Colorado do Oeste",10,"2019","Julho","Todas","Rondônia"
"39","Corumbiara",7,"2019","Julho","Todas","Rondônia"
"40","Espigão do Oeste",17,"2019","Julho","Todas","Rondônia"
"41","Governador Jorge Teixeira",2,"2019","Julho","Todas","Rondônia"
"42","Guajara-Mirim",11,"2019","Julho","Todas","Rondônia"
"43","Itapuã do Oeste",4,"2019","Julho","Todas","Rondônia"
"44","Jaru",22,"2019","Julho","Todas","Rondônia"
"45","Ji-Paraná",60,"2019","Julho","Todas","Rondônia"
