"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Sonora",3,"2019","Junho","Todas","Mato Grosso do Sul"
"2","São Gabriel do Oeste",6,"2019","Junho","Todas","Mato Grosso do Sul"
"3","Taquarussu",3,"2019","Junho","Todas","Mato Grosso do Sul"
"4","Terenos",3,"2019","Junho","Todas","Mato Grosso do Sul"
"5","Três Lagoas",58,"2019","Junho","Todas","Mato Grosso do Sul"
"6","Vicentina",6,"2019","Junho","Todas","Mato Grosso do Sul"
"7","Água Clara",5,"2019","Junho","Todas","Mato Grosso do Sul"
"8","Juti",2,"2019","Junho","Todas","Mato Grosso do Sul"
"9","Ladario",4,"2019","Junho","Todas","Mato Grosso do Sul"
"10","Laguna Carapã",4,"2019","Junho","Todas","Mato Grosso do Sul"
"11","Miranda",10,"2019","Junho","Todas","Mato Grosso do Sul"
"12","Mundo Novo",15,"2019","Junho","Todas","Mato Grosso do Sul"
"13","Naviraí",27,"2019","Junho","Todas","Mato Grosso do Sul"
"14","Nioaque",12,"2019","Junho","Todas","Mato Grosso do Sul"
"15","Nova Alvorada do Sul",6,"2019","Junho","Todas","Mato Grosso do Sul"
"16","Novo Horizonte do Sul",6,"2019","Junho","Todas","Mato Grosso do Sul"
"17","Paranaiba",26,"2019","Junho","Todas","Mato Grosso do Sul"
"18","Pedro Gomes",7,"2019","Junho","Todas","Mato Grosso do Sul"
"19","Ponta Porã",64,"2019","Junho","Todas","Mato Grosso do Sul"
"20","Ribas do Rio Pardo",11,"2019","Junho","Todas","Mato Grosso do Sul"
"21","Rio Brilhante",23,"2019","Junho","Todas","Mato Grosso do Sul"
"22","Rio Negro",3,"2019","Junho","Todas","Mato Grosso do Sul"
"23","Rio Verde de Mato Grosso",13,"2019","Junho","Todas","Mato Grosso do Sul"
"24","Santa Rita do Pardo",1,"2019","Junho","Todas","Mato Grosso do Sul"
"25","Selvíria",4,"2019","Junho","Todas","Mato Grosso do Sul"
"26","Sete Quedas",6,"2019","Junho","Todas","Mato Grosso do Sul"
"27","Sidrolândia",28,"2019","Junho","Todas","Mato Grosso do Sul"
"28","Corguinho",1,"2019","Junho","Todas","Mato Grosso do Sul"
"29","Coronel Sapucaia",5,"2019","Junho","Todas","Mato Grosso do Sul"
"30","Corumba",62,"2019","Junho","Todas","Mato Grosso do Sul"
"31","Costa Rica",16,"2019","Junho","Todas","Mato Grosso do Sul"
"32","Coxim",22,"2019","Junho","Todas","Mato Grosso do Sul"
"33","Deodápolis",12,"2019","Junho","Todas","Mato Grosso do Sul"
"34","Dois Irmãos do Buriti",3,"2019","Junho","Todas","Mato Grosso do Sul"
"35","Douradina",2,"2019","Junho","Todas","Mato Grosso do Sul"
"36","Dourados",137,"2019","Junho","Todas","Mato Grosso do Sul"
"37","Eldorado",5,"2019","Junho","Todas","Mato Grosso do Sul"
"38","Fátima do Sul",18,"2019","Junho","Todas","Mato Grosso do Sul"
"39","Glória de Dourados",8,"2019","Junho","Todas","Mato Grosso do Sul"
"40","Guia Lopes da Laguna",3,"2019","Junho","Todas","Mato Grosso do Sul"
"41","Iguatemi",9,"2019","Junho","Todas","Mato Grosso do Sul"
"42","Itaporã",8,"2019","Junho","Todas","Mato Grosso do Sul"
"43","Itaquiraí",16,"2019","Junho","Todas","Mato Grosso do Sul"
"44","Ivinhema",17,"2019","Junho","Todas","Mato Grosso do Sul"
"45","Japorã",3,"2019","Junho","Todas","Mato Grosso do Sul"
"46","Jardim",18,"2019","Junho","Todas","Mato Grosso do Sul"
"47","Jateí",3,"2019","Junho","Todas","Mato Grosso do Sul"
"48","Amambaí",23,"2019","Junho","Todas","Mato Grosso do Sul"
"49","Anastácio",12,"2019","Junho","Todas","Mato Grosso do Sul"
"50","Anaurilândia",1,"2019","Junho","Todas","Mato Grosso do Sul"
"51","Angélica",7,"2019","Junho","Todas","Mato Grosso do Sul"
"52","Antônio João",8,"2019","Junho","Todas","Mato Grosso do Sul"
"53","Aparecida do Taboado",13,"2019","Junho","Todas","Mato Grosso do Sul"
"54","Aquidauana",31,"2019","Junho","Todas","Mato Grosso do Sul"
"55","Aral Moreira",7,"2019","Junho","Todas","Mato Grosso do Sul"
"56","Bataguassu",10,"2019","Junho","Todas","Mato Grosso do Sul"
"57","Batayporã",5,"2019","Junho","Todas","Mato Grosso do Sul"
"58","Bela Vista",13,"2019","Junho","Todas","Mato Grosso do Sul"
"59","Bodoquena",4,"2019","Junho","Todas","Mato Grosso do Sul"
"60","Bonito",11,"2019","Junho","Todas","Mato Grosso do Sul"
"61","Brasilândia",7,"2019","Junho","Todas","Mato Grosso do Sul"
"62","Caarapo",12,"2019","Junho","Todas","Mato Grosso do Sul"
"63","Camapuã",12,"2019","Junho","Todas","Mato Grosso do Sul"
"64","Campo Grande",498,"2019","Junho","Todas","Mato Grosso do Sul"
"65","Caracol",2,"2019","Junho","Todas","Mato Grosso do Sul"
"66","Cassilândia",19,"2019","Junho","Todas","Mato Grosso do Sul"
"67","Chapadão do Sul",10,"2019","Junho","Todas","Mato Grosso do Sul"
