"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Simão Dias",19,"2019","Junho","Todas","Sergipe"
"2","Siriri",3,"2019","Junho","Todas","Sergipe"
"3","São Cristóvão",30,"2019","Junho","Todas","Sergipe"
"4","São Domingos",3,"2019","Junho","Todas","Sergipe"
"5","São Miguel do Aleixo",1,"2019","Junho","Todas","Sergipe"
"6","Tobias Barreto",23,"2019","Junho","Todas","Sergipe"
"7","Umbaúba",11,"2019","Junho","Todas","Sergipe"
"8","Nossa Senhora de Lourdes",2,"2019","Junho","Todas","Sergipe"
"9","Nossa Senhora do Socorro",41,"2019","Junho","Todas","Sergipe"
"10","Pacatuba",6,"2019","Junho","Todas","Sergipe"
"11","Pedra Mole",2,"2019","Junho","Todas","Sergipe"
"12","Pedrinhas",4,"2019","Junho","Todas","Sergipe"
"13","Pinhão",5,"2019","Junho","Todas","Sergipe"
"14","Pirambu",3,"2019","Junho","Todas","Sergipe"
"15","Porto da Folha",13,"2019","Junho","Todas","Sergipe"
"16","Poço Redondo",10,"2019","Junho","Todas","Sergipe"
"17","Poço Verde",8,"2019","Junho","Todas","Sergipe"
"18","Propriá",15,"2019","Junho","Todas","Sergipe"
"19","Riachuelo",1,"2019","Junho","Todas","Sergipe"
"20","Riachão do Dantas",6,"2019","Junho","Todas","Sergipe"
"21","Ribeirópolis",4,"2019","Junho","Todas","Sergipe"
"22","Rosario do Catete",3,"2019","Junho","Todas","Sergipe"
"23","Salgado",12,"2019","Junho","Todas","Sergipe"
"24","Santa Luzia do Itanhy",4,"2019","Junho","Todas","Sergipe"
"25","Santa Rosa de Lima",1,"2019","Junho","Todas","Sergipe"
"26","Santana do São Francisco",2,"2019","Junho","Todas","Sergipe"
"27","Santo Amaro das Brotas",4,"2019","Junho","Todas","Sergipe"
"28","Ilha das Flores",4,"2019","Junho","Todas","Sergipe"
"29","Indiaroba",3,"2019","Junho","Todas","Sergipe"
"30","Itabaiana",68,"2019","Junho","Todas","Sergipe"
"31","Itabaianinha",12,"2019","Junho","Todas","Sergipe"
"32","Itaporanga D'ajuda",26,"2019","Junho","Todas","Sergipe"
"33","Japaratuba",3,"2019","Junho","Todas","Sergipe"
"34","Japoatã",6,"2019","Junho","Todas","Sergipe"
"35","Lagarto",41,"2019","Junho","Todas","Sergipe"
"36","Laranjeiras",6,"2019","Junho","Todas","Sergipe"
"37","Macambira",2,"2019","Junho","Todas","Sergipe"
"38","Malhada dos Bois",2,"2019","Junho","Todas","Sergipe"
"39","Malhador",6,"2019","Junho","Todas","Sergipe"
"40","Maruim",10,"2019","Junho","Todas","Sergipe"
"41","Moita Bonita",4,"2019","Junho","Todas","Sergipe"
"42","Monte Alegre de Sergipe",9,"2019","Junho","Todas","Sergipe"
"43","Muribeca",4,"2019","Junho","Todas","Sergipe"
"44","Neópolis",11,"2019","Junho","Todas","Sergipe"
"45","Nossa Senhora Aparecida",5,"2019","Junho","Todas","Sergipe"
"46","Nossa Senhora da Glória",19,"2019","Junho","Todas","Sergipe"
"47","Nossa Senhora das Dores",9,"2019","Junho","Todas","Sergipe"
"48","Aquidabã",6,"2019","Junho","Todas","Sergipe"
"49","Aracaju",368,"2019","Junho","Todas","Sergipe"
"50","Arauá",4,"2019","Junho","Todas","Sergipe"
"51","Areia Branca",7,"2019","Junho","Todas","Sergipe"
"52","Barra dos Coqueiros",15,"2019","Junho","Todas","Sergipe"
"53","Boquim",7,"2019","Junho","Todas","Sergipe"
"54","Brejo Grande",8,"2019","Junho","Todas","Sergipe"
"55","Campo do Brito",12,"2019","Junho","Todas","Sergipe"
"56","Canhoba",2,"2019","Junho","Todas","Sergipe"
"57","Canindé de São Francisco",12,"2019","Junho","Todas","Sergipe"
"58","Capela",12,"2019","Junho","Todas","Sergipe"
"59","Carira",11,"2019","Junho","Todas","Sergipe"
"60","Carmopolis",4,"2019","Junho","Todas","Sergipe"
"61","Cedro de São João",10,"2019","Junho","Todas","Sergipe"
"62","Cumbe",2,"2019","Junho","Todas","Sergipe"
"63","Divina Pastora",3,"2019","Junho","Todas","Sergipe"
"64","Estância",49,"2019","Junho","Todas","Sergipe"
"65","Feira Nova",2,"2019","Junho","Todas","Sergipe"
"66","Gararu",1,"2019","Junho","Todas","Sergipe"
"67","Graccho Cardoso",1,"2019","Junho","Todas","Sergipe"
