"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Ubajara",22,"2019","Maio","Todas","Ceará"
"2","Umirim",9,"2019","Maio","Todas","Ceará"
"3","Uruoca",4,"2019","Maio","Todas","Ceará"
"4","Varjota",19,"2019","Maio","Todas","Ceará"
"5","Viçosa do Ceará",19,"2019","Maio","Todas","Ceará"
"6","Várzea Alegre",30,"2019","Maio","Todas","Ceará"
"7","Reriutaba",8,"2019","Maio","Todas","Ceará"
"8","Russas",53,"2019","Maio","Todas","Ceará"
"9","Salitre",9,"2019","Maio","Todas","Ceará"
"10","Santa Quitéria",17,"2019","Maio","Todas","Ceará"
"11","Santana do Acaraú",7,"2019","Maio","Todas","Ceará"
"12","Santana do Cariri",14,"2019","Maio","Todas","Ceará"
"13","Senador Pompeu",21,"2019","Maio","Todas","Ceará"
"14","Senador Sá",2,"2019","Maio","Todas","Ceará"
"15","Sobral",30,"2019","Maio","Todas","Ceará"
"16","Solonópole",1,"2019","Maio","Todas","Ceará"
"17","São Benedito",27,"2019","Maio","Todas","Ceará"
"18","São Gonçalo do Amarante",5,"2019","Maio","Todas","Ceará"
"19","São João do Jaguaribe",4,"2019","Maio","Todas","Ceará"
"20","Tabuleiro do Norte",10,"2019","Maio","Todas","Ceará"
"21","Tarrafas",6,"2019","Maio","Todas","Ceará"
"22","Tauá",38,"2019","Maio","Todas","Ceará"
"23","Tejuçuoca",6,"2019","Maio","Todas","Ceará"
"24","Tianguá",25,"2019","Maio","Todas","Ceará"
"25","Trairi",21,"2019","Maio","Todas","Ceará"
"26","Tururu",12,"2019","Maio","Todas","Ceará"
"27","Ocara",8,"2019","Maio","Todas","Ceará"
"28","Orós",11,"2019","Maio","Todas","Ceará"
"29","Pacatuba",29,"2019","Maio","Todas","Ceará"
"30","Pacoti",6,"2019","Maio","Todas","Ceará"
"31","Palhano",2,"2019","Maio","Todas","Ceará"
"32","Palmácia",1,"2019","Maio","Todas","Ceará"
"33","Paracuru",25,"2019","Maio","Todas","Ceará"
"34","Paraipaba",16,"2019","Maio","Todas","Ceará"
"35","Parambu",17,"2019","Maio","Todas","Ceará"
"36","Paramoti",2,"2019","Maio","Todas","Ceará"
"37","Pedra Branca",10,"2019","Maio","Todas","Ceará"
"38","Penaforte",4,"2019","Maio","Todas","Ceará"
"39","Pentecoste",3,"2019","Maio","Todas","Ceará"
"40","Pereiro",7,"2019","Maio","Todas","Ceará"
"41","Piquet Carneiro",16,"2019","Maio","Todas","Ceará"
"42","Porteiras",8,"2019","Maio","Todas","Ceará"
"43","Potiretama",1,"2019","Maio","Todas","Ceará"
"44","Quixadá",33,"2019","Maio","Todas","Ceará"
"45","Quixeramobim",44,"2019","Maio","Todas","Ceará"
"46","Quixere",15,"2019","Maio","Todas","Ceará"
"47","Itarema",15,"2019","Maio","Todas","Ceará"
"48","Jaguaretama",15,"2019","Maio","Todas","Ceará"
"49","Jaguaribe",13,"2019","Maio","Todas","Ceará"
"50","Jaguaruana",21,"2019","Maio","Todas","Ceará"
"51","Jati",3,"2019","Maio","Todas","Ceará"
"52","Lavras da Mangabeira",21,"2019","Maio","Todas","Ceará"
"53","Limoeiro do Norte",44,"2019","Maio","Todas","Ceará"
"54","Madalena",15,"2019","Maio","Todas","Ceará"
"55","Maracanau",90,"2019","Maio","Todas","Ceará"
"56","Maranguape",38,"2019","Maio","Todas","Ceará"
"57","Marco",14,"2019","Maio","Todas","Ceará"
"58","Martinópole",4,"2019","Maio","Todas","Ceará"
