"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Selvíria",1,"2019","Maio","Todas","Mato Grosso do Sul"
"2","Sete Quedas",7,"2019","Maio","Todas","Mato Grosso do Sul"
"3","Sidrolândia",21,"2019","Maio","Todas","Mato Grosso do Sul"
"4","Sonora",4,"2019","Maio","Todas","Mato Grosso do Sul"
"5","São Gabriel do Oeste",13,"2019","Maio","Todas","Mato Grosso do Sul"
"6","Taquarussu",3,"2019","Maio","Todas","Mato Grosso do Sul"
"7","Terenos",10,"2019","Maio","Todas","Mato Grosso do Sul"
"8","Três Lagoas",70,"2019","Maio","Todas","Mato Grosso do Sul"
"9","Vicentina",2,"2019","Maio","Todas","Mato Grosso do Sul"
"10","Água Clara",6,"2019","Maio","Todas","Mato Grosso do Sul"
"11","Jardim",11,"2019","Maio","Todas","Mato Grosso do Sul"
"12","Juti",4,"2019","Maio","Todas","Mato Grosso do Sul"
"13","Ladario",5,"2019","Maio","Todas","Mato Grosso do Sul"
"14","Laguna Carapã",7,"2019","Maio","Todas","Mato Grosso do Sul"
"15","Miranda",17,"2019","Maio","Todas","Mato Grosso do Sul"
"16","Mundo Novo",9,"2019","Maio","Todas","Mato Grosso do Sul"
"17","Naviraí",30,"2019","Maio","Todas","Mato Grosso do Sul"
"18","Nioaque",5,"2019","Maio","Todas","Mato Grosso do Sul"
"19","Nova Alvorada do Sul",3,"2019","Maio","Todas","Mato Grosso do Sul"
"20","Novo Horizonte do Sul",4,"2019","Maio","Todas","Mato Grosso do Sul"
"21","Paranaiba",26,"2019","Maio","Todas","Mato Grosso do Sul"
"22","Paraíso das Águas",1,"2019","Maio","Todas","Mato Grosso do Sul"
"23","Pedro Gomes",4,"2019","Maio","Todas","Mato Grosso do Sul"
"24","Ponta Porã",53,"2019","Maio","Todas","Mato Grosso do Sul"
"25","Ribas do Rio Pardo",8,"2019","Maio","Todas","Mato Grosso do Sul"
"26","Rio Brilhante",16,"2019","Maio","Todas","Mato Grosso do Sul"
"27","Rio Negro",6,"2019","Maio","Todas","Mato Grosso do Sul"
"28","Rio Verde de Mato Grosso",8,"2019","Maio","Todas","Mato Grosso do Sul"
"29","Rochedo",2,"2019","Maio","Todas","Mato Grosso do Sul"
"30","Santa Rita do Pardo",2,"2019","Maio","Todas","Mato Grosso do Sul"
"31","Chapadão do Sul",5,"2019","Maio","Todas","Mato Grosso do Sul"
"32","Corguinho",2,"2019","Maio","Todas","Mato Grosso do Sul"
"33","Coronel Sapucaia",6,"2019","Maio","Todas","Mato Grosso do Sul"
"34","Corumba",58,"2019","Maio","Todas","Mato Grosso do Sul"
"35","Costa Rica",14,"2019","Maio","Todas","Mato Grosso do Sul"
"36","Coxim",12,"2019","Maio","Todas","Mato Grosso do Sul"
"37","Deodápolis",12,"2019","Maio","Todas","Mato Grosso do Sul"
"38","Dois Irmãos do Buriti",5,"2019","Maio","Todas","Mato Grosso do Sul"
"39","Douradina",2,"2019","Maio","Todas","Mato Grosso do Sul"
"40","Dourados",118,"2019","Maio","Todas","Mato Grosso do Sul"
"41","Eldorado",6,"2019","Maio","Todas","Mato Grosso do Sul"
"42","Figueirão",1,"2019","Maio","Todas","Mato Grosso do Sul"
"43","Fátima do Sul",12,"2019","Maio","Todas","Mato Grosso do Sul"
"44","Glória de Dourados",10,"2019","Maio","Todas","Mato Grosso do Sul"
"45","Guia Lopes da Laguna",7,"2019","Maio","Todas","Mato Grosso do Sul"
"46","Iguatemi",10,"2019","Maio","Todas","Mato Grosso do Sul"
"47","Itaporã",7,"2019","Maio","Todas","Mato Grosso do Sul"
"48","Itaquiraí",15,"2019","Maio","Todas","Mato Grosso do Sul"
"49","Ivinhema",19,"2019","Maio","Todas","Mato Grosso do Sul"
"50","Japorã",4,"2019","Maio","Todas","Mato Grosso do Sul"
"51","Alcinópolis",5,"2019","Maio","Todas","Mato Grosso do Sul"
"52","Amambaí",21,"2019","Maio","Todas","Mato Grosso do Sul"
"53","Anastácio",18,"2019","Maio","Todas","Mato Grosso do Sul"
"54","Anaurilândia",2,"2019","Maio","Todas","Mato Grosso do Sul"
"55","Angélica",8,"2019","Maio","Todas","Mato Grosso do Sul"
"56","Antônio João",9,"2019","Maio","Todas","Mato Grosso do Sul"
"57","Aparecida do Taboado",15,"2019","Maio","Todas","Mato Grosso do Sul"
"58","Aquidauana",37,"2019","Maio","Todas","Mato Grosso do Sul"
"59","Aral Moreira",2,"2019","Maio","Todas","Mato Grosso do Sul"
"60","Bataguassu",10,"2019","Maio","Todas","Mato Grosso do Sul"
"61","Batayporã",6,"2019","Maio","Todas","Mato Grosso do Sul"
"62","Bela Vista",12,"2019","Maio","Todas","Mato Grosso do Sul"
"63","Bodoquena",9,"2019","Maio","Todas","Mato Grosso do Sul"
"64","Bonito",9,"2019","Maio","Todas","Mato Grosso do Sul"
"65","Brasilândia",8,"2019","Maio","Todas","Mato Grosso do Sul"
"66","Caarapo",12,"2019","Maio","Todas","Mato Grosso do Sul"
"67","Camapuã",7,"2019","Maio","Todas","Mato Grosso do Sul"
"68","Campo Grande",507,"2019","Maio","Todas","Mato Grosso do Sul"
"69","Caracol",1,"2019","Maio","Todas","Mato Grosso do Sul"
"70","Cassilândia",11,"2019","Maio","Todas","Mato Grosso do Sul"
