"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Santa Cruz do Piauí",5,"2019","Maio","Todas","Piauí"
"2","Santa Luz",2,"2019","Maio","Todas","Piauí"
"3","Santo Antônio de Lisboa",1,"2019","Maio","Todas","Piauí"
"4","Simplício Mendes",3,"2019","Maio","Todas","Piauí"
"5","Simões",13,"2019","Maio","Todas","Piauí"
"6","Socorro do Piauí",5,"2019","Maio","Todas","Piauí"
"7","São Francisco do Piauí",5,"2019","Maio","Todas","Piauí"
"8","São Félix do Piauí",4,"2019","Maio","Todas","Piauí"
"9","São Gonçalo do Piauí",6,"2019","Maio","Todas","Piauí"
"10","São José do Piauí",3,"2019","Maio","Todas","Piauí"
"11","São João do Piauí",31,"2019","Maio","Todas","Piauí"
"12","São Julião",11,"2019","Maio","Todas","Piauí"
"13","São Raimundo Nonato",24,"2019","Maio","Todas","Piauí"
"14","Teresina",505,"2019","Maio","Todas","Piauí"
"15","União",22,"2019","Maio","Todas","Piauí"
"16","Uruçuí",6,"2019","Maio","Todas","Piauí"
"17","Valença do Piauí",15,"2019","Maio","Todas","Piauí"
"18","Várzea Grande",4,"2019","Maio","Todas","Piauí"
"19","Marcos Parente",3,"2019","Maio","Todas","Piauí"
"20","Matias Olímpio",6,"2019","Maio","Todas","Piauí"
"21","Miguel Alves",16,"2019","Maio","Todas","Piauí"
"22","Miguel Leão",1,"2019","Maio","Todas","Piauí"
"23","Monsenhor Gil",9,"2019","Maio","Todas","Piauí"
"24","Monsenhor Hipólito",5,"2019","Maio","Todas","Piauí"
"25","Nazaré do Piauí",5,"2019","Maio","Todas","Piauí"
"26","Nossa Senhora dos Remédios",2,"2019","Maio","Todas","Piauí"
"27","Novo Oriente do Piauí",1,"2019","Maio","Todas","Piauí"
"28","Oeiras",37,"2019","Maio","Todas","Piauí"
"29","Palmeirais",8,"2019","Maio","Todas","Piauí"
"30","Parnaíba",92,"2019","Maio","Todas","Piauí"
"31","Paulistana",31,"2019","Maio","Todas","Piauí"
"32","Picos",36,"2019","Maio","Todas","Piauí"
"33","Pimenteiras",3,"2019","Maio","Todas","Piauí"
"34","Piracuruca",23,"2019","Maio","Todas","Piauí"
"35","Piripiri",42,"2019","Maio","Todas","Piauí"
"36","Porto",11,"2019","Maio","Todas","Piauí"
"37","Regeneração",11,"2019","Maio","Todas","Piauí"
"38","Rio Grande do Piauí",3,"2019","Maio","Todas","Piauí"
"39","Demerval Lobão",14,"2019","Maio","Todas","Piauí"
"40","Elesbão Veloso",16,"2019","Maio","Todas","Piauí"
"41","Eliseu Martins",3,"2019","Maio","Todas","Piauí"
"42","Flores do Piauí",3,"2019","Maio","Todas","Piauí"
"43","Floriano",49,"2019","Maio","Todas","Piauí"
"44","Francinópolis",2,"2019","Maio","Todas","Piauí"
"45","Francisco Ayres",1,"2019","Maio","Todas","Piauí"
"46","Fronteiras",7,"2019","Maio","Todas","Piauí"
"47","Gilbués",3,"2019","Maio","Todas","Piauí"
"48","Guadalupe",8,"2019","Maio","Todas","Piauí"
"49","Inhuma",11,"2019","Maio","Todas","Piauí"
"50","Itainópolis",13,"2019","Maio","Todas","Piauí"
"51","Jaicós",24,"2019","Maio","Todas","Piauí"
"52","Jerumenha",7,"2019","Maio","Todas","Piauí"
"53","Joaquim Pires",13,"2019","Maio","Todas","Piauí"
"54","José de Freitas",18,"2019","Maio","Todas","Piauí"
"55","Landri Sales",1,"2019","Maio","Todas","Piauí"
"56","Luzilândia",19,"2019","Maio","Todas","Piauí"
"57","Manoel Emídio",13,"2019","Maio","Todas","Piauí"
"58","Marcolândia",8,"2019","Maio","Todas","Piauí"
"59","Agricolândia",6,"2019","Maio","Todas","Piauí"
"60","Alagoinha do Piauí",3,"2019","Maio","Todas","Piauí"
"61","Alto Longá",9,"2019","Maio","Todas","Piauí"
"62","Altos",25,"2019","Maio","Todas","Piauí"
"63","Amarante",14,"2019","Maio","Todas","Piauí"
"64","Angical do Piauí",7,"2019","Maio","Todas","Piauí"
"65","Antônio Almeida",2,"2019","Maio","Todas","Piauí"
"66","Anísio de Abreu",8,"2019","Maio","Todas","Piauí"
"67","Avelino Lopes",1,"2019","Maio","Todas","Piauí"
"68","Barras",20,"2019","Maio","Todas","Piauí"
"69","Bertolínia",1,"2019","Maio","Todas","Piauí"
"70","Bocaina",10,"2019","Maio","Todas","Piauí"
"71","Cabeceiras do Piauí",3,"2019","Maio","Todas","Piauí"
"72","Canto do Buriti",20,"2019","Maio","Todas","Piauí"
"73","Capitão de Campos",13,"2019","Maio","Todas","Piauí"
"74","Caracol",3,"2019","Maio","Todas","Piauí"
"75","Castelo do Piauí",14,"2019","Maio","Todas","Piauí"
"76","Cocal",27,"2019","Maio","Todas","Piauí"
"77","Conceição do Canindé",5,"2019","Maio","Todas","Piauí"
"78","Curimatá",10,"2019","Maio","Todas","Piauí"
