"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Apuí",5,"2019","Março","Todas","Amazonas"
"2","Autazes",11,"2019","Março","Todas","Amazonas"
"3","Boa Vista do Ramos",1,"2019","Março","Todas","Amazonas"
"4","Borba",6,"2019","Março","Todas","Amazonas"
"5","Carauari",15,"2019","Março","Todas","Amazonas"
"6","Ipixuna",4,"2019","Março","Todas","Amazonas"
"7","Itacoatiara",48,"2019","Março","Todas","Amazonas"
"8","Itapiranga",1,"2019","Março","Todas","Amazonas"
"9","Jutaí",4,"2019","Março","Todas","Amazonas"
"10","Lábrea",8,"2019","Março","Todas","Amazonas"
"11","Manacapuru",11,"2019","Março","Todas","Amazonas"
"12","Manaus",1056,"2019","Março","Todas","Amazonas"
"13","Novo Airão",5,"2019","Março","Todas","Amazonas"
"14","Parintins",36,"2019","Março","Todas","Amazonas"
"15","Silves",2,"2019","Março","Todas","Amazonas"
"16","São Paulo de Olivença",1,"2019","Março","Todas","Amazonas"
"17","Tabatinga",8,"2019","Março","Todas","Amazonas"
"18","Uarini",2,"2019","Março","Todas","Amazonas"
