"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São João do Carú",8,"2019","Março","Todas","Maranhão"
"2","São João do Paraíso",2,"2019","Março","Todas","Maranhão"
"3","São João do Soter",2,"2019","Março","Todas","Maranhão"
"4","São João dos Patos",23,"2019","Março","Todas","Maranhão"
"5","São Luís",529,"2019","Março","Todas","Maranhão"
"6","São Luís Gonzaga do Maranhão",6,"2019","Março","Todas","Maranhão"
"7","São Mateus do Maranhão",20,"2019","Março","Todas","Maranhão"
"8","São Pedro da Água Branca",4,"2019","Março","Todas","Maranhão"
"9","São Vicente Ferrer",3,"2019","Março","Todas","Maranhão"
"10","Sítio Novo",7,"2019","Março","Todas","Maranhão"
"11","Tasso Fragoso",2,"2019","Março","Todas","Maranhão"
"12","Trizidela do Vale",4,"2019","Março","Todas","Maranhão"
"13","Tufilândia",1,"2019","Março","Todas","Maranhão"
"14","Tuntum",10,"2019","Março","Todas","Maranhão"
"15","Turiaçu",5,"2019","Março","Todas","Maranhão"
"16","Vargem Grande",7,"2019","Março","Todas","Maranhão"
"17","Vila Nova dos Martírios",3,"2019","Março","Todas","Maranhão"
"18","Vitorino Freire",12,"2019","Março","Todas","Maranhão"
"19","Primeira Cruz",2,"2019","Março","Todas","Maranhão"
"20","Raposa",5,"2019","Março","Todas","Maranhão"
"21","Riachão",10,"2019","Março","Todas","Maranhão"
"22","Ribamar Fiquene",1,"2019","Março","Todas","Maranhão"
"23","Sambaíba",5,"2019","Março","Todas","Maranhão"
"24","Santa Helena",3,"2019","Março","Todas","Maranhão"
"25","Santa Inês",30,"2019","Março","Todas","Maranhão"
"26","Santa Luzia",16,"2019","Março","Todas","Maranhão"
"27","Santa Rita",7,"2019","Março","Todas","Maranhão"
"28","Santo Amaro do Maranhão",3,"2019","Março","Todas","Maranhão"
"29","Santo Antônio dos Lopes",1,"2019","Março","Todas","Maranhão"
"30","Satubinha",2,"2019","Março","Todas","Maranhão"
"31","Senador La Roque",5,"2019","Março","Todas","Maranhão"
"32","Sucupira do Norte",6,"2019","Março","Todas","Maranhão"
"33","São Domingos do Azeitão",3,"2019","Março","Todas","Maranhão"
"34","São Domingos do Maranhão",5,"2019","Março","Todas","Maranhão"
"35","São Francisco do Brejão",2,"2019","Março","Todas","Maranhão"
"36","São Francisco do Maranhão",1,"2019","Março","Todas","Maranhão"
"37","São Félix de Balsas",4,"2019","Março","Todas","Maranhão"
"38","São José de Ribamar",16,"2019","Março","Todas","Maranhão"
"39","Montes Altos",2,"2019","Março","Todas","Maranhão"
"40","Monção",9,"2019","Março","Todas","Maranhão"
"41","Morros",7,"2019","Março","Todas","Maranhão"
"42","Nova Colinas",2,"2019","Março","Todas","Maranhão"
"43","Nova Olinda do Maranhão",1,"2019","Março","Todas","Maranhão"
"44","Olinda Nova do Maranhão",1,"2019","Março","Todas","Maranhão"
"45","Palmeirândia",2,"2019","Março","Todas","Maranhão"
"46","Paraibano",8,"2019","Março","Todas","Maranhão"
"47","Parnarama",9,"2019","Março","Todas","Maranhão"
"48","Passagem Franca",7,"2019","Março","Todas","Maranhão"
"49","Paulo Ramos",3,"2019","Março","Todas","Maranhão"
"50","Paço do Lumiar",14,"2019","Março","Todas","Maranhão"
"51","Pedro do Rosário",4,"2019","Março","Todas","Maranhão"
"52","Peri Mirim",2,"2019","Março","Todas","Maranhão"
"53","Peritoró",15,"2019","Março","Todas","Maranhão"
"54","Pio Xii",10,"2019","Março","Todas","Maranhão"
"55","Porto Franco",14,"2019","Março","Todas","Maranhão"
"56","Poção de Pedras",4,"2019","Março","Todas","Maranhão"
"57","Presidente Dutra",20,"2019","Março","Todas","Maranhão"
"58","Presidente Juscelino",6,"2019","Março","Todas","Maranhão"
"59","Itaipava do Grajaú",2,"2019","Março","Todas","Maranhão"
"60","Itapecuru Mirim",21,"2019","Março","Todas","Maranhão"
"61","Itinga do Maranhão",4,"2019","Março","Todas","Maranhão"
"62","Jatobá",1,"2019","Março","Todas","Maranhão"
"63","Joselândia",2,"2019","Março","Todas","Maranhão"
"64","João Lisboa",12,"2019","Março","Todas","Maranhão"
"65","Lago Verde",7,"2019","Março","Todas","Maranhão"
"66","Lago da Pedra",14,"2019","Março","Todas","Maranhão"
"67","Lago dos Rodrigues",2,"2019","Março","Todas","Maranhão"
"68","Lagoa Grande do Maranhão",4,"2019","Março","Todas","Maranhão"
"69","Lagoa do Mato",3,"2019","Março","Todas","Maranhão"
"70","Lajeado Novo",3,"2019","Março","Todas","Maranhão"
"71","Lima Campos",4,"2019","Março","Todas","Maranhão"
"72","Maracaçumé",3,"2019","Março","Todas","Maranhão"
"73","Maranhãozinho",3,"2019","Março","Todas","Maranhão"
"74","Mata Roma",1,"2019","Março","Todas","Maranhão"
"75","Matões do Norte",1,"2019","Março","Todas","Maranhão"
"76","Mirador",3,"2019","Março","Todas","Maranhão"
"77","Miranda do Norte",8,"2019","Março","Todas","Maranhão"
"78","Mirinzal",2,"2019","Março","Todas","Maranhão"
"79","Dom Pedro",5,"2019","Março","Todas","Maranhão"
"80","Duque Bacelar",1,"2019","Março","Todas","Maranhão"
"81","Esperantinópolis",7,"2019","Março","Todas","Maranhão"
"82","Estreito",7,"2019","Março","Todas","Maranhão"
"83","Feira Nova do Maranhão",3,"2019","Março","Todas","Maranhão"
"84","Formosa da Serra Negra",5,"2019","Março","Todas","Maranhão"
"85","Fortaleza dos Nogueiras",4,"2019","Março","Todas","Maranhão"
"86","Fortuna",7,"2019","Março","Todas","Maranhão"
"87","Gonçalves Dias",8,"2019","Março","Todas","Maranhão"
"88","Governador Edson Lobão",4,"2019","Março","Todas","Maranhão"
"89","Governador Eugênio Barros",9,"2019","Março","Todas","Maranhão"
"90","Governador Luiz Rocha",2,"2019","Março","Todas","Maranhão"
"91","Governador Newton Bello",4,"2019","Março","Todas","Maranhão"
"92","Governador Nunes Freire",8,"2019","Março","Todas","Maranhão"
"93","Grajaú",17,"2019","Março","Todas","Maranhão"
"94","Humberto de Campos",7,"2019","Março","Todas","Maranhão"
"95","Icatu",6,"2019","Março","Todas","Maranhão"
"96","Igarapé Grande",6,"2019","Março","Todas","Maranhão"
"97","Igarapé do Meio",2,"2019","Março","Todas","Maranhão"
"98","Imperatriz",139,"2019","Março","Todas","Maranhão"
"99","Benedito Leite",3,"2019","Março","Todas","Maranhão"
"100","Bequimão",2,"2019","Março","Todas","Maranhão"
"101","Bom Jardim",12,"2019","Março","Todas","Maranhão"
"102","Bom Jesus das Selvas",4,"2019","Março","Todas","Maranhão"
"103","Bom Lugar",5,"2019","Março","Todas","Maranhão"
