"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vitorino Freire",10,"2019","Setembro","Todas","Maranhão"
"2","Vitória do Mearim",13,"2019","Setembro","Todas","Maranhão"
"3","São Félix de Balsas",2,"2019","Setembro","Todas","Maranhão"
"4","São José de Ribamar",54,"2019","Setembro","Todas","Maranhão"
"5","São João Batista",5,"2019","Setembro","Todas","Maranhão"
"6","São João do Carú",3,"2019","Setembro","Todas","Maranhão"
"7","São João do Paraíso",4,"2019","Setembro","Todas","Maranhão"
"8","São João do Soter",2,"2019","Setembro","Todas","Maranhão"
"9","São João dos Patos",12,"2019","Setembro","Todas","Maranhão"
"10","São Luís",184,"2019","Setembro","Todas","Maranhão"
"11","São Luís Gonzaga do Maranhão",12,"2019","Setembro","Todas","Maranhão"
"12","São Mateus do Maranhão",10,"2019","Setembro","Todas","Maranhão"
"13","São Pedro da Água Branca",6,"2019","Setembro","Todas","Maranhão"
"14","Sítio Novo",4,"2019","Setembro","Todas","Maranhão"
"15","Tasso Fragoso",6,"2019","Setembro","Todas","Maranhão"
"16","Trizidela do Vale",5,"2019","Setembro","Todas","Maranhão"
"17","Tufilândia",2,"2019","Setembro","Todas","Maranhão"
"18","Tuntum",9,"2019","Setembro","Todas","Maranhão"
"19","Turiaçu",5,"2019","Setembro","Todas","Maranhão"
"20","Vargem Grande",11,"2019","Setembro","Todas","Maranhão"
"21","Viana",14,"2019","Setembro","Todas","Maranhão"
"22","Vila Nova dos Martírios",4,"2019","Setembro","Todas","Maranhão"
"23","Pio Xii",6,"2019","Setembro","Todas","Maranhão"
"24","Porto Franco",16,"2019","Setembro","Todas","Maranhão"
"25","Presidente Dutra",22,"2019","Setembro","Todas","Maranhão"
"26","Raposa",3,"2019","Setembro","Todas","Maranhão"
"27","Riachão",9,"2019","Setembro","Todas","Maranhão"
"28","Ribamar Fiquene",1,"2019","Setembro","Todas","Maranhão"
"29","Sambaíba",3,"2019","Setembro","Todas","Maranhão"
"30","Santa Helena",6,"2019","Setembro","Todas","Maranhão"
"31","Santa Inês",44,"2019","Setembro","Todas","Maranhão"
"32","Santa Luzia",13,"2019","Setembro","Todas","Maranhão"
"33","Santa Luzia do Paruá",5,"2019","Setembro","Todas","Maranhão"
"34","Santa Rita",9,"2019","Setembro","Todas","Maranhão"
"35","Santo Amaro do Maranhão",2,"2019","Setembro","Todas","Maranhão"
"36","Santo Antônio dos Lopes",5,"2019","Setembro","Todas","Maranhão"
"37","Satubinha",2,"2019","Setembro","Todas","Maranhão"
"38","Senador La Roque",4,"2019","Setembro","Todas","Maranhão"
"39","Sucupira do Norte",6,"2019","Setembro","Todas","Maranhão"
"40","São Domingos do Azeitão",3,"2019","Setembro","Todas","Maranhão"
"41","São Domingos do Maranhão",12,"2019","Setembro","Todas","Maranhão"
"42","São Francisco do Brejão",3,"2019","Setembro","Todas","Maranhão"
"43","Mata Roma",8,"2019","Setembro","Todas","Maranhão"
