"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Terra Nova",4,"2019","Setembro","Todas","Pernambuco"
"2","Timbaúba",29,"2019","Setembro","Todas","Pernambuco"
"3","Toritama",12,"2019","Setembro","Todas","Pernambuco"
"4","Tracunhaém",10,"2019","Setembro","Todas","Pernambuco"
"5","Trindade",12,"2019","Setembro","Todas","Pernambuco"
"6","Triunfo",4,"2019","Setembro","Todas","Pernambuco"
"7","Tupanatinga",2,"2019","Setembro","Todas","Pernambuco"
"8","Tuparetama",6,"2019","Setembro","Todas","Pernambuco"
"9","Venturosa",9,"2019","Setembro","Todas","Pernambuco"
"10","Verdejante",3,"2019","Setembro","Todas","Pernambuco"
"11","Vertente do Lério",9,"2019","Setembro","Todas","Pernambuco"
"12","Vertentes",11,"2019","Setembro","Todas","Pernambuco"
"13","Vicência",17,"2019","Setembro","Todas","Pernambuco"
"14","Vitória de Santo Antão",86,"2019","Setembro","Todas","Pernambuco"
"15","Xexéu",5,"2019","Setembro","Todas","Pernambuco"
"16","Água Preta",13,"2019","Setembro","Todas","Pernambuco"
"17","Águas Belas",25,"2019","Setembro","Todas","Pernambuco"
"18","Serrita",7,"2019","Setembro","Todas","Pernambuco"
"19","Sertania",26,"2019","Setembro","Todas","Pernambuco"
"20","Sirinhaém",16,"2019","Setembro","Todas","Pernambuco"
"21","Surubim",36,"2019","Setembro","Todas","Pernambuco"
"22","São Benedito do Sul",6,"2019","Setembro","Todas","Pernambuco"
"23","São Bento do Una",30,"2019","Setembro","Todas","Pernambuco"
"24","São Caitano",18,"2019","Setembro","Todas","Pernambuco"
"25","São Joaquim do Monte",16,"2019","Setembro","Todas","Pernambuco"
"26","São José da Coroa Grande",14,"2019","Setembro","Todas","Pernambuco"
"27","São José do Belmonte",20,"2019","Setembro","Todas","Pernambuco"
"28","São José do Egito",22,"2019","Setembro","Todas","Pernambuco"
"29","São João",7,"2019","Setembro","Todas","Pernambuco"
"30","São Lourenço da Mata",69,"2019","Setembro","Todas","Pernambuco"
"31","São Vicente Ferrer",15,"2019","Setembro","Todas","Pernambuco"
"32","Tabira",20,"2019","Setembro","Todas","Pernambuco"
"33","Tacaimbó",4,"2019","Setembro","Todas","Pernambuco"
"34","Tacaratu",10,"2019","Setembro","Todas","Pernambuco"
"35","Tamandaré",10,"2019","Setembro","Todas","Pernambuco"
"36","Taquaritinga do Norte",15,"2019","Setembro","Todas","Pernambuco"
"37","Terezinha",4,"2019","Setembro","Todas","Pernambuco"
"38","Poção",7,"2019","Setembro","Todas","Pernambuco"
"39","Primavera",5,"2019","Setembro","Todas","Pernambuco"
"40","Quipapá",11,"2019","Setembro","Todas","Pernambuco"
"41","Quixaba",2,"2019","Setembro","Todas","Pernambuco"
