"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Selvíria",5,"2020","Abril","Todas","Mato Grosso do Sul"
"2","Sete Quedas",6,"2020","Abril","Todas","Mato Grosso do Sul"
"3","Sidrolândia",16,"2020","Abril","Todas","Mato Grosso do Sul"
"4","Sonora",6,"2020","Abril","Todas","Mato Grosso do Sul"
"5","São Gabriel do Oeste",6,"2020","Abril","Todas","Mato Grosso do Sul"
"6","Taquarussu",5,"2020","Abril","Todas","Mato Grosso do Sul"
"7","Terenos",3,"2020","Abril","Todas","Mato Grosso do Sul"
"8","Três Lagoas",72,"2020","Abril","Todas","Mato Grosso do Sul"
"9","Vicentina",4,"2020","Abril","Todas","Mato Grosso do Sul"
"10","Água Clara",6,"2020","Abril","Todas","Mato Grosso do Sul"
"11","Jateí",1,"2020","Abril","Todas","Mato Grosso do Sul"
"12","Juti",7,"2020","Abril","Todas","Mato Grosso do Sul"
"13","Ladario",8,"2020","Abril","Todas","Mato Grosso do Sul"
"14","Laguna Carapã",1,"2020","Abril","Todas","Mato Grosso do Sul"
"15","Miranda",7,"2020","Abril","Todas","Mato Grosso do Sul"
"16","Mundo Novo",13,"2020","Abril","Todas","Mato Grosso do Sul"
"17","Naviraí",27,"2020","Abril","Todas","Mato Grosso do Sul"
"18","Nioaque",5,"2020","Abril","Todas","Mato Grosso do Sul"
"19","Nova Alvorada do Sul",6,"2020","Abril","Todas","Mato Grosso do Sul"
"20","Nova Andradina",17,"2020","Abril","Todas","Mato Grosso do Sul"
"21","Novo Horizonte do Sul",1,"2020","Abril","Todas","Mato Grosso do Sul"
"22","Paranaiba",30,"2020","Abril","Todas","Mato Grosso do Sul"
"23","Pedro Gomes",6,"2020","Abril","Todas","Mato Grosso do Sul"
"24","Ponta Porã",38,"2020","Abril","Todas","Mato Grosso do Sul"
"25","Ribas do Rio Pardo",6,"2020","Abril","Todas","Mato Grosso do Sul"
"26","Rio Brilhante",11,"2020","Abril","Todas","Mato Grosso do Sul"
"27","Rio Negro",2,"2020","Abril","Todas","Mato Grosso do Sul"
"28","Rio Verde de Mato Grosso",10,"2020","Abril","Todas","Mato Grosso do Sul"
"29","Rochedo",3,"2020","Abril","Todas","Mato Grosso do Sul"
"30","Santa Rita do Pardo",3,"2020","Abril","Todas","Mato Grosso do Sul"
"31","Corguinho",1,"2020","Abril","Todas","Mato Grosso do Sul"
"32","Coronel Sapucaia",11,"2020","Abril","Todas","Mato Grosso do Sul"
"33","Costa Rica",10,"2020","Abril","Todas","Mato Grosso do Sul"
"34","Coxim",22,"2020","Abril","Todas","Mato Grosso do Sul"
"35","Deodápolis",8,"2020","Abril","Todas","Mato Grosso do Sul"
"36","Dois Irmãos do Buriti",6,"2020","Abril","Todas","Mato Grosso do Sul"
"37","Douradina",4,"2020","Abril","Todas","Mato Grosso do Sul"
"38","Dourados",116,"2020","Abril","Todas","Mato Grosso do Sul"
"39","Eldorado",3,"2020","Abril","Todas","Mato Grosso do Sul"
"40","Fátima do Sul",15,"2020","Abril","Todas","Mato Grosso do Sul"
"41","Glória de Dourados",7,"2020","Abril","Todas","Mato Grosso do Sul"
"42","Guia Lopes da Laguna",6,"2020","Abril","Todas","Mato Grosso do Sul"
"43","Iguatemi",6,"2020","Abril","Todas","Mato Grosso do Sul"
"44","Inocência",5,"2020","Abril","Todas","Mato Grosso do Sul"
"45","Itaporã",6,"2020","Abril","Todas","Mato Grosso do Sul"
"46","Itaquiraí",9,"2020","Abril","Todas","Mato Grosso do Sul"
"47","Ivinhema",13,"2020","Abril","Todas","Mato Grosso do Sul"
"48","Japorã",2,"2020","Abril","Todas","Mato Grosso do Sul"
"49","Jaraguari",3,"2020","Abril","Todas","Mato Grosso do Sul"
"50","Jardim",14,"2020","Abril","Todas","Mato Grosso do Sul"
"51","Alcinópolis",1,"2020","Abril","Todas","Mato Grosso do Sul"
"52","Amambaí",26,"2020","Abril","Todas","Mato Grosso do Sul"
"53","Anastácio",18,"2020","Abril","Todas","Mato Grosso do Sul"
"54","Anaurilândia",3,"2020","Abril","Todas","Mato Grosso do Sul"
"55","Angélica",5,"2020","Abril","Todas","Mato Grosso do Sul"
"56","Antônio João",10,"2020","Abril","Todas","Mato Grosso do Sul"
"57","Aparecida do Taboado",21,"2020","Abril","Todas","Mato Grosso do Sul"
"58","Aquidauana",31,"2020","Abril","Todas","Mato Grosso do Sul"
"59","Aral Moreira",4,"2020","Abril","Todas","Mato Grosso do Sul"
"60","Bataguassu",10,"2020","Abril","Todas","Mato Grosso do Sul"
"61","Bela Vista",6,"2020","Abril","Todas","Mato Grosso do Sul"
"62","Bodoquena",4,"2020","Abril","Todas","Mato Grosso do Sul"
"63","Bonito",9,"2020","Abril","Todas","Mato Grosso do Sul"
"64","Brasilândia",8,"2020","Abril","Todas","Mato Grosso do Sul"
"65","Caarapo",14,"2020","Abril","Todas","Mato Grosso do Sul"
"66","Camapuã",10,"2020","Abril","Todas","Mato Grosso do Sul"
"67","Campo Grande",432,"2020","Abril","Todas","Mato Grosso do Sul"
"68","Caracol",2,"2020","Abril","Todas","Mato Grosso do Sul"
"69","Cassilândia",13,"2020","Abril","Todas","Mato Grosso do Sul"
"70","Chapadão do Sul",4,"2020","Abril","Todas","Mato Grosso do Sul"
