"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Upanema",8,"2020","Abril","Todas","Rio Grande do Norte"
"2","Serra de São Bento",3,"2020","Abril","Todas","Rio Grande do Norte"
"3","Serra do Mel",5,"2020","Abril","Todas","Rio Grande do Norte"
"4","São Bento do Norte",6,"2020","Abril","Todas","Rio Grande do Norte"
"5","São Bento do Trairí",1,"2020","Abril","Todas","Rio Grande do Norte"
"6","São Francisco do Oeste",3,"2020","Abril","Todas","Rio Grande do Norte"
"7","São Gonçalo do Amarante",36,"2020","Abril","Todas","Rio Grande do Norte"
"8","São José de Mipibu",22,"2020","Abril","Todas","Rio Grande do Norte"
"9","São José do Campestre",5,"2020","Abril","Todas","Rio Grande do Norte"
"10","São José do Seridó",5,"2020","Abril","Todas","Rio Grande do Norte"
"11","São Miguel do Gostoso",1,"2020","Abril","Todas","Rio Grande do Norte"
"12","São Paulo do Potengi",5,"2020","Abril","Todas","Rio Grande do Norte"
"13","São Rafael",4,"2020","Abril","Todas","Rio Grande do Norte"
"14","São Tomé",5,"2020","Abril","Todas","Rio Grande do Norte"
"15","Sítio Novo",6,"2020","Abril","Todas","Rio Grande do Norte"
"16","Taipu",4,"2020","Abril","Todas","Rio Grande do Norte"
"17","Tangará",7,"2020","Abril","Todas","Rio Grande do Norte"
"18","Tenente Laurentino Cruz",4,"2020","Abril","Todas","Rio Grande do Norte"
"19","Tibau",5,"2020","Abril","Todas","Rio Grande do Norte"
"20","Tibau do Sul",3,"2020","Abril","Todas","Rio Grande do Norte"
"21","Touros",11,"2020","Abril","Todas","Rio Grande do Norte"
"22","Mossoró",196,"2020","Abril","Todas","Rio Grande do Norte"
"23","Natal",417,"2020","Abril","Todas","Rio Grande do Norte"
"24","Nova Cruz",16,"2020","Abril","Todas","Rio Grande do Norte"
"25","Parazinho",3,"2020","Abril","Todas","Rio Grande do Norte"
"26","Parelhas",22,"2020","Abril","Todas","Rio Grande do Norte"
"27","Parnamirim",80,"2020","Abril","Todas","Rio Grande do Norte"
"28","Passa e Fica",9,"2020","Abril","Todas","Rio Grande do Norte"
"29","Pedro Velho",9,"2020","Abril","Todas","Rio Grande do Norte"
"30","Pendências",1,"2020","Abril","Todas","Rio Grande do Norte"
"31","Rafael Godeiro",2,"2020","Abril","Todas","Rio Grande do Norte"
"32","Riachuelo",4,"2020","Abril","Todas","Rio Grande do Norte"
"33","Rio do Fogo",6,"2020","Abril","Todas","Rio Grande do Norte"
"34","Ruy Barbosa",3,"2020","Abril","Todas","Rio Grande do Norte"
"35","Santa Cruz",21,"2020","Abril","Todas","Rio Grande do Norte"
"36","Santa Maria",3,"2020","Abril","Todas","Rio Grande do Norte"
"37","Santana do Matos",8,"2020","Abril","Todas","Rio Grande do Norte"
"38","Senador Elói de Souza",4,"2020","Abril","Todas","Rio Grande do Norte"
"39","Senador Georgino Avelino",3,"2020","Abril","Todas","Rio Grande do Norte"
"40","Serra Caiada",3,"2020","Abril","Todas","Rio Grande do Norte"
"41","Serra Negra do Norte",2,"2020","Abril","Todas","Rio Grande do Norte"
"42","Goianinha",14,"2020","Abril","Todas","Rio Grande do Norte"
"43","Governador Dix-Sept Rosado",9,"2020","Abril","Todas","Rio Grande do Norte"
"44","Grossos",5,"2020","Abril","Todas","Rio Grande do Norte"
"45","Ielmo Marinho",4,"2020","Abril","Todas","Rio Grande do Norte"
"46","Itajá",4,"2020","Abril","Todas","Rio Grande do Norte"
"47","Jandaíra",5,"2020","Abril","Todas","Rio Grande do Norte"
"48","Jardim de Piranhas",11,"2020","Abril","Todas","Rio Grande do Norte"
"49","Jardim do Seridó",9,"2020","Abril","Todas","Rio Grande do Norte"
"50","Jaçanã",5,"2020","Abril","Todas","Rio Grande do Norte"
"51","José da Penha",5,"2020","Abril","Todas","Rio Grande do Norte"
"52","João Câmara",18,"2020","Abril","Todas","Rio Grande do Norte"
"53","João Dias",1,"2020","Abril","Todas","Rio Grande do Norte"
"54","Jucurutu",11,"2020","Abril","Todas","Rio Grande do Norte"
"55","Lagoa Nova",8,"2020","Abril","Todas","Rio Grande do Norte"
"56","Lagoa de Pedras",1,"2020","Abril","Todas","Rio Grande do Norte"
"57","Lucrécia",1,"2020","Abril","Todas","Rio Grande do Norte"
"58","Macaíba",35,"2020","Abril","Todas","Rio Grande do Norte"
"59","Marcelino Vieira",4,"2020","Abril","Todas","Rio Grande do Norte"
"60","Maxaranguape",1,"2020","Abril","Todas","Rio Grande do Norte"
"61","Monte Alegre",7,"2020","Abril","Todas","Rio Grande do Norte"
"62","Acari",5,"2020","Abril","Todas","Rio Grande do Norte"
"63","Apodi",17,"2020","Abril","Todas","Rio Grande do Norte"
"64","Areia Branca",11,"2020","Abril","Todas","Rio Grande do Norte"
"65","Arez",5,"2020","Abril","Todas","Rio Grande do Norte"
"66","Açu",29,"2020","Abril","Todas","Rio Grande do Norte"
"67","Baraúna",15,"2020","Abril","Todas","Rio Grande do Norte"
"68","Baía Formosa",8,"2020","Abril","Todas","Rio Grande do Norte"
"69","Bom Jesus",14,"2020","Abril","Todas","Rio Grande do Norte"
"70","Caiçara do Rio do Vento",1,"2020","Abril","Todas","Rio Grande do Norte"
"71","Campo Grande",8,"2020","Abril","Todas","Rio Grande do Norte"
"72","Canguaretama",12,"2020","Abril","Todas","Rio Grande do Norte"
"73","Caraúbas",15,"2020","Abril","Todas","Rio Grande do Norte"
"74","Carnaubais",8,"2020","Abril","Todas","Rio Grande do Norte"
"75","Ceará-Mirim",39,"2020","Abril","Todas","Rio Grande do Norte"
"76","Cruzeta",9,"2020","Abril","Todas","Rio Grande do Norte"
"77","Currais Novos",30,"2020","Abril","Todas","Rio Grande do Norte"
"78","Equador",1,"2020","Abril","Todas","Rio Grande do Norte"
"79","Extremoz",17,"2020","Abril","Todas","Rio Grande do Norte"
"80","Florânia",8,"2020","Abril","Todas","Rio Grande do Norte"
"81","Frutuoso Gomes",4,"2020","Abril","Todas","Rio Grande do Norte"
