"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tupanciretã",15,"2020","Abril","Todas","Rio Grande do Sul"
"2","Tuparendi",16,"2020","Abril","Todas","Rio Grande do Sul"
"3","Uruguaiana",67,"2020","Abril","Todas","Rio Grande do Sul"
"4","Vacaria",60,"2020","Abril","Todas","Rio Grande do Sul"
"5","Vale do Sol",10,"2020","Abril","Todas","Rio Grande do Sul"
"6","Venâncio Aires",44,"2020","Abril","Todas","Rio Grande do Sul"
"7","Vera Cruz",15,"2020","Abril","Todas","Rio Grande do Sul"
"8","Veranopolis",16,"2020","Abril","Todas","Rio Grande do Sul"
"9","Viadutos",4,"2020","Abril","Todas","Rio Grande do Sul"
"10","Viamao",77,"2020","Abril","Todas","Rio Grande do Sul"
"11","Victor Graeff",3,"2020","Abril","Todas","Rio Grande do Sul"
"12","Vila Maria",2,"2020","Abril","Todas","Rio Grande do Sul"
"13","Vila Nova do Sul",5,"2020","Abril","Todas","Rio Grande do Sul"
"14","Xangri-Lá",1,"2020","Abril","Todas","Rio Grande do Sul"
"15","Água Santa",4,"2020","Abril","Todas","Rio Grande do Sul"
"16","Áurea",4,"2020","Abril","Todas","Rio Grande do Sul"
"17","Tapes",8,"2020","Abril","Todas","Rio Grande do Sul"
"18","Taquara",19,"2020","Abril","Todas","Rio Grande do Sul"
"19","Taquari",16,"2020","Abril","Todas","Rio Grande do Sul"
"20","Tavares",2,"2020","Abril","Todas","Rio Grande do Sul"
"21","Tenente Portela",16,"2020","Abril","Todas","Rio Grande do Sul"
"22","Terra de Areia",6,"2020","Abril","Todas","Rio Grande do Sul"
"23","Teutônia",14,"2020","Abril","Todas","Rio Grande do Sul"
"24","Tio Hugo",4,"2020","Abril","Todas","Rio Grande do Sul"
"25","Tiradentes do Sul",4,"2020","Abril","Todas","Rio Grande do Sul"
"26","Torres",28,"2020","Abril","Todas","Rio Grande do Sul"
"27","Tramandaí",24,"2020","Abril","Todas","Rio Grande do Sul"
"28","Trindade do Sul",5,"2020","Abril","Todas","Rio Grande do Sul"
"29","Triunfo",23,"2020","Abril","Todas","Rio Grande do Sul"
