"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tapauá",3,"2020","Fevereiro","Todas","Amazonas"
"2","Uarini",2,"2020","Fevereiro","Todas","Amazonas"
"3","Anamã",3,"2020","Fevereiro","Todas","Amazonas"
"4","Apuí",1,"2020","Fevereiro","Todas","Amazonas"
"5","Barcelos",5,"2020","Fevereiro","Todas","Amazonas"
"6","Beruri",4,"2020","Fevereiro","Todas","Amazonas"
"7","Borba",3,"2020","Fevereiro","Todas","Amazonas"
"8","Carauari",9,"2020","Fevereiro","Todas","Amazonas"
"9","Ipixuna",3,"2020","Fevereiro","Todas","Amazonas"
"10","Itacoatiara",29,"2020","Fevereiro","Todas","Amazonas"
"11","Itapiranga",2,"2020","Fevereiro","Todas","Amazonas"
"12","Lábrea",15,"2020","Fevereiro","Todas","Amazonas"
"13","Manacapuru",24,"2020","Fevereiro","Todas","Amazonas"
"14","Manaquiri",6,"2020","Fevereiro","Todas","Amazonas"
"15","Manaus",975,"2020","Fevereiro","Todas","Amazonas"
"16","Manicoré",5,"2020","Fevereiro","Todas","Amazonas"
"17","Novo Airão",3,"2020","Fevereiro","Todas","Amazonas"
"18","Parintins",35,"2020","Fevereiro","Todas","Amazonas"
"19","Pauini",2,"2020","Fevereiro","Todas","Amazonas"
"20","Presidente Figueiredo",7,"2020","Fevereiro","Todas","Amazonas"
"21","São Sebastião do Uatumã",2,"2020","Fevereiro","Todas","Amazonas"
"22","Tabatinga",20,"2020","Fevereiro","Todas","Amazonas"
