"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vitória do Mearim",10,"2020","Fevereiro","Todas","Maranhão"
"2","São José de Ribamar",72,"2020","Fevereiro","Todas","Maranhão"
"3","São João do Carú",2,"2020","Fevereiro","Todas","Maranhão"
"4","São João do Paraíso",4,"2020","Fevereiro","Todas","Maranhão"
"5","São João do Soter",7,"2020","Fevereiro","Todas","Maranhão"
"6","São João dos Patos",14,"2020","Fevereiro","Todas","Maranhão"
"7","São Luís",526,"2020","Fevereiro","Todas","Maranhão"
"8","São Luís Gonzaga do Maranhão",3,"2020","Fevereiro","Todas","Maranhão"
"9","São Mateus do Maranhão",12,"2020","Fevereiro","Todas","Maranhão"
"10","São Pedro da Água Branca",4,"2020","Fevereiro","Todas","Maranhão"
"11","São Pedro dos Crentes",2,"2020","Fevereiro","Todas","Maranhão"
"12","São Raimundo das Mangabeiras",7,"2020","Fevereiro","Todas","Maranhão"
"13","Sítio Novo",7,"2020","Fevereiro","Todas","Maranhão"
"14","Tasso Fragoso",3,"2020","Fevereiro","Todas","Maranhão"
"15","Tufilândia",3,"2020","Fevereiro","Todas","Maranhão"
"16","Tuntum",10,"2020","Fevereiro","Todas","Maranhão"
"17","Turiaçu",4,"2020","Fevereiro","Todas","Maranhão"
"18","Vargem Grande",11,"2020","Fevereiro","Todas","Maranhão"
"19","Viana",6,"2020","Fevereiro","Todas","Maranhão"
"20","Vila Nova dos Martírios",1,"2020","Fevereiro","Todas","Maranhão"
"21","Vitorino Freire",6,"2020","Fevereiro","Todas","Maranhão"
"22","Primeira Cruz",2,"2020","Fevereiro","Todas","Maranhão"
"23","Raposa",1,"2020","Fevereiro","Todas","Maranhão"
"24","Riachão",8,"2020","Fevereiro","Todas","Maranhão"
"25","Ribamar Fiquene",2,"2020","Fevereiro","Todas","Maranhão"
"26","Sambaíba",1,"2020","Fevereiro","Todas","Maranhão"
"27","Santa Helena",2,"2020","Fevereiro","Todas","Maranhão"
"28","Santa Inês",28,"2020","Fevereiro","Todas","Maranhão"
"29","Santa Luzia",14,"2020","Fevereiro","Todas","Maranhão"
"30","Santa Luzia do Paruá",5,"2020","Fevereiro","Todas","Maranhão"
"31","Santa Rita",7,"2020","Fevereiro","Todas","Maranhão"
"32","Santo Amaro do Maranhão",2,"2020","Fevereiro","Todas","Maranhão"
"33","Santo Antônio dos Lopes",6,"2020","Fevereiro","Todas","Maranhão"
"34","Satubinha",1,"2020","Fevereiro","Todas","Maranhão"
"35","Senador La Roque",6,"2020","Fevereiro","Todas","Maranhão"
"36","Sucupira do Norte",2,"2020","Fevereiro","Todas","Maranhão"
"37","São Benedito do Rio Preto",2,"2020","Fevereiro","Todas","Maranhão"
"38","São Domingos do Azeitão",2,"2020","Fevereiro","Todas","Maranhão"
"39","São Domingos do Maranhão",11,"2020","Fevereiro","Todas","Maranhão"
"40","São Francisco do Brejão",3,"2020","Fevereiro","Todas","Maranhão"
"41","São Félix de Balsas",3,"2020","Fevereiro","Todas","Maranhão"
"42","Montes Altos",2,"2020","Fevereiro","Todas","Maranhão"
"43","Monção",1,"2020","Fevereiro","Todas","Maranhão"
"44","Morros",1,"2020","Fevereiro","Todas","Maranhão"
"45","Nova Colinas",1,"2020","Fevereiro","Todas","Maranhão"
"46","Nova Olinda do Maranhão",2,"2020","Fevereiro","Todas","Maranhão"
"47","Olho D'água das Cunhãs",7,"2020","Fevereiro","Todas","Maranhão"
"48","Olinda Nova do Maranhão",2,"2020","Fevereiro","Todas","Maranhão"
"49","Palmeirândia",4,"2020","Fevereiro","Todas","Maranhão"
"50","Paraibano",13,"2020","Fevereiro","Todas","Maranhão"
"51","Parnarama",8,"2020","Fevereiro","Todas","Maranhão"
"52","Paço do Lumiar",23,"2020","Fevereiro","Todas","Maranhão"
"53","Pedro do Rosário",6,"2020","Fevereiro","Todas","Maranhão"
"54","Penalva",6,"2020","Fevereiro","Todas","Maranhão"
"55","Peri Mirim",4,"2020","Fevereiro","Todas","Maranhão"
"56","Peritoró",6,"2020","Fevereiro","Todas","Maranhão"
"57","Pinheiro",1,"2020","Fevereiro","Todas","Maranhão"
"58","Pio Xii",6,"2020","Fevereiro","Todas","Maranhão"
"59","Pirapemas",1,"2020","Fevereiro","Todas","Maranhão"
"60","Porto Franco",8,"2020","Fevereiro","Todas","Maranhão"
"61","Presidente Dutra",12,"2020","Fevereiro","Todas","Maranhão"
"62","Itinga do Maranhão",14,"2020","Fevereiro","Todas","Maranhão"
"63","Joselândia",5,"2020","Fevereiro","Todas","Maranhão"
"64","João Lisboa",6,"2020","Fevereiro","Todas","Maranhão"
"65","Junco do Maranhão",1,"2020","Fevereiro","Todas","Maranhão"
"66","Lago Verde",8,"2020","Fevereiro","Todas","Maranhão"
"67","Lago da Pedra",15,"2020","Fevereiro","Todas","Maranhão"
"68","Lago dos Rodrigues",5,"2020","Fevereiro","Todas","Maranhão"
"69","Lagoa Grande do Maranhão",1,"2020","Fevereiro","Todas","Maranhão"
"70","Lagoa do Mato",1,"2020","Fevereiro","Todas","Maranhão"
"71","Lajeado Novo",1,"2020","Fevereiro","Todas","Maranhão"
"72","Lima Campos",1,"2020","Fevereiro","Todas","Maranhão"
"73","Magalhães de Almeida",10,"2020","Fevereiro","Todas","Maranhão"
"74","Maracaçumé",1,"2020","Fevereiro","Todas","Maranhão"
"75","Maranhãozinho",5,"2020","Fevereiro","Todas","Maranhão"
"76","Mata Roma",6,"2020","Fevereiro","Todas","Maranhão"
"77","Matões",7,"2020","Fevereiro","Todas","Maranhão"
"78","Matões do Norte",2,"2020","Fevereiro","Todas","Maranhão"
"79","Mirador",7,"2020","Fevereiro","Todas","Maranhão"
"80","Miranda do Norte",11,"2020","Fevereiro","Todas","Maranhão"
"81","Mirinzal",1,"2020","Fevereiro","Todas","Maranhão"
"82","Dom Pedro",8,"2020","Fevereiro","Todas","Maranhão"
"83","Duque Bacelar",4,"2020","Fevereiro","Todas","Maranhão"
"84","Esperantinópolis",2,"2020","Fevereiro","Todas","Maranhão"
"85","Estreito",13,"2020","Fevereiro","Todas","Maranhão"
"86","Feira Nova do Maranhão",3,"2020","Fevereiro","Todas","Maranhão"
"87","Formosa da Serra Negra",3,"2020","Fevereiro","Todas","Maranhão"
"88","Fortaleza dos Nogueiras",8,"2020","Fevereiro","Todas","Maranhão"
"89","Gonçalves Dias",3,"2020","Fevereiro","Todas","Maranhão"
"90","Governador Eugênio Barros",9,"2020","Fevereiro","Todas","Maranhão"
"91","Governador Luiz Rocha",4,"2020","Fevereiro","Todas","Maranhão"
"92","Governador Newton Bello",2,"2020","Fevereiro","Todas","Maranhão"
"93","Governador Nunes Freire",4,"2020","Fevereiro","Todas","Maranhão"
"94","Grajaú",35,"2020","Fevereiro","Todas","Maranhão"
"95","Humberto de Campos",1,"2020","Fevereiro","Todas","Maranhão"
"96","Icatu",3,"2020","Fevereiro","Todas","Maranhão"
"97","Igarapé Grande",4,"2020","Fevereiro","Todas","Maranhão"
"98","Igarapé do Meio",1,"2020","Fevereiro","Todas","Maranhão"
"99","Imperatriz",125,"2020","Fevereiro","Todas","Maranhão"
"100","Itaipava do Grajaú",5,"2020","Fevereiro","Todas","Maranhão"
"101","Itapecuru Mirim",22,"2020","Fevereiro","Todas","Maranhão"
"102","Bom Lugar",4,"2020","Fevereiro","Todas","Maranhão"
"103","Brejo de Areia",2,"2020","Fevereiro","Todas","Maranhão"
"104","Buriti",4,"2020","Fevereiro","Todas","Maranhão"
"105","Buriti Bravo",12,"2020","Fevereiro","Todas","Maranhão"
"106","Buriticupu",11,"2020","Fevereiro","Todas","Maranhão"
"107","Buritirana",5,"2020","Fevereiro","Todas","Maranhão"
"108","Cajari",1,"2020","Fevereiro","Todas","Maranhão"
"109","Campestre do Maranhão",5,"2020","Fevereiro","Todas","Maranhão"
"110","Cantanhede",3,"2020","Fevereiro","Todas","Maranhão"
"111","Carolina",10,"2020","Fevereiro","Todas","Maranhão"
"112","Caxias",55,"2020","Fevereiro","Todas","Maranhão"
"113","Chapadinha",28,"2020","Fevereiro","Todas","Maranhão"
"114","Cidelândia",2,"2020","Fevereiro","Todas","Maranhão"
"115","Codó",36,"2020","Fevereiro","Todas","Maranhão"
"116","Coelho Neto",22,"2020","Fevereiro","Todas","Maranhão"
"117","Colinas",11,"2020","Fevereiro","Todas","Maranhão"
"118","Conceição do Lago-Açu",3,"2020","Fevereiro","Todas","Maranhão"
"119","Coroatá",20,"2020","Fevereiro","Todas","Maranhão"
"120","Cururupu",12,"2020","Fevereiro","Todas","Maranhão"
"121","Cândido Mendes",1,"2020","Fevereiro","Todas","Maranhão"
"122","Alcântara",5,"2020","Fevereiro","Todas","Maranhão"
"123","Alto Alegre do Maranhão",5,"2020","Fevereiro","Todas","Maranhão"
"124","Alto Alegre do Pindare",4,"2020","Fevereiro","Todas","Maranhão"
"125","Alto Parnaíba",8,"2020","Fevereiro","Todas","Maranhão"
"126","Amapá do Maranhão",2,"2020","Fevereiro","Todas","Maranhão"
"127","Amarante do Maranhão",12,"2020","Fevereiro","Todas","Maranhão"
"128","Anajatuba",7,"2020","Fevereiro","Todas","Maranhão"
