"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vazante",10,"2020","Fevereiro","Todas","Minas Gerais"
"2","Verdelândia",7,"2020","Fevereiro","Todas","Minas Gerais"
"3","Vermelho Novo",4,"2020","Fevereiro","Todas","Minas Gerais"
"4","Veríssimo",2,"2020","Fevereiro","Todas","Minas Gerais"
"5","Vespasiano",26,"2020","Fevereiro","Todas","Minas Gerais"
"6","Virgem da Lapa",4,"2020","Fevereiro","Todas","Minas Gerais"
"7","Virginópolis",7,"2020","Fevereiro","Todas","Minas Gerais"
"8","Virgolândia",2,"2020","Fevereiro","Todas","Minas Gerais"
"9","Virgínia",7,"2020","Fevereiro","Todas","Minas Gerais"
"10","Visconde do Rio Branco",24,"2020","Fevereiro","Todas","Minas Gerais"
"11","Viçosa",29,"2020","Fevereiro","Todas","Minas Gerais"
"12","Volta Grande",4,"2020","Fevereiro","Todas","Minas Gerais"
"13","Wenceslau Braz",1,"2020","Fevereiro","Todas","Minas Gerais"
"14","Água Boa",2,"2020","Fevereiro","Todas","Minas Gerais"
"15","Água Comprida",2,"2020","Fevereiro","Todas","Minas Gerais"
"16","Águas Formosas",7,"2020","Fevereiro","Todas","Minas Gerais"
"17","Águas Vermelhas",3,"2020","Fevereiro","Todas","Minas Gerais"
"18","Tumiritinga",4,"2020","Fevereiro","Todas","Minas Gerais"
"19","Tupaciguara",16,"2020","Fevereiro","Todas","Minas Gerais"
"20","Turmalina",2,"2020","Fevereiro","Todas","Minas Gerais"
"21","Turvolândia",1,"2020","Fevereiro","Todas","Minas Gerais"
"22","Ubaporanga",5,"2020","Fevereiro","Todas","Minas Gerais"
"23","Ubaí",5,"2020","Fevereiro","Todas","Minas Gerais"
"24","Uberaba",164,"2020","Fevereiro","Todas","Minas Gerais"
"25","Uberlandia",287,"2020","Fevereiro","Todas","Minas Gerais"
"26","Ubá",47,"2020","Fevereiro","Todas","Minas Gerais"
"27","Unaí",33,"2020","Fevereiro","Todas","Minas Gerais"
"28","União de Minas",1,"2020","Fevereiro","Todas","Minas Gerais"
"29","Uruana de Minas",2,"2020","Fevereiro","Todas","Minas Gerais"
"30","Urucania",1,"2020","Fevereiro","Todas","Minas Gerais"
"31","Urucuia",1,"2020","Fevereiro","Todas","Minas Gerais"
"32","Vargem Alegre",5,"2020","Fevereiro","Todas","Minas Gerais"
"33","Vargem Grande do Rio Pardo",2,"2020","Fevereiro","Todas","Minas Gerais"
"34","Varginha",61,"2020","Fevereiro","Todas","Minas Gerais"
"35","Varjão de Minas",3,"2020","Fevereiro","Todas","Minas Gerais"
"36","Varzea da Palma",10,"2020","Fevereiro","Todas","Minas Gerais"
"37","Varzelândia",5,"2020","Fevereiro","Todas","Minas Gerais"
"38","São Sebastião do Paraíso",39,"2020","Fevereiro","Todas","Minas Gerais"
"39","São Tiago",2,"2020","Fevereiro","Todas","Minas Gerais"
"40","São Vicente de Minas",5,"2020","Fevereiro","Todas","Minas Gerais"
"41","Tabuleiro",3,"2020","Fevereiro","Todas","Minas Gerais"
"42","Taiobeiras",13,"2020","Fevereiro","Todas","Minas Gerais"
"43","Taparuba",4,"2020","Fevereiro","Todas","Minas Gerais"
"44","Tapira",1,"2020","Fevereiro","Todas","Minas Gerais"
"45","Taquaraçu de Minas",2,"2020","Fevereiro","Todas","Minas Gerais"
"46","Tarumirim",7,"2020","Fevereiro","Todas","Minas Gerais"
"47","Teixeiras",5,"2020","Fevereiro","Todas","Minas Gerais"
"48","Teófilo Otoni",75,"2020","Fevereiro","Todas","Minas Gerais"
"49","Timoteo",36,"2020","Fevereiro","Todas","Minas Gerais"
"50","Tiradentes",4,"2020","Fevereiro","Todas","Minas Gerais"
"51","Tocantins",13,"2020","Fevereiro","Todas","Minas Gerais"
"52","Tocos do Moji",2,"2020","Fevereiro","Todas","Minas Gerais"
"53","Toledo",3,"2020","Fevereiro","Todas","Minas Gerais"
"54","Tombos",4,"2020","Fevereiro","Todas","Minas Gerais"
"55","Três Corações",31,"2020","Fevereiro","Todas","Minas Gerais"
"56","Três Marias",7,"2020","Fevereiro","Todas","Minas Gerais"
"57","Três Pontas",34,"2020","Fevereiro","Todas","Minas Gerais"
"58","São João Nepomuceno",15,"2020","Fevereiro","Todas","Minas Gerais"
"59","São João da Lagoa",3,"2020","Fevereiro","Todas","Minas Gerais"
"60","São João da Mata",1,"2020","Fevereiro","Todas","Minas Gerais"
"61","São João da Ponte",13,"2020","Fevereiro","Todas","Minas Gerais"
"62","São João das Missões",4,"2020","Fevereiro","Todas","Minas Gerais"
"63","São João do Manhuaçu",5,"2020","Fevereiro","Todas","Minas Gerais"
"64","São João do Manteninha",3,"2020","Fevereiro","Todas","Minas Gerais"
"65","São João do Oriente",6,"2020","Fevereiro","Todas","Minas Gerais"
"66","São João do Pacuí",1,"2020","Fevereiro","Todas","Minas Gerais"
"67","São Lourenço",22,"2020","Fevereiro","Todas","Minas Gerais"
"68","São Miguel do Anta",5,"2020","Fevereiro","Todas","Minas Gerais"
"69","São Pedro da União",2,"2020","Fevereiro","Todas","Minas Gerais"
"70","São Pedro do Suaçuí",7,"2020","Fevereiro","Todas","Minas Gerais"
"71","São Pedro dos Ferros",3,"2020","Fevereiro","Todas","Minas Gerais"
"72","São Romão",6,"2020","Fevereiro","Todas","Minas Gerais"
"73","São Roque de Minas",7,"2020","Fevereiro","Todas","Minas Gerais"
"74","São Sebastião da Bela Vista",2,"2020","Fevereiro","Todas","Minas Gerais"
"75","São Sebastião da Vargem Alegre",1,"2020","Fevereiro","Todas","Minas Gerais"
"76","São Sebastião do Anta",4,"2020","Fevereiro","Todas","Minas Gerais"
"77","São Sebastião do Maranhão",8,"2020","Fevereiro","Todas","Minas Gerais"
"78","São Francisco do Glória",2,"2020","Fevereiro","Todas","Minas Gerais"
"79","São Geraldo",3,"2020","Fevereiro","Todas","Minas Gerais"
"80","São Geraldo da Piedade",1,"2020","Fevereiro","Todas","Minas Gerais"
"81","São Gonçalo do Abaeté",1,"2020","Fevereiro","Todas","Minas Gerais"
"82","São Gonçalo do Pará",6,"2020","Fevereiro","Todas","Minas Gerais"
"83","São Gonçalo do Rio Abaixo",6,"2020","Fevereiro","Todas","Minas Gerais"
"84","São Gonçalo do Rio Preto",1,"2020","Fevereiro","Todas","Minas Gerais"
"85","São Gonçalo do Sapucaí",12,"2020","Fevereiro","Todas","Minas Gerais"
"86","São Gotardo",12,"2020","Fevereiro","Todas","Minas Gerais"
"87","São Joaquim de Bicas",14,"2020","Fevereiro","Todas","Minas Gerais"
"88","São José da Barra",1,"2020","Fevereiro","Todas","Minas Gerais"
"89","São José da Safira",4,"2020","Fevereiro","Todas","Minas Gerais"
"90","São José da Varginha",4,"2020","Fevereiro","Todas","Minas Gerais"
"91","São José do Alegre",3,"2020","Fevereiro","Todas","Minas Gerais"
"92","São José do Divino",1,"2020","Fevereiro","Todas","Minas Gerais"
"93","São José do Goiabal",5,"2020","Fevereiro","Todas","Minas Gerais"
"94","São José do Jacuri",3,"2020","Fevereiro","Todas","Minas Gerais"
"95","São José do Mantimento",2,"2020","Fevereiro","Todas","Minas Gerais"
