"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Santa Rosa do Tocantins",4,"2020","Fevereiro","Todas","Tocantins"
"2","Santa Terezinha do Tocantins",1,"2020","Fevereiro","Todas","Tocantins"
"3","São Bento do Tocantins",1,"2020","Fevereiro","Todas","Tocantins"
"4","São Miguel do Tocantins",3,"2020","Fevereiro","Todas","Tocantins"
"5","São Salvador do Tocantins",1,"2020","Fevereiro","Todas","Tocantins"
"6","São Sebastião do Tocantins",2,"2020","Fevereiro","Todas","Tocantins"
"7","Taguatinga",8,"2020","Fevereiro","Todas","Tocantins"
"8","Talismã",1,"2020","Fevereiro","Todas","Tocantins"
"9","Tocantinópolis",8,"2020","Fevereiro","Todas","Tocantins"
"10","Tupirama",1,"2020","Fevereiro","Todas","Tocantins"
"11","Wanderlândia",5,"2020","Fevereiro","Todas","Tocantins"
"12","Xambioá",5,"2020","Fevereiro","Todas","Tocantins"
"13","Palmeirante",2,"2020","Fevereiro","Todas","Tocantins"
"14","Palmeiras do Tocantins",6,"2020","Fevereiro","Todas","Tocantins"
"15","Paraiso do Tocantins",22,"2020","Fevereiro","Todas","Tocantins"
"16","Paranã",6,"2020","Fevereiro","Todas","Tocantins"
"17","Pau D'arco",1,"2020","Fevereiro","Todas","Tocantins"
"18","Pedro Afonso",2,"2020","Fevereiro","Todas","Tocantins"
"19","Pequizeiro",1,"2020","Fevereiro","Todas","Tocantins"
"20","Pindorama do Tocantins",2,"2020","Fevereiro","Todas","Tocantins"
"21","Pium",2,"2020","Fevereiro","Todas","Tocantins"
"22","Ponte Alta do Bom Jesus",2,"2020","Fevereiro","Todas","Tocantins"
"23","Ponte Alta do Tocantins",2,"2020","Fevereiro","Todas","Tocantins"
"24","Porto Nacional",21,"2020","Fevereiro","Todas","Tocantins"
"25","Praia Norte",2,"2020","Fevereiro","Todas","Tocantins"
"26","Presidente Kennedy",4,"2020","Fevereiro","Todas","Tocantins"
"27","Pugmil",2,"2020","Fevereiro","Todas","Tocantins"
"28","Recursolândia",1,"2020","Fevereiro","Todas","Tocantins"
"29","Riachinho",5,"2020","Fevereiro","Todas","Tocantins"
"30","Rio Sono",1,"2020","Fevereiro","Todas","Tocantins"
"31","Sampaio",1,"2020","Fevereiro","Todas","Tocantins"
"32","Santa Fé do Araguaia",1,"2020","Fevereiro","Todas","Tocantins"
"33","Fátima",1,"2020","Fevereiro","Todas","Tocantins"
"34","Goiatins",6,"2020","Fevereiro","Todas","Tocantins"
"35","Guaraí",11,"2020","Fevereiro","Todas","Tocantins"
"36","Gurupi",30,"2020","Fevereiro","Todas","Tocantins"
"37","Itacajá",5,"2020","Fevereiro","Todas","Tocantins"
"38","Jaú do Tocantins",2,"2020","Fevereiro","Todas","Tocantins"
"39","Lagoa da Confusão",4,"2020","Fevereiro","Todas","Tocantins"
"40","Lajeado",1,"2020","Fevereiro","Todas","Tocantins"
"41","Lizarda",1,"2020","Fevereiro","Todas","Tocantins"
"42","Luzinópolis",1,"2020","Fevereiro","Todas","Tocantins"
"43","Marianópolis do Tocantins",1,"2020","Fevereiro","Todas","Tocantins"
"44","Mateiros",1,"2020","Fevereiro","Todas","Tocantins"
"45","Miracema do Tocantins",10,"2020","Fevereiro","Todas","Tocantins"
"46","Monte Santo do Tocantins",4,"2020","Fevereiro","Todas","Tocantins"
"47","Monte do Carmo",1,"2020","Fevereiro","Todas","Tocantins"
"48","Natividade",8,"2020","Fevereiro","Todas","Tocantins"
"49","Nova Olinda",5,"2020","Fevereiro","Todas","Tocantins"
"50","Nova Rosalândia",2,"2020","Fevereiro","Todas","Tocantins"
"51","Novo Acordo",4,"2020","Fevereiro","Todas","Tocantins"
"52","Palmas",97,"2020","Fevereiro","Todas","Tocantins"
"53","Buriti do Tocantins",3,"2020","Fevereiro","Todas","Tocantins"
"54","Cachoeirinha",2,"2020","Fevereiro","Todas","Tocantins"
"55","Campos Lindos",2,"2020","Fevereiro","Todas","Tocantins"
"56","Carrasco Bonito",3,"2020","Fevereiro","Todas","Tocantins"
"57","Caseara",1,"2020","Fevereiro","Todas","Tocantins"
"58","Centenário",1,"2020","Fevereiro","Todas","Tocantins"
"59","Colinas do Tocantins",18,"2020","Fevereiro","Todas","Tocantins"
"60","Colméia",1,"2020","Fevereiro","Todas","Tocantins"
"61","Combinado",8,"2020","Fevereiro","Todas","Tocantins"
"62","Conceição do Tocantins",3,"2020","Fevereiro","Todas","Tocantins"
"63","Couto de Magalhães",2,"2020","Fevereiro","Todas","Tocantins"
"64","Cristalândia",2,"2020","Fevereiro","Todas","Tocantins"
"65","Crixás do Tocantins",1,"2020","Fevereiro","Todas","Tocantins"
"66","Dianópolis",3,"2020","Fevereiro","Todas","Tocantins"
"67","Divinópolis do Tocantins",4,"2020","Fevereiro","Todas","Tocantins"
"68","Dueré",2,"2020","Fevereiro","Todas","Tocantins"
"69","Esperantina",1,"2020","Fevereiro","Todas","Tocantins"
"70","Figueirópolis",2,"2020","Fevereiro","Todas","Tocantins"
"71","Formoso do Araguaia",11,"2020","Fevereiro","Todas","Tocantins"
"72","Fortaleza do Tabocão",2,"2020","Fevereiro","Todas","Tocantins"
"73","Abreulândia",1,"2020","Fevereiro","Todas","Tocantins"
"74","Aguiarnópolis",1,"2020","Fevereiro","Todas","Tocantins"
"75","Aliança do Tocantins",8,"2020","Fevereiro","Todas","Tocantins"
"76","Alvorada",2,"2020","Fevereiro","Todas","Tocantins"
"77","Ananás",4,"2020","Fevereiro","Todas","Tocantins"
"78","Aparecida do Rio Negro",1,"2020","Fevereiro","Todas","Tocantins"
"79","Aragominas",5,"2020","Fevereiro","Todas","Tocantins"
"80","Araguacema",2,"2020","Fevereiro","Todas","Tocantins"
"81","Araguatins",7,"2020","Fevereiro","Todas","Tocantins"
"82","Araguaçu",6,"2020","Fevereiro","Todas","Tocantins"
"83","Arapoema",1,"2020","Fevereiro","Todas","Tocantins"
"84","Arraias",4,"2020","Fevereiro","Todas","Tocantins"
"85","Augustinópolis",5,"2020","Fevereiro","Todas","Tocantins"
"86","Babaçulândia",1,"2020","Fevereiro","Todas","Tocantins"
"87","Barra do Ouro",1,"2020","Fevereiro","Todas","Tocantins"
"88","Barrolândia",2,"2020","Fevereiro","Todas","Tocantins"
"89","Bernardo Sayão",2,"2020","Fevereiro","Todas","Tocantins"
"90","Bom Jesus do Tocantins",1,"2020","Fevereiro","Todas","Tocantins"
"91","Brasilândia do Tocantins",2,"2020","Fevereiro","Todas","Tocantins"
"92","Brejinho de Nazaré",4,"2020","Fevereiro","Todas","Tocantins"
