"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Uarini",5,"2020","Janeiro","Todas","Amazonas"
"2","Anamã",2,"2020","Janeiro","Todas","Amazonas"
"3","Apuí",7,"2020","Janeiro","Todas","Amazonas"
"4","Barcelos",4,"2020","Janeiro","Todas","Amazonas"
"5","Beruri",8,"2020","Janeiro","Todas","Amazonas"
"6","Boa Vista do Ramos",1,"2020","Janeiro","Todas","Amazonas"
"7","Borba",5,"2020","Janeiro","Todas","Amazonas"
"8","Carauari",9,"2020","Janeiro","Todas","Amazonas"
"9","Ipixuna",3,"2020","Janeiro","Todas","Amazonas"
"10","Itacoatiara",28,"2020","Janeiro","Todas","Amazonas"
"11","Lábrea",12,"2020","Janeiro","Todas","Amazonas"
"12","Manacapuru",31,"2020","Janeiro","Todas","Amazonas"
"13","Manaquiri",8,"2020","Janeiro","Todas","Amazonas"
"14","Manaus",1121,"2020","Janeiro","Todas","Amazonas"
"15","Novo Airão",2,"2020","Janeiro","Todas","Amazonas"
"16","Parintins",39,"2020","Janeiro","Todas","Amazonas"
"17","Presidente Figueiredo",5,"2020","Janeiro","Todas","Amazonas"
"18","Silves",1,"2020","Janeiro","Todas","Amazonas"
"19","São Sebastião do Uatumã",3,"2020","Janeiro","Todas","Amazonas"
"20","Tabatinga",16,"2020","Janeiro","Todas","Amazonas"
"21","Tefé",6,"2020","Janeiro","Todas","Amazonas"
