"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vigia",10,"2020","Janeiro","Todas","Pará"
"2","Viseu",10,"2020","Janeiro","Todas","Pará"
"3","Vitória do Xingu",4,"2020","Janeiro","Todas","Pará"
"4","Xinguara",24,"2020","Janeiro","Todas","Pará"
"5","Santa Luzia do Pará",7,"2020","Janeiro","Todas","Pará"
"6","Santa Maria das Barreiras",3,"2020","Janeiro","Todas","Pará"
"7","Santana do Araguaia",13,"2020","Janeiro","Todas","Pará"
"8","Santarem",135,"2020","Janeiro","Todas","Pará"
"9","Santarém Novo",3,"2020","Janeiro","Todas","Pará"
"10","Sao Miguel do Guama",16,"2020","Janeiro","Todas","Pará"
"11","Senador José Porfírio",1,"2020","Janeiro","Todas","Pará"
"12","São Domingos do Araguaia",10,"2020","Janeiro","Todas","Pará"
"13","São Domingos do Capim",11,"2020","Janeiro","Todas","Pará"
"14","São Francisco do Pará",11,"2020","Janeiro","Todas","Pará"
"15","São Félix do Xingu",28,"2020","Janeiro","Todas","Pará"
"16","São Geraldo do Araguaia",14,"2020","Janeiro","Todas","Pará"
"17","São João do Araguaia",3,"2020","Janeiro","Todas","Pará"
"18","Tailandia",25,"2020","Janeiro","Todas","Pará"
"19","Terra Alta",5,"2020","Janeiro","Todas","Pará"
"20","Tracuateua",5,"2020","Janeiro","Todas","Pará"
"21","Tucumã",23,"2020","Janeiro","Todas","Pará"
"22","Tucurui",34,"2020","Janeiro","Todas","Pará"
"23","Ulianópolis",7,"2020","Janeiro","Todas","Pará"
"24","Uruará",14,"2020","Janeiro","Todas","Pará"
"25","Nova Esperança do Piriá",6,"2020","Janeiro","Todas","Pará"
"26","Novo Progresso",8,"2020","Janeiro","Todas","Pará"
"27","Novo Repartimento",17,"2020","Janeiro","Todas","Pará"
"28","Obidos",12,"2020","Janeiro","Todas","Pará"
"29","Ourilândia do Norte",7,"2020","Janeiro","Todas","Pará"
"30","Pacajá",18,"2020","Janeiro","Todas","Pará"
"31","Palestina do Pará",5,"2020","Janeiro","Todas","Pará"
"32","Paragominas",36,"2020","Janeiro","Todas","Pará"
"33","Parauapebas",57,"2020","Janeiro","Todas","Pará"
"34","Placas",6,"2020","Janeiro","Todas","Pará"
"35","Ponta de Pedras",8,"2020","Janeiro","Todas","Pará"
"36","Portel",6,"2020","Janeiro","Todas","Pará"
"37","Prainha",8,"2020","Janeiro","Todas","Pará"
"38","Redenção",47,"2020","Janeiro","Todas","Pará"
"39","Rio Maria",10,"2020","Janeiro","Todas","Pará"
"40","Rondon do Pará",25,"2020","Janeiro","Todas","Pará"
"41","Rurópolis",8,"2020","Janeiro","Todas","Pará"
"42","Salinópolis",12,"2020","Janeiro","Todas","Pará"
"43","Santa Bárbara do Pará",3,"2020","Janeiro","Todas","Pará"
"44","Santa Isabel do Pará",26,"2020","Janeiro","Todas","Pará"
"45","Conceição do Araguaia",17,"2020","Janeiro","Todas","Pará"
"46","Concórdia do Pará",9,"2020","Janeiro","Todas","Pará"
"47","Curionópolis",2,"2020","Janeiro","Todas","Pará"
"48","Curralinho",8,"2020","Janeiro","Todas","Pará"
"49","Dom Eliseu",9,"2020","Janeiro","Todas","Pará"
"50","Eldorado dos Carajás",7,"2020","Janeiro","Todas","Pará"
"51","Faro",6,"2020","Janeiro","Todas","Pará"
"52","Floresta do Araguaia",8,"2020","Janeiro","Todas","Pará"
"53","Garrafão do Norte",13,"2020","Janeiro","Todas","Pará"
"54","Ipixuna do Para",13,"2020","Janeiro","Todas","Pará"
"55","Itaituba",65,"2020","Janeiro","Todas","Pará"
"56","Jacundá",18,"2020","Janeiro","Todas","Pará"
"57","Limoeiro do Ajuru",10,"2020","Janeiro","Todas","Pará"
"58","Maraba",119,"2020","Janeiro","Todas","Pará"
"59","Maracanã",9,"2020","Janeiro","Todas","Pará"
"60","Marapanim",7,"2020","Janeiro","Todas","Pará"
"61","Medicilândia",5,"2020","Janeiro","Todas","Pará"
"62","Melgaço",3,"2020","Janeiro","Todas","Pará"
"63","Monte Alegre",28,"2020","Janeiro","Todas","Pará"
"64","Mãe do Rio",15,"2020","Janeiro","Todas","Pará"
"65","Abaetetuba",36,"2020","Janeiro","Todas","Pará"
"66","Acará",9,"2020","Janeiro","Todas","Pará"
"67","Almeirim",7,"2020","Janeiro","Todas","Pará"
"68","Altamira",49,"2020","Janeiro","Todas","Pará"
"69","Ananindeua",51,"2020","Janeiro","Todas","Pará"
"70","Anapu",6,"2020","Janeiro","Todas","Pará"
"71","Bagre",2,"2020","Janeiro","Todas","Pará"
"72","Barcarena",38,"2020","Janeiro","Todas","Pará"
"73","Belém",890,"2020","Janeiro","Todas","Pará"
"74","Benevides",17,"2020","Janeiro","Todas","Pará"
"75","Bonito",7,"2020","Janeiro","Todas","Pará"
"76","Bragança",28,"2020","Janeiro","Todas","Pará"
"77","Brasil Novo",5,"2020","Janeiro","Todas","Pará"
"78","Brejo Grande do Araguaia",1,"2020","Janeiro","Todas","Pará"
"79","Breu Branco",12,"2020","Janeiro","Todas","Pará"
"80","Breves",34,"2020","Janeiro","Todas","Pará"
"81","Cachoeira do Piriá",2,"2020","Janeiro","Todas","Pará"
"82","Cametá",19,"2020","Janeiro","Todas","Pará"
"83","Canaã dos Carajás",10,"2020","Janeiro","Todas","Pará"
"84","Capitão Poço",15,"2020","Janeiro","Todas","Pará"
