"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Água Doce",4,"2020","Janeiro","Todas","Santa Catarina"
"2","Águas Frias",3,"2020","Janeiro","Todas","Santa Catarina"
"3","Águas Mornas",7,"2020","Janeiro","Todas","Santa Catarina"
"4","Águas de Chapecó",6,"2020","Janeiro","Todas","Santa Catarina"
"5","Treze Tilias",3,"2020","Janeiro","Todas","Santa Catarina"
"6","Trombudo Central",2,"2020","Janeiro","Todas","Santa Catarina"
"7","Três Barras",15,"2020","Janeiro","Todas","Santa Catarina"
"8","Tubarao",68,"2020","Janeiro","Todas","Santa Catarina"
"9","Tunápolis",4,"2020","Janeiro","Todas","Santa Catarina"
"10","Turvo",5,"2020","Janeiro","Todas","Santa Catarina"
"11","Urubici",9,"2020","Janeiro","Todas","Santa Catarina"
"12","Urupema",4,"2020","Janeiro","Todas","Santa Catarina"
"13","Urussanga",13,"2020","Janeiro","Todas","Santa Catarina"
"14","Vargem",1,"2020","Janeiro","Todas","Santa Catarina"
"15","Vargem Bonita",4,"2020","Janeiro","Todas","Santa Catarina"
"16","Vargeão",2,"2020","Janeiro","Todas","Santa Catarina"
"17","Vidal Ramos",4,"2020","Janeiro","Todas","Santa Catarina"
"18","Videira",34,"2020","Janeiro","Todas","Santa Catarina"
"19","Vitor Meireles",2,"2020","Janeiro","Todas","Santa Catarina"
"20","Witmarsum",1,"2020","Janeiro","Todas","Santa Catarina"
"21","Xanxere",29,"2020","Janeiro","Todas","Santa Catarina"
"22","Xavantina",2,"2020","Janeiro","Todas","Santa Catarina"
"23","Xaxim",20,"2020","Janeiro","Todas","Santa Catarina"
"24","Zortéa",1,"2020","Janeiro","Todas","Santa Catarina"
"25","São Joaquim",12,"2020","Janeiro","Todas","Santa Catarina"
"26","São José",145,"2020","Janeiro","Todas","Santa Catarina"
"27","São José do Cedro",7,"2020","Janeiro","Todas","Santa Catarina"
"28","São João Batista",16,"2020","Janeiro","Todas","Santa Catarina"
"29","São João do Itaperiú",2,"2020","Janeiro","Todas","Santa Catarina"
"30","São João do Oeste",2,"2020","Janeiro","Todas","Santa Catarina"
"31","São João do Sul",1,"2020","Janeiro","Todas","Santa Catarina"
"32","São Lourenço do Oeste",16,"2020","Janeiro","Todas","Santa Catarina"
"33","São Ludgero",2,"2020","Janeiro","Todas","Santa Catarina"
