"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Regeneração",4,"2020","Junho","Todas","Piauí"
"2","Ribeiro Gonçalves",8,"2020","Junho","Todas","Piauí"
"3","Santa Filomena",4,"2020","Junho","Todas","Piauí"
"4","Santo Antônio de Lisboa",1,"2020","Junho","Todas","Piauí"
"5","Santo Inácio do Piauí",2,"2020","Junho","Todas","Piauí"
"6","Simões",6,"2020","Junho","Todas","Piauí"
"7","São Julião",3,"2020","Junho","Todas","Piauí"
"8","São Raimundo Nonato",17,"2020","Junho","Todas","Piauí"
"9","Teresina",65,"2020","Junho","Todas","Piauí"
"10","União",11,"2020","Junho","Todas","Piauí"
"11","Valença do Piauí",11,"2020","Junho","Todas","Piauí"
"12","Várzea Grande",1,"2020","Junho","Todas","Piauí"
"13","Guadalupe",1,"2020","Junho","Todas","Piauí"
"14","Ipiranga do Piauí",4,"2020","Junho","Todas","Piauí"
"15","Isaías Coelho",3,"2020","Junho","Todas","Piauí"
"16","Itainópolis",4,"2020","Junho","Todas","Piauí"
"17","Jerumenha",2,"2020","Junho","Todas","Piauí"
"18","José de Freitas",6,"2020","Junho","Todas","Piauí"
"19","Landri Sales",1,"2020","Junho","Todas","Piauí"
"20","Manoel Emídio",5,"2020","Junho","Todas","Piauí"
"21","Marcolândia",8,"2020","Junho","Todas","Piauí"
"22","Marcos Parente",2,"2020","Junho","Todas","Piauí"
"23","Monsenhor Gil",9,"2020","Junho","Todas","Piauí"
"24","Monsenhor Hipólito",2,"2020","Junho","Todas","Piauí"
"25","Nossa Senhora dos Remédios",1,"2020","Junho","Todas","Piauí"
"26","Parnaíba",33,"2020","Junho","Todas","Piauí"
"27","Picos",2,"2020","Junho","Todas","Piauí"
"28","Pio Ix",9,"2020","Junho","Todas","Piauí"
"29","Piracuruca",14,"2020","Junho","Todas","Piauí"
"30","Piripiri",23,"2020","Junho","Todas","Piauí"
"31","Porto",7,"2020","Junho","Todas","Piauí"
"32","Prata do Piauí",1,"2020","Junho","Todas","Piauí"
"33","Alagoinha do Piauí",2,"2020","Junho","Todas","Piauí"
"34","Alto Longá",12,"2020","Junho","Todas","Piauí"
"35","Altos",11,"2020","Junho","Todas","Piauí"
"36","Amarante",1,"2020","Junho","Todas","Piauí"
"37","Antônio Almeida",2,"2020","Junho","Todas","Piauí"
"38","Anísio de Abreu",9,"2020","Junho","Todas","Piauí"
"39","Avelino Lopes",1,"2020","Junho","Todas","Piauí"
"40","Barras",23,"2020","Junho","Todas","Piauí"
"41","Bertolínia",2,"2020","Junho","Todas","Piauí"
"42","Bocaina",5,"2020","Junho","Todas","Piauí"
"43","Cabeceiras do Piauí",6,"2020","Junho","Todas","Piauí"
"44","Canto do Buriti",8,"2020","Junho","Todas","Piauí"
"45","Caracol",3,"2020","Junho","Todas","Piauí"
"46","Castelo do Piauí",4,"2020","Junho","Todas","Piauí"
"47","Curimatá",4,"2020","Junho","Todas","Piauí"
"48","Demerval Lobão",5,"2020","Junho","Todas","Piauí"
"49","Dom Inocêncio",5,"2020","Junho","Todas","Piauí"
"50","Floriano",36,"2020","Junho","Todas","Piauí"
"51","Francisco Santos",1,"2020","Junho","Todas","Piauí"
"52","Fronteiras",7,"2020","Junho","Todas","Piauí"
