"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Valença",33,"2020","Junho","Todas","Rio de Janeiro"
"2","Vassouras",37,"2020","Junho","Todas","Rio de Janeiro"
"3","Volta Redonda",196,"2020","Junho","Todas","Rio de Janeiro"
"4","Santa Maria Madalena",3,"2020","Junho","Todas","Rio de Janeiro"
"5","Santo Antônio de Pádua",24,"2020","Junho","Todas","Rio de Janeiro"
"6","Sapucaia",8,"2020","Junho","Todas","Rio de Janeiro"
"7","Saquarema",34,"2020","Junho","Todas","Rio de Janeiro"
"8","Seropedica",39,"2020","Junho","Todas","Rio de Janeiro"
"9","Silva Jardim",8,"2020","Junho","Todas","Rio de Janeiro"
"10","Sumidouro",7,"2020","Junho","Todas","Rio de Janeiro"
"11","São Fidélis",20,"2020","Junho","Todas","Rio de Janeiro"
"12","São Francisco de Itabapoana",22,"2020","Junho","Todas","Rio de Janeiro"
"13","São Gonçalo",402,"2020","Junho","Todas","Rio de Janeiro"
"14","São José de Ubá",5,"2020","Junho","Todas","Rio de Janeiro"
"15","São José do Vale do Rio Preto",12,"2020","Junho","Todas","Rio de Janeiro"
"16","São João da Barra",1,"2020","Junho","Todas","Rio de Janeiro"
"17","São João de Meriti",183,"2020","Junho","Todas","Rio de Janeiro"
"18","São Pedro da Aldeia",32,"2020","Junho","Todas","Rio de Janeiro"
"19","São Sebastião do Alto",3,"2020","Junho","Todas","Rio de Janeiro"
"20","Tanguá",13,"2020","Junho","Todas","Rio de Janeiro"
"21","Teresopolis",89,"2020","Junho","Todas","Rio de Janeiro"
"22","Trajano de Moraes",5,"2020","Junho","Todas","Rio de Janeiro"
"23","Três Rios",52,"2020","Junho","Todas","Rio de Janeiro"
"24","Niteroi",420,"2020","Junho","Todas","Rio de Janeiro"
"25","Nova Friburgo",84,"2020","Junho","Todas","Rio de Janeiro"
"26","Nova Iguaçu",287,"2020","Junho","Todas","Rio de Janeiro"
"27","Paracambi",9,"2020","Junho","Todas","Rio de Janeiro"
"28","Paraiba do Sul",14,"2020","Junho","Todas","Rio de Janeiro"
