"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Urânia",6,"2020","Junho","Todas","São Paulo"
"2","Valentim Gentil",1,"2020","Junho","Todas","São Paulo"
"3","Valinhos",54,"2020","Junho","Todas","São Paulo"
"4","Valparaíso",12,"2020","Junho","Todas","São Paulo"
"5","Vargem",3,"2020","Junho","Todas","São Paulo"
"6","Vargem Grande Paulista",20,"2020","Junho","Todas","São Paulo"
"7","Vargem Grande do Sul",12,"2020","Junho","Todas","São Paulo"
"8","Varzea Paulista",24,"2020","Junho","Todas","São Paulo"
"9","Vera Cruz",7,"2020","Junho","Todas","São Paulo"
"10","Vinhedo",27,"2020","Junho","Todas","São Paulo"
"11","Viradouro",11,"2020","Junho","Todas","São Paulo"
"12","Vista Alegre do Alto",6,"2020","Junho","Todas","São Paulo"
"13","Votorantim",38,"2020","Junho","Todas","São Paulo"
"14","Votuporanga",36,"2020","Junho","Todas","São Paulo"
"15","Zacarias",1,"2020","Junho","Todas","São Paulo"
"16","Águas de Lindóia",10,"2020","Junho","Todas","São Paulo"
"17","Álvares Florence",1,"2020","Junho","Todas","São Paulo"
"18","Álvares Machado",8,"2020","Junho","Todas","São Paulo"
"19","Álvaro de Carvalho",1,"2020","Junho","Todas","São Paulo"
"20","Óleo",2,"2020","Junho","Todas","São Paulo"
"21","Tarumã",4,"2020","Junho","Todas","São Paulo"
"22","Tatui",61,"2020","Junho","Todas","São Paulo"
"23","Taubate",120,"2020","Junho","Todas","São Paulo"
"24","Teodoro Sampaio",8,"2020","Junho","Todas","São Paulo"
"25","Terra Roxa",5,"2020","Junho","Todas","São Paulo"
"26","Tiete",11,"2020","Junho","Todas","São Paulo"
"27","Timburi",1,"2020","Junho","Todas","São Paulo"
"28","Torre de Pedra",3,"2020","Junho","Todas","São Paulo"
"29","Torrinha",4,"2020","Junho","Todas","São Paulo"
"30","Tremembé",17,"2020","Junho","Todas","São Paulo"
"31","Tupa",27,"2020","Junho","Todas","São Paulo"
"32","Tupi Paulista",8,"2020","Junho","Todas","São Paulo"
"33","Turiúba",2,"2020","Junho","Todas","São Paulo"
"34","Turmalina",2,"2020","Junho","Todas","São Paulo"
"35","Ubarana",2,"2020","Junho","Todas","São Paulo"
"36","Ubatuba",36,"2020","Junho","Todas","São Paulo"
"37","Ubirajara",5,"2020","Junho","Todas","São Paulo"
"38","Uchoa",3,"2020","Junho","Todas","São Paulo"
