"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Sítio Novo",3,"2020","Maio","Todas","Rio Grande do Norte"
"2","Taboleiro Grande",3,"2020","Maio","Todas","Rio Grande do Norte"
"3","Taipu",4,"2020","Maio","Todas","Rio Grande do Norte"
"4","Tangará",2,"2020","Maio","Todas","Rio Grande do Norte"
"5","Tenente Laurentino Cruz",6,"2020","Maio","Todas","Rio Grande do Norte"
"6","Tibau",4,"2020","Maio","Todas","Rio Grande do Norte"
"7","Tibau do Sul",2,"2020","Maio","Todas","Rio Grande do Norte"
"8","Touros",23,"2020","Maio","Todas","Rio Grande do Norte"
"9","Upanema",5,"2020","Maio","Todas","Rio Grande do Norte"
"10","Vila Flor",1,"2020","Maio","Todas","Rio Grande do Norte"
"11","Santana do Matos",8,"2020","Maio","Todas","Rio Grande do Norte"
"12","Senador Elói de Souza",2,"2020","Maio","Todas","Rio Grande do Norte"
"13","Senador Georgino Avelino",3,"2020","Maio","Todas","Rio Grande do Norte"
"14","Serra Caiada",5,"2020","Maio","Todas","Rio Grande do Norte"
"15","Serra Negra do Norte",5,"2020","Maio","Todas","Rio Grande do Norte"
"16","Serra de São Bento",2,"2020","Maio","Todas","Rio Grande do Norte"
"17","Serrinha dos Pintos",1,"2020","Maio","Todas","Rio Grande do Norte"
"18","Severiano Melo",3,"2020","Maio","Todas","Rio Grande do Norte"
"19","São Bento do Norte",3,"2020","Maio","Todas","Rio Grande do Norte"
"20","São Bento do Trairí",1,"2020","Maio","Todas","Rio Grande do Norte"
"21","São Francisco do Oeste",3,"2020","Maio","Todas","Rio Grande do Norte"
"22","São Gonçalo do Amarante",35,"2020","Maio","Todas","Rio Grande do Norte"
"23","São José de Mipibu",22,"2020","Maio","Todas","Rio Grande do Norte"
"24","São José do Campestre",6,"2020","Maio","Todas","Rio Grande do Norte"
"25","São José do Seridó",2,"2020","Maio","Todas","Rio Grande do Norte"
"26","São Miguel",19,"2020","Maio","Todas","Rio Grande do Norte"
"27","São Miguel do Gostoso",5,"2020","Maio","Todas","Rio Grande do Norte"
"28","São Paulo do Potengi",11,"2020","Maio","Todas","Rio Grande do Norte"
"29","São Rafael",3,"2020","Maio","Todas","Rio Grande do Norte"
"30","São Tomé",8,"2020","Maio","Todas","Rio Grande do Norte"
"31","Martins",9,"2020","Maio","Todas","Rio Grande do Norte"
"32","Maxaranguape",6,"2020","Maio","Todas","Rio Grande do Norte"
"33","Monte Alegre",17,"2020","Maio","Todas","Rio Grande do Norte"
"34","Monte das Gameleiras",1,"2020","Maio","Todas","Rio Grande do Norte"
"35","Mossoró",181,"2020","Maio","Todas","Rio Grande do Norte"
"36","Natal",369,"2020","Maio","Todas","Rio Grande do Norte"
"37","Nova Cruz",14,"2020","Maio","Todas","Rio Grande do Norte"
"38","Parazinho",2,"2020","Maio","Todas","Rio Grande do Norte"
"39","Parelhas",11,"2020","Maio","Todas","Rio Grande do Norte"
"40","Parnamirim",73,"2020","Maio","Todas","Rio Grande do Norte"
"41","Passa e Fica",7,"2020","Maio","Todas","Rio Grande do Norte"
"42","Pedra Grande",2,"2020","Maio","Todas","Rio Grande do Norte"
"43","Pedra Preta",1,"2020","Maio","Todas","Rio Grande do Norte"
"44","Pedro Velho",6,"2020","Maio","Todas","Rio Grande do Norte"
"45","Pilões",2,"2020","Maio","Todas","Rio Grande do Norte"
"46","Rafael Godeiro",3,"2020","Maio","Todas","Rio Grande do Norte"
"47","Riachuelo",4,"2020","Maio","Todas","Rio Grande do Norte"
"48","Rio do Fogo",10,"2020","Maio","Todas","Rio Grande do Norte"
"49","Ruy Barbosa",2,"2020","Maio","Todas","Rio Grande do Norte"
"50","Santa Cruz",19,"2020","Maio","Todas","Rio Grande do Norte"
"51","Extremoz",21,"2020","Maio","Todas","Rio Grande do Norte"
"52","Florânia",10,"2020","Maio","Todas","Rio Grande do Norte"
"53","Frutuoso Gomes",5,"2020","Maio","Todas","Rio Grande do Norte"
"54","Goianinha",12,"2020","Maio","Todas","Rio Grande do Norte"
"55","Governador Dix-Sept Rosado",9,"2020","Maio","Todas","Rio Grande do Norte"
"56","Grossos",10,"2020","Maio","Todas","Rio Grande do Norte"
"57","Ielmo Marinho",4,"2020","Maio","Todas","Rio Grande do Norte"
"58","Itajá",3,"2020","Maio","Todas","Rio Grande do Norte"
"59","Itaú",2,"2020","Maio","Todas","Rio Grande do Norte"
"60","Jardim de Piranhas",7,"2020","Maio","Todas","Rio Grande do Norte"
"61","Jardim do Seridó",7,"2020","Maio","Todas","Rio Grande do Norte"
"62","Jaçanã",4,"2020","Maio","Todas","Rio Grande do Norte"
"63","José da Penha",4,"2020","Maio","Todas","Rio Grande do Norte"
"64","João Câmara",19,"2020","Maio","Todas","Rio Grande do Norte"
"65","Jucurutu",8,"2020","Maio","Todas","Rio Grande do Norte"
"66","Lagoa Nova",10,"2020","Maio","Todas","Rio Grande do Norte"
"67","Lagoa de Pedras",4,"2020","Maio","Todas","Rio Grande do Norte"
"68","Macaíba",38,"2020","Maio","Todas","Rio Grande do Norte"
"69","Major Sales",6,"2020","Maio","Todas","Rio Grande do Norte"
"70","Marcelino Vieira",3,"2020","Maio","Todas","Rio Grande do Norte"
"71","Acari",6,"2020","Maio","Todas","Rio Grande do Norte"
"72","Antônio Martins",7,"2020","Maio","Todas","Rio Grande do Norte"
"73","Apodi",17,"2020","Maio","Todas","Rio Grande do Norte"
"74","Areia Branca",21,"2020","Maio","Todas","Rio Grande do Norte"
"75","Arez",6,"2020","Maio","Todas","Rio Grande do Norte"
"76","Açu",28,"2020","Maio","Todas","Rio Grande do Norte"
"77","Baraúna",10,"2020","Maio","Todas","Rio Grande do Norte"
"78","Baía Formosa",6,"2020","Maio","Todas","Rio Grande do Norte"
"79","Bento Fernandes",1,"2020","Maio","Todas","Rio Grande do Norte"
"80","Bom Jesus",5,"2020","Maio","Todas","Rio Grande do Norte"
"81","Caicó",43,"2020","Maio","Todas","Rio Grande do Norte"
"82","Caiçara do Rio do Vento",3,"2020","Maio","Todas","Rio Grande do Norte"
"83","Campo Grande",8,"2020","Maio","Todas","Rio Grande do Norte"
"84","Canguaretama",8,"2020","Maio","Todas","Rio Grande do Norte"
"85","Caraúbas",12,"2020","Maio","Todas","Rio Grande do Norte"
"86","Carnaubais",2,"2020","Maio","Todas","Rio Grande do Norte"
"87","Ceará-Mirim",39,"2020","Maio","Todas","Rio Grande do Norte"
"88","Cruzeta",4,"2020","Maio","Todas","Rio Grande do Norte"
"89","Currais Novos",30,"2020","Maio","Todas","Rio Grande do Norte"
"90","Equador",1,"2020","Maio","Todas","Rio Grande do Norte"
