"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Theobroma",5,"2020","Maio","Todas","Rondônia"
"2","Urupá",6,"2020","Maio","Todas","Rondônia"
"3","Vale do Anari",3,"2020","Maio","Todas","Rondônia"
"4","Vale do Paraíso",6,"2020","Maio","Todas","Rondônia"
"5","Vilhena",45,"2020","Maio","Todas","Rondônia"
"6","Machadinho D'oeste",11,"2020","Maio","Todas","Rondônia"
"7","Ministro Andreazza",2,"2020","Maio","Todas","Rondônia"
"8","Mirante da Serra",4,"2020","Maio","Todas","Rondônia"
"9","Nova Brasilândia D'oeste",3,"2020","Maio","Todas","Rondônia"
"10","Nova Mamoré",9,"2020","Maio","Todas","Rondônia"
"11","Nova União",1,"2020","Maio","Todas","Rondônia"
"12","Novo Horizonte do Oeste",2,"2020","Maio","Todas","Rondônia"
"13","Ouro Preto do Oeste",20,"2020","Maio","Todas","Rondônia"
"14","Parecis",2,"2020","Maio","Todas","Rondônia"
"15","Pimenta Bueno",20,"2020","Maio","Todas","Rondônia"
"16","Porto Velho",370,"2020","Maio","Todas","Rondônia"
"17","Presidente Médici",15,"2020","Maio","Todas","Rondônia"
"18","Primavera de Rondônia",2,"2020","Maio","Todas","Rondônia"
"19","Rio Crespo",2,"2020","Maio","Todas","Rondônia"
"20","Santa Luzia D'oeste",5,"2020","Maio","Todas","Rondônia"
"21","Seringueiras",7,"2020","Maio","Todas","Rondônia"
"22","São Felipe D'oeste",2,"2020","Maio","Todas","Rondônia"
"23","São Francisco do Guaporé",10,"2020","Maio","Todas","Rondônia"
"24","São Miguel do Guaporé",11,"2020","Maio","Todas","Rondônia"
"25","Teixeirópolis",3,"2020","Maio","Todas","Rondônia"
"26","Alta Floresta D'oeste",9,"2020","Maio","Todas","Rondônia"
"27","Alto Alegre dos Parecis",2,"2020","Maio","Todas","Rondônia"
"28","Alto Paraíso",4,"2020","Maio","Todas","Rondônia"
"29","Alvorada D'oeste",7,"2020","Maio","Todas","Rondônia"
"30","Ariquemes",56,"2020","Maio","Todas","Rondônia"
"31","Buritis",10,"2020","Maio","Todas","Rondônia"
"32","Cacaulândia",1,"2020","Maio","Todas","Rondônia"
"33","Cacoal",45,"2020","Maio","Todas","Rondônia"
"34","Campo Novo de Rondônia",4,"2020","Maio","Todas","Rondônia"
"35","Candeias do Jamari",8,"2020","Maio","Todas","Rondônia"
"36","Cerejeiras",4,"2020","Maio","Todas","Rondônia"
"37","Chupinguaia",2,"2020","Maio","Todas","Rondônia"
"38","Colorado do Oeste",5,"2020","Maio","Todas","Rondônia"
"39","Corumbiara",1,"2020","Maio","Todas","Rondônia"
"40","Espigão do Oeste",12,"2020","Maio","Todas","Rondônia"
"41","Governador Jorge Teixeira",2,"2020","Maio","Todas","Rondônia"
"42","Guajara-Mirim",24,"2020","Maio","Todas","Rondônia"
"43","Itapuã do Oeste",3,"2020","Maio","Todas","Rondônia"
"44","Jaru",21,"2020","Maio","Todas","Rondônia"
"45","Ji-Paraná",58,"2020","Maio","Todas","Rondônia"
