"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Santa Terezinha do Tocantins",1,"2020","Maio","Todas","Tocantins"
"2","Silvanópolis",3,"2020","Maio","Todas","Tocantins"
"3","São Bento do Tocantins",2,"2020","Maio","Todas","Tocantins"
"4","São Miguel do Tocantins",9,"2020","Maio","Todas","Tocantins"
"5","São Sebastião do Tocantins",2,"2020","Maio","Todas","Tocantins"
"6","São Valério da Natividade",2,"2020","Maio","Todas","Tocantins"
"7","Sítio Novo do Tocantins",6,"2020","Maio","Todas","Tocantins"
"8","Taguatinga",5,"2020","Maio","Todas","Tocantins"
"9","Talismã",2,"2020","Maio","Todas","Tocantins"
"10","Tocantinópolis",11,"2020","Maio","Todas","Tocantins"
"11","Tupiratins",2,"2020","Maio","Todas","Tocantins"
"12","Wanderlândia",2,"2020","Maio","Todas","Tocantins"
"13","Xambioá",8,"2020","Maio","Todas","Tocantins"
"14","Palmeiras do Tocantins",2,"2020","Maio","Todas","Tocantins"
"15","Palmeirópolis",3,"2020","Maio","Todas","Tocantins"
"16","Paraiso do Tocantins",15,"2020","Maio","Todas","Tocantins"
"17","Paranã",3,"2020","Maio","Todas","Tocantins"
"18","Pau D'arco",1,"2020","Maio","Todas","Tocantins"
"19","Pedro Afonso",8,"2020","Maio","Todas","Tocantins"
"20","Pequizeiro",2,"2020","Maio","Todas","Tocantins"
"21","Pindorama do Tocantins",1,"2020","Maio","Todas","Tocantins"
"22","Pium",6,"2020","Maio","Todas","Tocantins"
"23","Ponte Alta do Bom Jesus",2,"2020","Maio","Todas","Tocantins"
"24","Ponte Alta do Tocantins",2,"2020","Maio","Todas","Tocantins"
"25","Porto Alegre do Tocantins",2,"2020","Maio","Todas","Tocantins"
"26","Porto Nacional",24,"2020","Maio","Todas","Tocantins"
"27","Presidente Kennedy",1,"2020","Maio","Todas","Tocantins"
"28","Recursolândia",1,"2020","Maio","Todas","Tocantins"
"29","Riachinho",3,"2020","Maio","Todas","Tocantins"
"30","Rio Sono",3,"2020","Maio","Todas","Tocantins"
"31","Santa Fé do Araguaia",6,"2020","Maio","Todas","Tocantins"
"32","Santa Maria do Tocantins",1,"2020","Maio","Todas","Tocantins"
"33","Santa Rosa do Tocantins",3,"2020","Maio","Todas","Tocantins"
"34","Guaraí",9,"2020","Maio","Todas","Tocantins"
"35","Gurupi",32,"2020","Maio","Todas","Tocantins"
"36","Itacajá",8,"2020","Maio","Todas","Tocantins"
"37","Itapiratins",1,"2020","Maio","Todas","Tocantins"
"38","Itaporã do Tocantins",1,"2020","Maio","Todas","Tocantins"
"39","Juarina",1,"2020","Maio","Todas","Tocantins"
"40","Lagoa da Confusão",2,"2020","Maio","Todas","Tocantins"
"41","Lajeado",1,"2020","Maio","Todas","Tocantins"
"42","Luzinópolis",2,"2020","Maio","Todas","Tocantins"
"43","Mateiros",1,"2020","Maio","Todas","Tocantins"
"44","Maurilândia do Tocantins",1,"2020","Maio","Todas","Tocantins"
"45","Miracema do Tocantins",7,"2020","Maio","Todas","Tocantins"
"46","Monte Santo do Tocantins",3,"2020","Maio","Todas","Tocantins"
"47","Monte do Carmo",3,"2020","Maio","Todas","Tocantins"
"48","Nazaré",2,"2020","Maio","Todas","Tocantins"
"49","Nova Olinda",4,"2020","Maio","Todas","Tocantins"
"50","Nova Rosalândia",3,"2020","Maio","Todas","Tocantins"
"51","Novo Acordo",1,"2020","Maio","Todas","Tocantins"
"52","Palmas",98,"2020","Maio","Todas","Tocantins"
"53","Palmeirante",1,"2020","Maio","Todas","Tocantins"
"54","Buriti do Tocantins",2,"2020","Maio","Todas","Tocantins"
"55","Cachoeirinha",1,"2020","Maio","Todas","Tocantins"
"56","Campos Lindos",2,"2020","Maio","Todas","Tocantins"
"57","Cariri do Tocantins",1,"2020","Maio","Todas","Tocantins"
"58","Carrasco Bonito",2,"2020","Maio","Todas","Tocantins"
"59","Caseara",2,"2020","Maio","Todas","Tocantins"
"60","Centenário",1,"2020","Maio","Todas","Tocantins"
