"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Acrelândia",3,"2020","Março","Todas","Acre"
"2","Assis Brasil",1,"2020","Março","Todas","Acre"
"3","Brasiléia",7,"2020","Março","Todas","Acre"
"4","Bujari",2,"2020","Março","Todas","Acre"
"5","Cruzeiro do Sul",33,"2020","Março","Todas","Acre"
"6","Epitaciolândia",9,"2020","Março","Todas","Acre"
"7","Feijó",13,"2020","Março","Todas","Acre"
"8","Mâncio Lima",5,"2020","Março","Todas","Acre"
"9","Plácido de Castro",6,"2020","Março","Todas","Acre"
"10","Porto Acre",6,"2020","Março","Todas","Acre"
"11","Rio Branco",182,"2020","Março","Todas","Acre"
"12","Rodrigues Alves",5,"2020","Março","Todas","Acre"
"13","Sena Madureira",20,"2020","Março","Todas","Acre"
"14","Senador Guiomard",13,"2020","Março","Todas","Acre"
"15","Tarauacá",25,"2020","Março","Todas","Acre"
"16","Xapuri",7,"2020","Março","Todas","Acre"
