"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vitoria da Conquista",186,"2020","Março","Todas","Bahia"
"2","Xique-Xique",18,"2020","Março","Todas","Bahia"
"3","São José da Vitória",6,"2020","Março","Todas","Bahia"
"4","São Sebastião do Passé",18,"2020","Março","Todas","Bahia"
"5","Taperoá",3,"2020","Março","Todas","Bahia"
"6","Tapiramutá",1,"2020","Março","Todas","Bahia"
"7","Teixeira de Freitas",76,"2020","Março","Todas","Bahia"
"8","Teodoro Sampaio",5,"2020","Março","Todas","Bahia"
"9","Teofilândia",4,"2020","Março","Todas","Bahia"
"10","Terra Nova",8,"2020","Março","Todas","Bahia"
"11","Tremedal",8,"2020","Março","Todas","Bahia"
"12","Tucano",11,"2020","Março","Todas","Bahia"
"13","Uauá",15,"2020","Março","Todas","Bahia"
"14","Ubaira",12,"2020","Março","Todas","Bahia"
"15","Ubaitaba",7,"2020","Março","Todas","Bahia"
"16","Uibaí",8,"2020","Março","Todas","Bahia"
"17","Una",5,"2020","Março","Todas","Bahia"
"18","Urandi",8,"2020","Março","Todas","Bahia"
"19","Uruçuca",8,"2020","Março","Todas","Bahia"
"20","Utinga",6,"2020","Março","Todas","Bahia"
"21","Valença",29,"2020","Março","Todas","Bahia"
"22","Vera Cruz",6,"2020","Março","Todas","Bahia"
"23","Sapeaçu",4,"2020","Março","Todas","Bahia"
"24","Saúde",17,"2020","Março","Todas","Bahia"
"25","Seabra",13,"2020","Março","Todas","Bahia"
"26","Sebastião Laranjeiras",4,"2020","Março","Todas","Bahia"
"27","Senhor do Bonfim",45,"2020","Março","Todas","Bahia"
"28","Sento Sé",6,"2020","Março","Todas","Bahia"
"29","Serra Preta",9,"2020","Março","Todas","Bahia"
"30","Serra do Ramalho",14,"2020","Março","Todas","Bahia"
"31","Serrinha",38,"2020","Março","Todas","Bahia"
"32","Serrolândia",10,"2020","Março","Todas","Bahia"
"33","Simões Filho",71,"2020","Março","Todas","Bahia"
"34","Sobradinho",14,"2020","Março","Todas","Bahia"
"35","Sátiro Dias",10,"2020","Março","Todas","Bahia"
"36","São Desidério",11,"2020","Março","Todas","Bahia"
"37","São Domingos",4,"2020","Março","Todas","Bahia"
"38","São Felipe",17,"2020","Março","Todas","Bahia"
"39","São Félix",14,"2020","Março","Todas","Bahia"
"40","São Félix do Coribe",5,"2020","Março","Todas","Bahia"
"41","São Gabriel",7,"2020","Março","Todas","Bahia"
"42","São Gonçalo dos Campos",7,"2020","Março","Todas","Bahia"
"43","Riacho de Santana",9,"2020","Março","Todas","Bahia"
"44","Riachão das Neves",12,"2020","Março","Todas","Bahia"
"45","Riachão do Jacuípe",10,"2020","Março","Todas","Bahia"
"46","Ribeira do Pombal",17,"2020","Março","Todas","Bahia"
"47","Rio de Contas",5,"2020","Março","Todas","Bahia"
"48","Rio do Antônio",5,"2020","Março","Todas","Bahia"
"49","Salvador",1080,"2020","Março","Todas","Bahia"
"50","Santa Bárbara",10,"2020","Março","Todas","Bahia"
"51","Santa Cruz Cabrália",5,"2020","Março","Todas","Bahia"
"52","Santa Cruz da Vitória",5,"2020","Março","Todas","Bahia"
"53","Santa Inês",7,"2020","Março","Todas","Bahia"
"54","Santa Luzia",6,"2020","Março","Todas","Bahia"
"55","Santa Maria da Vitória",12,"2020","Março","Todas","Bahia"
"56","Santa Rita de Cássia",7,"2020","Março","Todas","Bahia"
"57","Santaluz",4,"2020","Março","Todas","Bahia"
"58","Santana",20,"2020","Março","Todas","Bahia"
"59","Santanópolis",4,"2020","Março","Todas","Bahia"
"60","Santo Amaro",30,"2020","Março","Todas","Bahia"
"61","Santo Estêvão",48,"2020","Março","Todas","Bahia"
"62","Sao Francisco do Conde",11,"2020","Março","Todas","Bahia"
"63","Palmas de Monte Alto",14,"2020","Março","Todas","Bahia"
"64","Paramirim",11,"2020","Março","Todas","Bahia"
"65","Paulo Afonso",53,"2020","Março","Todas","Bahia"
"66","Pedro Alexandre",2,"2020","Março","Todas","Bahia"
"67","Pedrão",4,"2020","Março","Todas","Bahia"
"68","Pindobaçu",6,"2020","Março","Todas","Bahia"
"69","Piripá",6,"2020","Março","Todas","Bahia"
"70","Piritiba",12,"2020","Março","Todas","Bahia"
"71","Planalto",9,"2020","Março","Todas","Bahia"
"72","Porto Seguro",14,"2020","Março","Todas","Bahia"
"73","Potiraguá",3,"2020","Março","Todas","Bahia"
"74","Poções",20,"2020","Março","Todas","Bahia"
"75","Prado",11,"2020","Março","Todas","Bahia"
"76","Presidente Jânio Quadros",11,"2020","Março","Todas","Bahia"
"77","Presidente Tancredo Neves",11,"2020","Março","Todas","Bahia"
"78","Pé de Serra",8,"2020","Março","Todas","Bahia"
"79","Queimadas",14,"2020","Março","Todas","Bahia"
"80","Quijingue",12,"2020","Março","Todas","Bahia"
"81","Rafael Jambeiro",11,"2020","Março","Todas","Bahia"
"82","Remanso",13,"2020","Março","Todas","Bahia"
"83","Monte Santo",19,"2020","Março","Todas","Bahia"
"84","Morpará",1,"2020","Março","Todas","Bahia"
"85","Morro do Chapéu",15,"2020","Março","Todas","Bahia"
"86","Mortugaba",4,"2020","Março","Todas","Bahia"
"87","Mucugê",2,"2020","Março","Todas","Bahia"
"88","Mucuri",12,"2020","Março","Todas","Bahia"
"89","Muniz Ferreira",1,"2020","Março","Todas","Bahia"
"90","Mutuípe",11,"2020","Março","Todas","Bahia"
"91","Nazaré",7,"2020","Março","Todas","Bahia"
"92","Nilo Peçanha",2,"2020","Março","Todas","Bahia"
"93","Nordestina",4,"2020","Março","Todas","Bahia"
"94","Nova Fátima",1,"2020","Março","Todas","Bahia"
"95","Nova Soure",8,"2020","Março","Todas","Bahia"
"96","Nova Viçosa",18,"2020","Março","Todas","Bahia"
"97","Novo Horizonte",5,"2020","Março","Todas","Bahia"
"98","Novo Triunfo",3,"2020","Março","Todas","Bahia"
"99","Olindina",7,"2020","Março","Todas","Bahia"
"100","Oliveira dos Brejinhos",11,"2020","Março","Todas","Bahia"
"101","Ouriçangas",6,"2020","Março","Todas","Bahia"
"102","Ourolândia",11,"2020","Março","Todas","Bahia"
"103","Jussara",6,"2020","Março","Todas","Bahia"
"104","Jussiape",7,"2020","Março","Todas","Bahia"
"105","Lafaiete Coutinho",3,"2020","Março","Todas","Bahia"
"106","Laje",3,"2020","Março","Todas","Bahia"
"107","Lamarão",8,"2020","Março","Todas","Bahia"
"108","Lençóis",1,"2020","Março","Todas","Bahia"
"109","Licínio de Almeida",4,"2020","Março","Todas","Bahia"
"110","Livramento de Nossa Senhora",19,"2020","Março","Todas","Bahia"
"111","Luís Eduardo Magalhães",29,"2020","Março","Todas","Bahia"
"112","Macaúbas",22,"2020","Março","Todas","Bahia"
