"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Simão",13,"2020","Março","Todas","Goiás"
"2","Teresina de Goiás",1,"2020","Março","Todas","Goiás"
"3","Terezópolis de Goiás",4,"2020","Março","Todas","Goiás"
"4","Trombas",2,"2020","Março","Todas","Goiás"
"5","Turvelândia",1,"2020","Março","Todas","Goiás"
"6","Uruana",9,"2020","Março","Todas","Goiás"
"7","Uruaçu",28,"2020","Março","Todas","Goiás"
"8","Urutaí",2,"2020","Março","Todas","Goiás"
"9","Valparaíso de Goiás",34,"2020","Março","Todas","Goiás"
"10","Varjão",4,"2020","Março","Todas","Goiás"
"11","Vianópolis",7,"2020","Março","Todas","Goiás"
"12","Vicentinópolis",6,"2020","Março","Todas","Goiás"
"13","Vila Propício",2,"2020","Março","Todas","Goiás"
"14","Água Fria de Goiás",3,"2020","Março","Todas","Goiás"
"15","Águas Lindas de Goiás",41,"2020","Março","Todas","Goiás"
"16","Santa Helena de Goias",26,"2020","Março","Todas","Goiás"
"17","Santa Rita do Araguaia",3,"2020","Março","Todas","Goiás"
"18","Santa Rita do Novo Destino",3,"2020","Março","Todas","Goiás"
"19","Santa Rosa de Goiás",4,"2020","Março","Todas","Goiás"
"20","Santa Terezinha de Goiás",11,"2020","Março","Todas","Goiás"
"21","Santo Antônio da Barra",5,"2020","Março","Todas","Goiás"
"22","Santo Antônio de Goiás",3,"2020","Março","Todas","Goiás"
"23","Santo Antônio do Descoberto",12,"2020","Março","Todas","Goiás"
"24","Senador Canedo",41,"2020","Março","Todas","Goiás"
"25","Serranópolis",3,"2020","Março","Todas","Goiás"
"26","Silvânia",13,"2020","Março","Todas","Goiás"
"27","Simolândia",3,"2020","Março","Todas","Goiás"
"28","São Domingos",4,"2020","Março","Todas","Goiás"
"29","São Francisco de Goiás",4,"2020","Março","Todas","Goiás"
"30","São João D'aliança",5,"2020","Março","Todas","Goiás"
"31","São João da Paraúna",1,"2020","Março","Todas","Goiás"
"32","São Luís de Montes Belos",18,"2020","Março","Todas","Goiás"
"33","São Miguel do Araguaia",15,"2020","Março","Todas","Goiás"
"34","São Miguel do Passa Quatro",4,"2020","Março","Todas","Goiás"
"35","São Patrício",1,"2020","Março","Todas","Goiás"
"36","Palminópolis",1,"2020","Março","Todas","Goiás"
"37","Paranaiguara",9,"2020","Março","Todas","Goiás"
"38","Paraúna",6,"2020","Março","Todas","Goiás"
"39","Perolândia",2,"2020","Março","Todas","Goiás"
"40","Petrolina de Goiás",3,"2020","Março","Todas","Goiás"
"41","Pilar de Goiás",3,"2020","Março","Todas","Goiás"
"42","Piracanjuba",18,"2020","Março","Todas","Goiás"
"43","Piranhas",6,"2020","Março","Todas","Goiás"
"44","Planaltina",34,"2020","Março","Todas","Goiás"
"45","Pontalina",4,"2020","Março","Todas","Goiás"
"46","Porangatu",14,"2020","Março","Todas","Goiás"
"47","Posse",10,"2020","Março","Todas","Goiás"
"48","Professor Jamil",1,"2020","Março","Todas","Goiás"
"49","Quirinopolis",2,"2020","Março","Todas","Goiás"
"50","Rialma",3,"2020","Março","Todas","Goiás"
"51","Rianápolis",1,"2020","Março","Todas","Goiás"
"52","Rio Quente",2,"2020","Março","Todas","Goiás"
"53","Rio Verde",95,"2020","Março","Todas","Goiás"
"54","Sanclerlândia",1,"2020","Março","Todas","Goiás"
"55","Santa Fé de Goiás",3,"2020","Março","Todas","Goiás"
"56","Montividiu do Norte",1,"2020","Março","Todas","Goiás"
"57","Morrinhos",32,"2020","Março","Todas","Goiás"
"58","Mossâmedes",1,"2020","Março","Todas","Goiás"
"59","Mundo Novo",2,"2020","Março","Todas","Goiás"
"60","Nazário",6,"2020","Março","Todas","Goiás"
"61","Nerópolis",4,"2020","Março","Todas","Goiás"
"62","Niquelandia",16,"2020","Março","Todas","Goiás"
"63","Nova América",2,"2020","Março","Todas","Goiás"
