"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Água Comprida",2,"2020","Março","Todas","Minas Gerais"
"2","Águas Formosas",9,"2020","Março","Todas","Minas Gerais"
"3","Águas Vermelhas",8,"2020","Março","Todas","Minas Gerais"
"4","Urucuia",3,"2020","Março","Todas","Minas Gerais"
"5","Vargem Alegre",7,"2020","Março","Todas","Minas Gerais"
"6","Vargem Bonita",4,"2020","Março","Todas","Minas Gerais"
"7","Varginha",70,"2020","Março","Todas","Minas Gerais"
"8","Varjão de Minas",1,"2020","Março","Todas","Minas Gerais"
"9","Varzea da Palma",11,"2020","Março","Todas","Minas Gerais"
"10","Varzelândia",6,"2020","Março","Todas","Minas Gerais"
"11","Vazante",6,"2020","Março","Todas","Minas Gerais"
"12","Verdelândia",1,"2020","Março","Todas","Minas Gerais"
"13","Veredinha",1,"2020","Março","Todas","Minas Gerais"
"14","Vermelho Novo",3,"2020","Março","Todas","Minas Gerais"
"15","Vespasiano",38,"2020","Março","Todas","Minas Gerais"
"16","Vieiras",2,"2020","Março","Todas","Minas Gerais"
"17","Virginópolis",8,"2020","Março","Todas","Minas Gerais"
"18","Virgolândia",2,"2020","Março","Todas","Minas Gerais"
"19","Virgínia",6,"2020","Março","Todas","Minas Gerais"
"20","Visconde do Rio Branco",20,"2020","Março","Todas","Minas Gerais"
"21","Viçosa",32,"2020","Março","Todas","Minas Gerais"
"22","Volta Grande",4,"2020","Março","Todas","Minas Gerais"
"23","Água Boa",6,"2020","Março","Todas","Minas Gerais"
"24","Tocantins",12,"2020","Março","Todas","Minas Gerais"
"25","Tocos do Moji",3,"2020","Março","Todas","Minas Gerais"
"26","Toledo",5,"2020","Março","Todas","Minas Gerais"
"27","Tombos",7,"2020","Março","Todas","Minas Gerais"
"28","Três Corações",36,"2020","Março","Todas","Minas Gerais"
"29","Três Marias",9,"2020","Março","Todas","Minas Gerais"
"30","Três Pontas",31,"2020","Março","Todas","Minas Gerais"
"31","Tumiritinga",6,"2020","Março","Todas","Minas Gerais"
"32","Tupaciguara",15,"2020","Março","Todas","Minas Gerais"
"33","Turmalina",13,"2020","Março","Todas","Minas Gerais"
"34","Turvolândia",2,"2020","Março","Todas","Minas Gerais"
