"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Uruçuí",8,"2020","Março","Todas","Piauí"
"2","Valença do Piauí",11,"2020","Março","Todas","Piauí"
"3","Várzea Grande",4,"2020","Março","Todas","Piauí"
"4","Porto",4,"2020","Março","Todas","Piauí"
"5","Prata do Piauí",2,"2020","Março","Todas","Piauí"
"6","Regeneração",5,"2020","Março","Todas","Piauí"
"7","Ribeiro Gonçalves",5,"2020","Março","Todas","Piauí"
"8","Santa Cruz do Piauí",8,"2020","Março","Todas","Piauí"
"9","Santa Filomena",1,"2020","Março","Todas","Piauí"
"10","Santa Luz",5,"2020","Março","Todas","Piauí"
"11","Santo Antônio de Lisboa",3,"2020","Março","Todas","Piauí"
"12","Santo Inácio do Piauí",4,"2020","Março","Todas","Piauí"
"13","Simplício Mendes",8,"2020","Março","Todas","Piauí"
"14","Simões",9,"2020","Março","Todas","Piauí"
"15","Socorro do Piauí",3,"2020","Março","Todas","Piauí"
"16","São Francisco do Piauí",2,"2020","Março","Todas","Piauí"
"17","São Félix do Piauí",4,"2020","Março","Todas","Piauí"
"18","São José do Piauí",7,"2020","Março","Todas","Piauí"
"19","São João do Piauí",21,"2020","Março","Todas","Piauí"
"20","São Julião",4,"2020","Março","Todas","Piauí"
"21","São Raimundo Nonato",23,"2020","Março","Todas","Piauí"
"22","Teresina",122,"2020","Março","Todas","Piauí"
"23","União",21,"2020","Março","Todas","Piauí"
"24","Manoel Emídio",3,"2020","Março","Todas","Piauí"
"25","Marcolândia",4,"2020","Março","Todas","Piauí"
"26","Marcos Parente",3,"2020","Março","Todas","Piauí"
"27","Matias Olímpio",14,"2020","Março","Todas","Piauí"
"28","Miguel Alves",10,"2020","Março","Todas","Piauí"
"29","Monsenhor Gil",3,"2020","Março","Todas","Piauí"
"30","Monsenhor Hipólito",2,"2020","Março","Todas","Piauí"
"31","Nazaré do Piauí",2,"2020","Março","Todas","Piauí"
"32","Nossa Senhora dos Remédios",2,"2020","Março","Todas","Piauí"
"33","Novo Oriente do Piauí",1,"2020","Março","Todas","Piauí"
"34","Oeiras",38,"2020","Março","Todas","Piauí"
"35","Paes Landim",1,"2020","Março","Todas","Piauí"
"36","Palmeirais",6,"2020","Março","Todas","Piauí"
"37","Parnaíba",55,"2020","Março","Todas","Piauí"
"38","Paulistana",21,"2020","Março","Todas","Piauí"
"39","Picos",31,"2020","Março","Todas","Piauí"
"40","Pimenteiras",7,"2020","Março","Todas","Piauí"
"41","Pio Ix",5,"2020","Março","Todas","Piauí"
"42","Piracuruca",14,"2020","Março","Todas","Piauí"
"43","Piripiri",43,"2020","Março","Todas","Piauí"
"44","Curimatá",4,"2020","Março","Todas","Piauí"
"45","Demerval Lobão",9,"2020","Março","Todas","Piauí"
"46","Dom Inocêncio",4,"2020","Março","Todas","Piauí"
"47","Eliseu Martins",10,"2020","Março","Todas","Piauí"
"48","Floriano",34,"2020","Março","Todas","Piauí"
"49","Francinópolis",2,"2020","Março","Todas","Piauí"
"50","Francisco Ayres",5,"2020","Março","Todas","Piauí"
"51","Francisco Santos",1,"2020","Março","Todas","Piauí"
"52","Fronteiras",7,"2020","Março","Todas","Piauí"
"53","Guadalupe",3,"2020","Março","Todas","Piauí"
"54","Inhuma",9,"2020","Março","Todas","Piauí"
"55","Ipiranga do Piauí",3,"2020","Março","Todas","Piauí"
"56","Isaías Coelho",1,"2020","Março","Todas","Piauí"
"57","Itainópolis",7,"2020","Março","Todas","Piauí"
"58","Jaicós",15,"2020","Março","Todas","Piauí"
"59","Jerumenha",4,"2020","Março","Todas","Piauí"
"60","Joaquim Pires",5,"2020","Março","Todas","Piauí"
"61","José de Freitas",11,"2020","Março","Todas","Piauí"
"62","Landri Sales",6,"2020","Março","Todas","Piauí"
"63","Luzilândia",13,"2020","Março","Todas","Piauí"
"64","Agricolândia",2,"2020","Março","Todas","Piauí"
"65","Alagoinha do Piauí",7,"2020","Março","Todas","Piauí"
"66","Alto Longá",5,"2020","Março","Todas","Piauí"
"67","Altos",20,"2020","Março","Todas","Piauí"
"68","Amarante",13,"2020","Março","Todas","Piauí"
"69","Antônio Almeida",1,"2020","Março","Todas","Piauí"
"70","Anísio de Abreu",8,"2020","Março","Todas","Piauí"
"71","Barras",12,"2020","Março","Todas","Piauí"
"72","Beneditinos",1,"2020","Março","Todas","Piauí"
"73","Bertolínia",3,"2020","Março","Todas","Piauí"
"74","Bocaina",9,"2020","Março","Todas","Piauí"
"75","Bom Jesus",8,"2020","Março","Todas","Piauí"
"76","Cabeceiras do Piauí",2,"2020","Março","Todas","Piauí"
"77","Campinas do Piauí",2,"2020","Março","Todas","Piauí"
"78","Canto do Buriti",13,"2020","Março","Todas","Piauí"
"79","Capitão de Campos",11,"2020","Março","Todas","Piauí"
"80","Caracol",4,"2020","Março","Todas","Piauí"
"81","Castelo do Piauí",10,"2020","Março","Todas","Piauí"
"82","Cocal",9,"2020","Março","Todas","Piauí"
"83","Conceição do Canindé",4,"2020","Março","Todas","Piauí"
