"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Touros",174,"2019","Todos","Todas","Rio Grande do Norte"
"2","Upanema",77,"2019","Todos","Todas","Rio Grande do Norte"
"3","Vila Flor",17,"2019","Todos","Todas","Rio Grande do Norte"
"4","Viçosa",1,"2019","Todos","Todas","Rio Grande do Norte"
"5","Serra do Mel",51,"2019","Todos","Todas","Rio Grande do Norte"
"6","São Bento do Norte",48,"2019","Todos","Todas","Rio Grande do Norte"
"7","São Bento do Trairí",19,"2019","Todos","Todas","Rio Grande do Norte"
"8","São Francisco do Oeste",31,"2019","Todos","Todas","Rio Grande do Norte"
"9","São Gonçalo do Amarante",462,"2019","Todos","Todas","Rio Grande do Norte"
"10","São José de Mipibu",196,"2019","Todos","Todas","Rio Grande do Norte"
"11","São José do Campestre",81,"2019","Todos","Todas","Rio Grande do Norte"
"12","São José do Seridó",3,"2019","Todos","Todas","Rio Grande do Norte"
"13","São Miguel",155,"2019","Todos","Todas","Rio Grande do Norte"
"14","São Miguel do Gostoso",53,"2019","Todos","Todas","Rio Grande do Norte"
"15","São Paulo do Potengi",83,"2019","Todos","Todas","Rio Grande do Norte"
"16","São Rafael",11,"2019","Todos","Todas","Rio Grande do Norte"
"17","São Tomé",88,"2019","Todos","Todas","Rio Grande do Norte"
"18","Sítio Novo",36,"2019","Todos","Todas","Rio Grande do Norte"
"19","Taboleiro Grande",12,"2019","Todos","Todas","Rio Grande do Norte"
"20","Taipu",72,"2019","Todos","Todas","Rio Grande do Norte"
"21","Tangará",87,"2019","Todos","Todas","Rio Grande do Norte"
"22","Tenente Laurentino Cruz",35,"2019","Todos","Todas","Rio Grande do Norte"
"23","Tibau",26,"2019","Todos","Todas","Rio Grande do Norte"
"24","Tibau do Sul",29,"2019","Todos","Todas","Rio Grande do Norte"
"25","Parnamirim",953,"2019","Todos","Todas","Rio Grande do Norte"
"26","Passa e Fica",139,"2019","Todos","Todas","Rio Grande do Norte"
